Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front brakes,Diameter,Rear brakes,Dry weight,"Weight incl. oil, gas, etc",Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Compression,Ignition,Fuel consumption,Greenhouse gases,Emission details,Rake (fork angle),Trail,Front tire,Rear tire,Wheels,Reserve fuel capacity,Torque,Lubrication system,Driveline,Overall height,Overall length,Overall width,Factory warranty,Carrying capacity,Top speed,Instruments,Light,Electrical,Seat,Exhaust system,Oil capacity,Alternate seat height,Max RPM,Modifications compared to previous model,0-100 km/h (0-62 mph),Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Pulley teeth,1/4 mile (0.4 km),Belt teeth,Belt width
CR&S DUU,2017,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1916.0 ccm (116.91 cubic inches),"V2, four-stroke","S and S X-Wedge, 56 degree V-Twin engine.",95.2 HP (69.5  kW)) @ 5100 RPM,104.8 x 111.1 mm (4.1 x 4.4 inches),2,Injection,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),"Wet multidisks, hydraulic","Stainless steel main structure made with big section tubes, stainless steel engine’s cradle and holder. ",Upsidedown telescopic fork with 48 mm diameter. Adjustable hydraulic damping and spring preload. ,120 mm (4.7 inches),Swingarm with single hydraulic progressive shock absorber. Adjustable hydraulic damping and spring preload.,127 mm (5.0 inches),Double disc. Wave double floating disks with radial 4 pistons brake calipers.,260 mm (10.2 inches),Single disc. 2 pistons floating caliper.,245.0 kg (540.1 pounds),264.0 kg (582.0 pounds),0.3886 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,1576 mm (62.0 inches),15.50 litres (4.10 US gallons),"Matt gunmetal, silver",Electric,CR and S is an abbreviation of Cafe Racers  and  Superbikes. Italian made bikes. Baker gearbox available with 5 or 6 speeds. ,,,,,,,,120/70-ZR17 ,190/55-ZR17 ,,4.00 litres (1.06 US gallons),148.0 Nm (15.1 kgf-m or 109.2 ft.lbs) @ 4300 RPM,,Wet twin chain primary. O-ring chain final.,,2197 mm (86.5 inches),770 mm (30.3 inches),24 months unlimited milage. For life against chassis corrosion.,,200.0 km/h (124.3 mph),,,,Two seat or singele seat.,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna FC 250,2017,Cross / motocross," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.9 ccm (15.25 cubic inches),"Single cylinder, four-stroke",,46.0 HP (33.6  kW)),78.0 x 52.3 mm (3.1 x 2.1 inches),,,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),"Wet, multi-disc clutch, Magura hydraulics",25CrMo4 steel central-tube,"WP-USD, AER 48, Ø 48 mm",300 mm (11.8 inches),WP Monoshock with linkage,300 mm (11.8 inches),Single disc. Brembo twin-piston floating calliper,220 mm (8.7 inches),Single disc. Brembo single-piston floating calliper,98.8 kg (217.8 pounds),,0.4656 HP/kg,"960 mm (37.8 inches) If adjustable, lowest setting.",370 mm (14.6 inches),1482 mm (58.3 inches),7.00 litres (1.85 US gallons),Blue/yellow/white,Electric,,,Keihin EMS,,,,26.1°,,90/90-21 ,140/90-18 ,,,,,,,2260 mm (89.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GW250F,2017,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,248.0 ccm (15.13 cubic inches),"Twin, four-stroke",Balancer shaft,24.0 HP (17.5  kW)) @ 8500 RPM,53.5 x 55.2 mm (2.1 x 2.2 inches),2,Injection,Overhead Cams (OHC),Liquid,6-speed,Chain   (final drive),,Semi double-cradle ,"Telescopic, coil spring, oil damped",120 mm (4.7 inches),"Swingarm, coil spring, oil damped",120 mm (4.7 inches),Single disc. Hydraulic ,,Single disc. Hydraulic ,,189.0 kg (416.7 pounds),,"780 mm (30.7 inches) If adjustable, lowest setting.",165 mm (6.5 inches),1430 mm (56.3 inches),13.25 litres (3.50 US gallons),Pearl Nebular Black,Electric,Windscreen,11.5:1,"Electronic, fully transistorized",,,,,,110/80-17 ,140/70-17 ,"Cast aluminum wheels, 3-spoke",,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 6500 RPM,Wet sump,Constant mesh,,2145 mm (84.4 inches),760 mm (29.9 inches),12 month unlimited mileage limited warranty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki D-Tracker X,2017,Super motard,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,24.1 HP (17.6  kW)) @ 9000 RPM,72.0 x 61.2 mm (2.8 x 2.4 inches),4,Injection. Keihin,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),Wet multi-disc,"Tubular, Semi-double cradle",Telescopic fork,,Swingarm (Uni-trak),,Single disc. Dual piston calliper ,190 mm (7.5 inches),Single disc,138.0 kg (304.2 pounds),,0.1749 HP/kg,"860 mm (33.9 inches) If adjustable, lowest setting.",225 mm (8.9 inches),1420 mm (55.9 inches),7.70 litres (2.03 US gallons),"Lime green/black, blue/white",Electric,,,DC-CDI,,,,25.5°,92 mm (3.6 inches),110/70-17 ,130/70-17 ,Wire spoked,,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 7000 RPM,"Forced lubrication, wet sump",,1125 mm (44.3 inches),2130 mm (83.9 inches),795 mm (31.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Fat Boy Special,2017,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1690.0 ccm (103.12 cubic inches),"V2, four-stroke",High Output Twin Cam 103B,75.0 HP (54.7  kW)) @ 5020 RPM,98.4 x 111.1 mm (3.9 x 4.4 inches),,Injection. Electronic Sequential Port Fuel Injection,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,,Telescopic fork,,Twin shocks,,Double disc. ABS. 4-piston. ,,Single disc. ABS. 4-piston.,320.0 kg (705.5 pounds),333.0 kg (734.1 pounds),0.2344 HP/kg,"660 mm (26.0 inches) If adjustable, lowest setting.",125 mm (4.9 inches),1630 mm (64.2 inches),18.93 litres (5.00 US gallons),"Vivid Black, Black Denim, Charcoal Denim, Red Iron Denim, Crushed Ice Denim",Electric,Sold in Europe,9.7:1,,5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,31.0°,147 mm (5.8 inches),140/75-R17 ,200/55-R17 ,"Black, Bullet Hole Disc Cast Aluminum",,126.0 Nm (12.8 kgf-m or 92.9 ft.lbs) @ 3000 RPM,,"Primary chain, 34/46 ratio",,2385 mm (93.9 inches),,,,,"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, RPM/gear display, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light","High beam, neutral, low oil pressure, turn signals, engine diagnostics, security system (optional), 6-speed, low fuel warnings",,,"Shotgun exhaust, black denim",3.30 litres (3.49 US quarts),,,,,,,,,,,,,,,,,,,,,
Yamaha V Star 1300 Tourer,2017,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1311.1 ccm (80.00 cubic inches),"V2, four-stroke",60-degree V-twin. Ceramic composite cylinder sleeves. Forged pistons.,,100.0 x 83.0 mm (3.9 x 3.3 inches),4,Injection,Single Overhead Cams (SOHC),Liquid,5-speed,Belt   (final drive),Multiplate wet clutch,Double Cradle,41mm Telescopic fork,135 mm (5.3 inches),Single shock,109 mm (4.3 inches),Double disc. Hydraulic. ,298 mm (11.7 inches),Single disc. Hydraulic. ,,323.0 kg (712.0 pounds),,"691 mm (27.2 inches) If adjustable, lowest setting.",,1689 mm (66.5 inches),18.55 litres (4.90 US gallons),Galaxy Blue ,Electric,Windscreen. Hydraulic cam chain tensioner reduces noise and maintenance.,9.5:1,Transistor Controlled Ignition,5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,130/90-M16 ,170/70-B16 ,Seven-spoke cast aluminum wheels,,,,,1519 mm (59.8 inches),2489 mm (98.0 inches),1001 mm (39.4 inches),1 Year (Limited Factory Warranty),Saddle bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory Octane,2017,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1179.0 ccm (71.94 cubic inches),"V2, four-stroke","Self-adjusting cam chains, hydraulic lifters",104.0 HP (75.9  kW)) @ 8000 RPM,101.0 x 73.6 mm (4.0 x 2.9 inches),4,Injection. Sequential Fuel Injection with single 60mm throttle body,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Belt   (final drive),"Wet, multi-plate",,41mm damper-tube forks with dual-rate springs,130 mm (5.1 inches),"Twin shocks with dual-rate springs, adjustable preload",93 mm (3.7 inches),Single disc. Two-piston calipers. ,298 mm (11.7 inches),Single disc. Single-piston caliper. ,248.6 kg (548.0 pounds),,0.4184 HP/kg,"658 mm (25.9 inches) If adjustable, lowest setting.",,1577 mm (62.1 inches),12.87 litres (3.40 US gallons),"Suede Pearl White, Gloss Black w/Graphics, Matte Super Steel Gray, Gloss Black",Electric,,10.8:1,,,,,29.0°,137 mm (5.4 inches),130/70-18 ,160/70-17 ,,,103.1 Nm (10.5 kgf-m or 76.0 ft.lbs) @ 6000 RPM,,,,2309 mm (90.9 inches),,,,,,,12 volts / 18 amp hours battery.,,Curb Weight,4.70 litres (4.97 US quarts),,,,,,,,,,,,,,,,,,,,,
Honda TRX400X,2017,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,397.0 ccm (24.22 cubic inches),"Single cylinder, four-stroke",,,85.0 x 70.0 mm (3.3 x 2.8 inches),4,Carburettor. 38mm piston-valve with accelerator pump,Single Overhead Cams (SOHC),Air,5-speed,Chain   (final drive),Manual,,"Independent double-wishbone with Showa® shocks, five-position spring preload adjustability; 8.2 inches travel",208 mm (8.2 inches),Pro-Link® fully adjustable single Showa shock; 9.1 inches travel,231 mm (9.1 inches),Double disc. Hydraulic. ,220 mm (8.7 inches),Single disc,,185.1 kg (408.0 pounds),,"836 mm (32.9 inches) If adjustable, lowest setting.",104 mm (4.1 inches),1217 mm (47.9 inches),9.84 litres (2.60 US gallons),Red,Electric,Model ID: TRX400X,12.0:1,CD with electronic advance,,,,,,22/7-10 ,20/10-9 ,,1.51 litres (0.40 US gallons),,Dry sump,O-ring-sealed chain,1118 mm (44.0 inches),1821 mm (71.7 inches),1156 mm (45.5 inches),12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung GT 125 R,2017,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.5 ccm (7.60 cubic inches),"V2, four-stroke",,,,,Carburettor,Double Overhead Cams/Twin Cam (DOHC),Oil & air,5-speed,Chain   (final drive),"Wet, Multiplate",Steel,Telescopic fork,,Hydraulic Mono shock absorber,,Double disc,230 mm (9.1 inches),Single disc,120.0 kg (264.6 pounds),,,"830 mm (32.7 inches) If adjustable, lowest setting.",155 mm (6.1 inches),1435 mm (56.5 inches),17.00 litres (4.49 US gallons),"White/red, black",Electric,,10.2:1,,3.02 litres/100 km (33.1 km/l or 77.89 mpg),70.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,110/70-17 ,150/70-17 ,,,,Wet sump,,1130 mm (44.5 inches),2090 mm (82.3 inches),700 mm (27.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-S1000 ABS,2017,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,999.0 ccm (60.96 cubic inches),"In-line four, four-stroke",,,74.5 x 57.3 mm (2.9 x 2.3 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),,Aluminium,"KYB inverted telescopic, coil spring, oil damped",120 mm (4.7 inches),"Showa link type, coil spring, oil damped",,"Double disc. ABS, Brembo 4-piston",310 mm (12.2 inches),Single disc. ABS,209.0 kg (460.8 pounds),,,"810 mm (31.9 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1460 mm (57.5 inches),17.00 litres (4.49 US gallons),Metallic Mat Fibroin Gray,Electric,Traction Control System,12.2:1,,,,,25.0°,100 mm (3.9 inches),120/70-ZR17 ,190/50-ZR17 ,6-spoke lightweight cast aluminum wheels,,,Wet sump,,,2115 mm (83.3 inches),795 mm (31.3 inches),12 month unlimited mileage limited warranty.,,,,,,,4-2-1 exhaust system,,,,,,,,,,,,,,,,,,,,,,
Honda CRF250L,2017,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.6 ccm (15.23 cubic inches),"Single cylinder, four-stroke",,22.8 HP (16.6  kW)) @ 8500 RPM,76.0 x 55.0 mm (3.0 x 2.2 inches),,"Injection. PGM-FI, 36mm throttle body",Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),Wet multiplate with coil springs,,43mm inverted fork,61 mm (2.4 inches),Pro-Link® single shock with spring; 9.4 inches travel,61 mm (2.4 inches),Double disc. Two-piston calipers. ,220 mm (8.7 inches),Single disc,,145.2 kg (320.0 pounds),,"881 mm (34.7 inches) If adjustable, lowest setting.",254 mm (10.0 inches),1445 mm (56.9 inches),7.57 litres (2.00 US gallons),Red,Electric,Model ID: CRF250L,10.7:1,Computer-controlled digital transistorized with electronic advance,3.22 litres/100 km (31.1 km/l or 73.05 mpg),74.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,27.4°,113 mm (4.4 inches),3.00-21 ,120/80-18 ,,,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 7000 RPM,,#520 chain; 14T/40T,1195 mm (47.0 inches),2195 mm (86.4 inches),815 mm (32.1 inches),One year. Unlimited milage. Transferable.,,,Digital,,12V 6Ah (10HR) battery.,,,1.80 litres (1.9 US quarts),,,,,,,,,,,,,,,,,,,,,
Piaggio Medley 150,2017,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",155.0 ccm (9.46 cubic inches),"Single cylinder, four-stroke",,14.8 HP (10.8  kW)) @ 7750 RPM,58.0 x 58.7 mm (2.3 x 2.3 inches),,Injection,Single Overhead Cams (SOHC),Liquid,Automatic,Belt   (final drive),,Single cradle tubular steel frame,Hydraulic telescopic forkwith pressed steel reinforcements,88 mm (3.5 inches),"Double dual effect hydraulic shock absorber, adjustable spring preload in 5 positions",76 mm (3.0 inches),Double disc. Two-piston calipers. ,240 mm (9.4 inches),Single disc. Two-piston calipers. ,,,,"799 mm (31.5 inches) If adjustable, lowest setting.",,1346 mm (53.0 inches),7.00 litres (1.85 US gallons),"White, Grey, Black ",Electric,,,,2.28 litres/100 km (43.9 km/l or 103.17 mpg),52.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,,,100/80-16 ,110/80-14 ,,,14.4 Nm (1.5 kgf-m or 10.6 ft.lbs) @ 6400 RPM,,Twist and go automatic CVT,1390 mm (54.7 inches),2020 mm (79.5 inches),705 mm (27.8 inches),2-year unlimited-mileage warranty,Under-seat storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 300 EXC,2017,Enduro / offroad," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",293.0 ccm (17.88 cubic inches),"Single cylinder, two-stroke",Reed intake. ,,72.0 x 72.0 mm (2.8 x 2.8 inches),,Carburettor,,Liquid,6-speed,Chain   (final drive),"Wet, DDS multi-disc clutch, Brembo hydraulics",Chrome-molybdenum steel central-tube,WP USD Ø 48 mm,300 mm (11.8 inches),WP PDS shock absorber,335 mm (13.2 inches),Single disc. Brake calipers on floating bearings ,220 mm (8.7 inches),Single disc. Brake calipers on floating bearings,100.0 kg (220.5 pounds),,,"960 mm (37.8 inches) If adjustable, lowest setting.",355 mm (14.0 inches),1482 mm (58.3 inches),9.50 litres (2.51 US gallons),Orange/white/black,Electric & kick,,,"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment, type Kokusan",,,,26.5°,,,,CNC machined hubs and high-end Giant rims,,,,14:50 (13:50). Primary drive: 26:72.,,,,,,,LCD display,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja 1000 ABS,2017,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1043.0 ccm (63.64 cubic inches),"In-line four, four-stroke",,200.0 HP (146.0  kW)) @ 13000 RPM,77.0 x 56.0 mm (3.0 x 2.2 inches),,Injection. DFI  w/38mm Keihin throttle bodies (4) and oval sub-throttles,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),"Wet multi-disc, manual",Aluminum backbone,"41mm inverted cartridge fork with stepless compression and rebound damping, adjustable spring preload/4.7 in",119 mm (4.7 inches),"Horizontal monoshock with stepless rebound damping, remotely adjustable spring preload/5.4 in",140 mm (5.5 inches),Double disc. ABS. Four-piston calipers. Radially mounted. ,250 mm (9.8 inches),Single disc. ABS. Single-piston caliper. ,,234.1 kg (516.0 pounds),,"815 mm (32.1 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1440 mm (56.7 inches),17.00 litres (4.49 US gallons),"Candy Lime Green/Metallic Carbon Gray, 
Metallic Spark Black/Metallic Graphite Gray",Electric,Small windscreen,11.8:1,TCBI with digital advance,,,,24.5°,102 mm (4.0 inches),120/70-ZR17 ,190/50-ZR17 ,,,113.5 Nm (11.6 kgf-m or 83.7 ft.lbs) @ 11600 RPM,"Forced lubrication, wet sump with oil cooler",Sealed Chain,1186 mm (46.7 inches),2101 mm (82.7 inches),790 mm (31.1 inches),12 Month Limited Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Boulevard M50,2017,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke","45-degree V-Twin, black finish on the engine and air cleaner",53.0 HP (38.7  kW)) @ 6000 RPM,83.0 x 74.4 mm (3.3 x 2.9 inches),4,Injection. Suzuki Dual Throttle Valve System,Single Overhead Cams (SOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),,Double-cradle steel frame,"Inverted telescopic, coil spring, oil damped",140 mm (5.5 inches),"Link type, oil damped, coil spring",105 mm (4.1 inches),Single disc,180 mm (7.1 inches),Expanding brake (drum brake),,269.0 kg (593.0 pounds),,"700 mm (27.6 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1655 mm (65.2 inches),4.70 litres (1.24 US gallons),"Glass Sparkle Black, Metallic Oort Gray No. 3",Electric,,9.4:1,3D-mapped digital ignition system,,,,,,130/90-M16 ,170/80-M15 ,"Cast-aluminum, black",,69.0 Nm (7.0 kgf-m or 50.9 ft.lbs) @ 3200 RPM,,,,2395 mm (94.3 inches),890 mm (35.0 inches),12 month unlimited mileage limited warranty.,,,,,,Optional single seat,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Road Glide Special,2017,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1745.0 ccm (106.48 cubic inches),"V2, four-stroke",Integrated Oil-Cooler,90.0 HP (65.7  kW)) @ 5450 RPM,100.0 x 111.3 mm (3.9 x 4.4 inches),,Injection. ESPFI,Double Overhead Cams/Twin Cam (DOHC),Oil & air,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,,Telescopic fork,,Twin shocks,,Double disc. ABS. 4-piston,,Single disc. ABS. 4-piston,372.0 kg (820.1 pounds),388.0 kg (855.4 pounds),0.2419 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",120 mm (4.7 inches),1625 mm (64.0 inches),22.71 litres (6.00 US gallons),"Black Denim, Velocity Red Sunglo, Vivid Black, Superior Blue, Olive Gold, Laguna Orange, Hard Candy Hot Rod Red Flake, Hard Candy Mystic Purple Flake, Hard Candy Black Gold Flake",Electric,Small windshield. Cruise control. Alarm. Infotainment.,10.0:1,,5.20 litres/100 km (19.2 km/l or 45.23 mpg),120.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,26.0°,173 mm (6.8 inches),130/70-B19 ,180/65-B16 ,Enforcer Cast Aluminum,,150.0 Nm (15.3 kgf-m or 110.6 ft.lbs) @ 3250 RPM,Dry sump,"Chain, 34/46 ratio primary drive",,2430 mm (95.7 inches),,,Saddle bags,,"Fairing-mounted electronic speedometer with odometer; time-of-day clock on CD player/stereo; dual trip meter; low fuel indicator light and mileage countdown feature; low oil pressure indicator light; engine diagnostics readout; LED indicator lights; 6-speed indicator light Tachometer with fuel, voltage, oil pressure and ambient air temperature gauges","High beam, running lights, front fender light, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system (optional), 6-speed, low fuel warning, cruise control (optional), ABS (optional)",,,"Chrome, 2-1-2 dual exhaust with tapered mufflers",3.80 litres (4.02 US quarts),,,,,,,,,,,,,,,,,,,,,
Bimota DB8 Oronero,2017,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1198.0 ccm (73.10 cubic inches),"V2, four-stroke",Ducati 90°L twin cylider,169.0 HP (123.4  kW)) @ 9750 RPM,106.0 x 67.9 mm (4.2 x 2.7 inches),4,Injection. Walbro By Bimota,Desmodromic valve control,Liquid,6-speed,Chain   (final drive),Dry clutch multi disc,Carbon fiber front trellis and swingarm with aluminum plates.,Ohlins 43mm preload -fully adjustable and DLC treated upside-down forks,,Fully adjustable Extreme Tech shocker,,"Double disc. Monoblock, Bremo.",220 mm (8.7 inches),Single disc. 2 piston Brembo calipers.,159.0 kg (350.5 pounds),,1.0629 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1390 mm (54.7 inches),18.00 litres (4.76 US gallons),Black/gold,Electric,Italian brand.,12.7:1,,,,,25.0°,100 mm (3.9 inches),120/70-ZR17 ,190/55-ZR17 ,"5-spoke, black",,128.0 Nm (13.1 kgf-m or 94.4 ft.lbs) @ 8000 RPM,Wet sump,,1115 mm (43.9 inches),2040 mm (80.3 inches),730 mm (28.7 inches),,,280.0 km/h (174.0 mph),Digital LCD.,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung GT650R,2017,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",90° V-twin,79.0 HP (57.7  kW)) @ 9250 RPM,81.5 x 62.0 mm (3.2 x 2.4 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),"Wet, Multiplate",,Upside down Telescopic,,Swing arm with Progressive linkage Hydraulic Mono shock absorber,,"Double disc. Semi Floating discs, 4 pistons calipers",230 mm (9.1 inches),Single disc. 2 pistons caliper,,215.0 kg (474.0 pounds),,"831 mm (32.7 inches) If adjustable, lowest setting.",165 mm (6.5 inches),1435 mm (56.5 inches),17.00 litres (4.49 US gallons),"Red, black, white, red/grey, black/grey, white/grey. ",Electric,Small windscreen,11.5:1,CDI,,,,25.0°,,120/60-ZR17 ,160/60-ZR17 ,,,66.9 Nm (6.8 kgf-m or 49.3 ft.lbs) @ 7250 RPM,Wet sump,Chain 525. Constant mesh,1135 mm (44.7 inches),2090 mm (82.3 inches),,"1st year parts  and  labor, 2nd year parts.",,,Digital and analogue,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 125 SX,2017,Cross / motocross," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",Reed intake. ,,54.0 x 54.5 mm (2.1 x 2.1 inches),,Carburettor. Mikuni TMX,,Liquid,6-speed,Chain   (final drive),"Multi-plate clutch, Brembo hydraulics",Chrome-molybdenum steel central-tube frame,"WP-USD, AER 48, Ø 48 mm",300 mm (11.8 inches),WP shock absorber with linkage,300 mm (11.8 inches),Single disc. Brake calipers on floating bearings ,220 mm (8.7 inches),Single disc. Brake calipers on floating bearings ,87.2 kg (192.2 pounds),,,"960 mm (37.8 inches) If adjustable, lowest setting.",375 mm (14.8 inches),1485 mm (58.5 inches),7.00 litres (1.85 US gallons),Orange/white/black,Kick,,,Kokusan EMS,,,,26.5°,,,,CNC machined hubs. Excel rims. Wire spoked.,,,,13:50. Primary drive: 23:73.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Versys 1000,2017,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1043.0 ccm (63.64 cubic inches),"In-line four, four-stroke",,120.0 HP (87.6  kW)) @ 9000 RPM,77.0 x 56.0 mm (3.0 x 2.2 inches),4,Injection. 38 mm x 4 with oval sub-throttles,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),"Wet multi-disc, manual","Twin-tube, aluminium",43 mm inverted fork with stepless,150 mm (5.9 inches),"Horizontal Back-link, gas-charged,",150 mm (5.9 inches),Double disc. Petal discs. Dual opposed 4-piston caliper,250 mm (9.8 inches),Single disc. Petal disc. Single-piston caliper.,,250.0 kg (551.2 pounds),,"840 mm (33.1 inches) If adjustable, lowest setting.",150 mm (5.9 inches),1520 mm (59.8 inches),21.00 litres (5.55 US gallons),"Candy Burnt Orange/Flat Ebony, Candy Lime Green/Metallic Carbon Grey, Metallic Flat Spark Black ",Electric,Small windscreen.,10.3:1,Digital,,,,27.0°,106 mm (4.2 inches),120/70-ZR17 ,180/55-ZR17 ,,,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 7700 RPM,"Forced lubrication, wet sump",Sealed chain,1400 mm (55.1 inches),2270 mm (89.4 inches),895 mm (35.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Tricity,2017,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",,10.9 HP (7.9  kW)) @ 6750 RPM,52.0 x 58.6 mm (2.0 x 2.3 inches),2,Injection. EFI,Single Overhead Cams (SOHC),Liquid,Automatic,Belt   (final drive),,,Telescopic fork,,Unit Swing,,Double disc. Unified Brake System. ABS.,230 mm (9.1 inches),Single disc. Unified Brake System. ABS.,,164.0 kg (361.6 pounds),,"780 mm (30.7 inches) If adjustable, lowest setting.",125 mm (4.9 inches),1350 mm (53.1 inches),7.20 litres (1.90 US gallons),"Yellow, blue, black, white",Electric,Small windscreen. Leaning twin-wheel front.,11.2:1,Transistorised,,,,,,90/80-14 ,110/90-12 ,Dual front wheel,,11.7 Nm (1.2 kgf-m or 8.6 ft.lbs) @ 8750 RPM,Wet sump,,1210 mm (47.6 inches),1980 mm (78.0 inches),735 mm (28.9 inches),,,,,LED front lights,,,,,,,,,,,,,,,,,,,,,,,,,
