Model,Year,Category,Rating,Displacement,Engine type,Power,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Rake (fork angle),Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Torque,Compression,Valves per cylinder,Trail,Front tire,Rear tire,"Weight incl. oil, gas, etc",Overall length,Overall width,Factory warranty,Engine details,Fuel consumption,Greenhouse gases,Exhaust system,Wheels,Seat,Overall height,Oil capacity,Instruments,Reserve fuel capacity,Electrical,Light,Carrying capacity,Emission details,Top speed,Alternate seat height,Modifications compared to previous model,Max RPM,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Oil filter,Battery,Belt teeth,Belt width,Pulley teeth,Fork tube size,Coolant
Yamaha FJR1300ES,2015,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1298.0 ccm (79.20 cubic inches),"In-line four, four-stroke",107.5 HP (78.5  kW)) @ 8000 RPM,79.0 x 66.2 mm (3.1 x 2.6 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),TCI: Transistor Controlled Ignition,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,"Aluminium, Diamond Shaped",26.0°,43mm upside down forks with electronic adjustment,135 mm (5.3 inches),Single shock,125 mm (4.9 inches),Double disc. ABS. ,282 mm (11.1 inches),Single disc. ABS. ,,,"805 mm (31.7 inches) If adjustable, lowest setting.",124 mm (4.9 inches),1544 mm (60.8 inches),24.98 litres (6.60 US gallons),Liquid Graphite,Electric,"An electronically adjustable suspension has been adopted that adjusts it to fit different riding conditions and bring greater convenience to touring. This system provides a choice of four settings for preload, including “One Up,” “One Up with Luggage,” “Two Up,” and “Two Up with Luggage,” adding a choice of “Soft,” “Standard” and “Hard” for damping force adjustment for each setting. In addition, this damping force can be fine tuned three positions firmer or softer from standard within each “Soft”, “Standard” and “Hard” setting. Windshield.",138.0 Nm (14.1 kgf-m or 101.8 ft.lbs) @ 7000 RPM,10.8:1,4,109 mm (4.3 inches),120/70-ZR17 ,180/55-ZR17 ,292.1 kg (644.0 pounds),2230 mm (87.8 inches),749 mm (29.5 inches),1 Year Limited Factory Warranty,,6.53 litres/100 km (15.3 km/l or 36.02 mpg),151.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,1326 mm (52.2 inches),,,,,,Saddle bags,,,,,,,,,,,,,,,,,,,,,,,
Arctic Cat TRV 700 Limited EPS,2015,ATV," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",695.0 ccm (42.41 cubic inches),"Single cylinder, four-stroke",,102.0 x 85.0 mm (4.0 x 3.3 inches),Injection,Single Overhead Cams (SOHC),,,Liquid,Automatic,Belt   (final drive),,"2/4 WD + Electric Front Differential Lock. Automatic CVT with EBS, Hi/Lo Range, Reverse  and  Park.",,,Double A-Arm,254 mm (10.0 inches),Double A-Arm,254 mm (10.0 inches),Single disc. Hydraulic. ,,Single disc. Hydraulic. ,353.4 kg (779.0 pounds),,,279 mm (11.0 inches),1473 mm (58.0 inches),20.06 litres (5.30 US gallons),"Tungsten gray, blue",Electric,"Windshield. Power Steering (EPS), Aluminum Wheels, Automotive-Style Paint, Sway Bar, Park, Front SpeedRack, Rear 2-Inch Receiver, 3000-lb. Winch, 2-Piece Fairing, Hand Warmers, Touring Case, Mirrors.",,,4,,25/8-12 ,25/10-12 ,,2565 mm (101.0 inches),1207 mm (47.5 inches),,,,,,,Passenger Seat with Heated Grips,1397 mm (55.0 inches),,Analog/digital,,,,Front rack. Lockable rear top box.,,,,,,,,,,,,,,,,,,,,,,,
Benelli Qattronove X 50,2015,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",,40.0 x 39.2 mm (1.6 x 1.5 inches),Carburettor,,,Automatic oil injection,Air,Automatic,Belt   (final drive),Automatic centrifugal dry clutch,,Split single cradle frame in high tensile strength steel tube,,Hydraulic telescopic fork,80 mm (3.1 inches),Floating engine with hydraulic rear dumper – 5 positions spring preload adjustments,,Single disc,180 mm (7.1 inches),Single disc,95.0 kg (209.4 pounds),,"800 mm (31.5 inches) If adjustable, lowest setting.",,1275 mm (50.2 inches),6.00 litres (1.59 US gallons),"Black, red/black, black/white",Electric & kick,,,6.9:1,,,120/70-12 ,130/70-12 ,100.0 kg (220.5 pounds),1780 mm (70.1 inches),710 mm (28.0 inches),,,,,,Aluminium alloy,,1185 mm (46.7 inches),,,1.50 litres (0.40 US gallons),,,,With catalytic converter. Euro 2.,,,,,,,,,,,,,,,,,,,,,,
Benelli TNT R,2015,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1131.0 ccm (69.01 cubic inches),"In-line three, four-stroke",157.8 HP (115.2  kW)) @ 10200 RPM,88.0 x 62.0 mm (3.5 x 2.4 inches),Injection. Three  throttle bodies ø53 mm,Double Overhead Cams/Twin Cam (DOHC),Walbro ECUA-1,Wet sump,Liquid,6-speed,Chain   (final drive),Dry clutch with hydraulic command with slipper device,44/79 primary drive,"Decomposable, front steel trestle, rear aluminium alloy casting",25.0°,"50 mm upside-down fork, with hydraulic rebound / compression and spring preload adjustments",120 mm (4.7 inches),"Steel tube trestle swingarm, rear dumper with hydraulic adjustment (rebound, high and low speed compression) and spring preload assembled with progressive link",120 mm (4.7 inches),Double disc. Floating Wave disk mm with radial monoblock 4 pistons calipers,240 mm (9.4 inches),Single disc. Wave disk with double piston caliper,205.0 kg (451.9 pounds),0.7698 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1443 mm (56.8 inches),16.00 litres (4.23 US gallons),"White/red, red/titanium",Electric,Italian brand.,120.0 Nm (12.2 kgf-m or 88.5 ft.lbs) @ 8400 RPM,12.5:1,4,95 mm (3.7 inches),120/70-ZR17 ,180/55-ZR17 ,215.0 kg (474.0 pounds),2100 mm (82.7 inches),,,Balancer shaft,,,With catalytic converter and oxigen sensor,Aluminium alloy,,1050 mm (41.3 inches),4.00 litres (4.23 US quarts),,4.00 litres (1.06 US gallons),,,,Euro 3,,,,,,,,,,,,,,,,,,,,,,
Bimota Tesi 3D,2015,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1078.0 ccm (65.78 cubic inches),"V2, four-stroke",98.0 HP (71.5  kW)) @ 7500 RPM,98.0 x 71.5 mm (3.9 x 2.8 inches),Injection. Athena,Desmodromic valve control,,,Oil & air,6-speed,Chain   (final drive),"Dry Clutch, multi-disc",,"Aluminium plates, front and rear swingarm NiCrmo4 steel.",23.0°,"Öhlins monoshock adjustable in preload, in compression and rebound damping on single speed.",115 mm (4.5 inches),"Öhlins monoshock adjustable in preload, compression and rebound damping on single speed.",120 mm (4.7 inches),Double disc. 4-piston,220 mm (8.7 inches),Single disc. 2-piston,170.0 kg (374.8 pounds),0.5765 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,1390 mm (54.7 inches),18.00 litres (4.76 US gallons),White/red/grey,Electric,Italian brand.,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 6750 RPM,10.5:1,2,,120/70-17 ,180/55-17 ,,2100 mm (82.7 inches),700 mm (27.6 inches),,Ducati 90 degree L-Twin,,,,Forged Aluminium Alloy,,1120 mm (44.1 inches),,,5.00 litres (1.32 US gallons),,,,,,,,9000,,,,,,,,,,,,,,,,,,
Honda VFR1200X Crosstourer,2015,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1237.0 ccm (75.48 cubic inches),"V4, four-stroke",127.4 HP (93.0  kW)) @ 7750 RPM,81.0 x 60.0 mm (3.2 x 2.4 inches),Injection. PGM-FI,Single Overhead Cams (SOHC),Computer-controlled digital transistorised with electronic advance,,Liquid,6-speed,Shaft drive (cardan)   (final drive),Wet multiplate,,Diamond; aluminium twin-spar,28.0°,"43mm inverted telescopic forks with hydraulic damping, preload and rebound damping adjustment",,"Pro-Link with gas-charged damper, preload and stepless rebound damping adjustment",,Double disc. Combined ABS,276 mm (10.9 inches),Single disc. Combined ABS,,,"850 mm (33.5 inches) If adjustable, lowest setting.",180 mm (7.1 inches),1595 mm (62.8 inches),21.50 litres (5.68 US gallons),"Matt Titanium Blade Metallic, Camo",Electric,Traction Control System.,126.0 Nm (12.8 kgf-m or 92.9 ft.lbs) @ 6500 RPM,12.0:1,4,107 mm (4.2 inches),110/80-R19 ,150/70-R17 ,275.0 kg (606.3 pounds),2285 mm (90.0 inches),915 mm (36.0 inches),,76 degree cyclinder angle,5.17 litres/100 km (19.3 km/l or 45.50 mpg),119.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Wire spoked,,1335 mm (52.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Street Triple R ABS,2015,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",675.0 ccm (41.19 cubic inches),"In-line three, four-stroke",106.0 HP (77.4  kW)) @ 11850 RPM,74.0 x 52.3 mm (2.9 x 2.1 inches),Injection. Multipoint sequential electronic fuel injection with SAI,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),Wet. multi-plate,X ring chain,"Aluminum beam twin-spar. Single-sided, aluminum alloy with eccentric chain adjuster swing arm.",24.1°,"Kayaba 41mm upside down forks with adjustable preload, rebound and compression damping, 115mm travel",,"Kayaba monoshock with piggy back reservoir adjustable for  rebound and compression damping, 135mm rear wheel travel ",,Double disc. Brembo 4-piston 4-pad radial calipers. ABS.,255 mm (10.0 inches),Single disc. Nissin single 2-piston sliding caliper. ABS.,168.0 kg (370.4 pounds),0.6310 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,1410 mm (55.5 inches),17.40 litres (4.60 US gallons),"Black, White",Electric,,68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 9750 RPM,12.0:1,4,100 mm (3.9 inches),120/70-ZR17 ,180/55-ZR17 ,183.0 kg (403.4 pounds),2055 mm (80.9 inches),740 mm (29.1 inches),24 month warranty unlimited mileage,,6.92 litres/100 km (14.5 km/l or 33.99 mpg),160.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,Stainless steel 3 into 1 exhaust system low single sided stainless steel silencer,Cast aluminium alloy 5-spoke,,1060 mm (41.7 inches),3.80 litres (4.02 US quarts),"LCD multi-functional instrument pack with digital speedometer, fuel gauge, trip computer, analogue tachometer, lap timer, programmable gear change lights, service interval announcement display, TPMS ready",,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSR250S,2015,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Twin, four-stroke",24.0 HP (17.5  kW)) @ 8500 RPM,53.5 x 55.2 mm (2.1 x 2.2 inches),Injection,Single Overhead Cams (SOHC),Electronic,Wet sump,Liquid,6-speed,Chain   (final drive),Wet multi-plate coil spring,,Semi-double craddle,26.0°,,,,,Single disc,,Single disc,188.0 kg (414.5 pounds),0.1277 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1430 mm (56.3 inches),13.00 litres (3.43 US gallons),"Blue/white, white, black, red",Electric,Small windscreen. Sold in Japan.,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 6500 RPM,11.5:1,2,105 mm (4.1 inches),110/80-ZR17 ,140/70-ZR17 ,,2145 mm (84.4 inches),760 mm (29.9 inches),,,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,1075 mm (42.3 inches),2.40 litres (2.54 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1200 R ,2015,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, four-stroke",125.0 HP (91.2  kW)) @ 7750 RPM,101.0 x 73.0 mm (4.0 x 2.9 inches),"Injection. Electronic intake pipe injection/BMS-K+ digital enfinemanagement with overrun fuel cut-off, twin spark ignition",Double Overhead Cams/Twin Cam (DOHC),,Dry sump,Oil & air,6-speed,Shaft drive (cardan)   (final drive),"Single dry plate clutch, hydraulically operated",,"Two section frame consisting of front and rear sections, load bearing engine-gearbox unit",27.7°,Telescopic Upside-Down fork; stanchion diameter 45 mm,140 mm (5.5 inches),"Cast aluminium single-sided swing arm with BMW Motorrad Paralever; WAD strut (travel-related damping), spring pre-load hydraulically adjustable (continuously variable) at handwheel, rebound damping adjustable at handwheel",140 mm (5.5 inches),Double disc. ABS. Floating discs. Four-piston calipers. ,265 mm (10.4 inches),Single disc. ABS. Floating disc. Two-piston calipers. ,,,"790 mm (31.1 inches) If adjustable, lowest setting.",,1515 mm (59.6 inches),18.00 litres (4.76 US gallons),"Blue, grey, white",Electric,,125.0 Nm (12.7 kgf-m or 92.2 ft.lbs) @ 6500 RPM,12.0:1,4,126 mm (4.9 inches),120/70-ZR17 ,180/55-ZR17 ,231.0 kg (509.3 pounds),2165 mm (85.2 inches),906 mm (35.7 inches),,,3.90 litres/100 km (25.6 km/l or 60.31 mpg),90.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Cast aluminium,,1300 mm (51.2 inches),,,3.00 litres (0.79 US gallons),"12 V / 14 Ah, maintenance free battery.",,,"Closed-loop 3-way catalytic converter, emission standard EU-3",,,,,,,,,,,,,,,,,,,,,,
Honda XRM125 Motard,2015,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, four-stroke",9.4 HP (6.9  kW)) @ 7500 RPM,52.4 x 57.9 mm (2.1 x 2.3 inches),Carburettor,Overhead Cams (OHC),DC-CDI (Capacitor Discharge Ignition),,Air,4-speed,Belt   (final drive),,,,,Telescopic fork,,Twin shocks,,"Single disc. Hydraulic, ventilated",,"Single disc. Hydraulic, ventilated",101.0 kg (222.7 pounds),0.0931 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",136 mm (5.4 inches),1239 mm (48.8 inches),3.80 litres (1.00 US gallons),"Red, yellow, black",Electric & kick,Cub sold in some Asian countries.,10.4 Nm (1.1 kgf-m or 7.7 ft.lbs) @ 5000 RPM,,,,2.50-17 ,2.50-17 ,,1893 mm (74.5 inches),796 mm (31.3 inches),,,,,,Alloy wheels,Two-person seat,1028 mm (40.5 inches),0.90 litres (0.95 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ6,2015,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",77.5 HP (56.6  kW)) @ 10000 RPM,65.5 x 44.5 mm (2.6 x 1.8 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),TCI,Wet sump,Liquid,6-speed,Chain   (final drive),"Wet, Multiple Disc",Constant Mesh,"Steel, Diamond Shaped",26.0°,Telescopic forks,130 mm (5.1 inches),Linked monoshock with spring preload adjustment,130 mm (5.1 inches),Double disc,245 mm (9.6 inches),Single disc,,,"785 mm (30.9 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1440 mm (56.7 inches),17.00 litres (4.49 US gallons),"Blue, black, white",Electric,,59.7 Nm (6.1 kgf-m or 44.0 ft.lbs) @ 6100 RPM,12.2:1,4,103 mm (4.1 inches),120/70-ZR17 ,160/60-ZR17 ,205.0 kg (451.9 pounds),2120 mm (83.5 inches),770 mm (30.3 inches),,Forward-inclined parallel cylinders,,,,,,1085 mm (42.7 inches),3.40 litres (3.59 US quarts),,,,,Under seat storage for a U-lock.,Three-way catalyser with O2 sensor,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSR750 ABS,2015,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",106.0 HP (77.4  kW)) @ 10000 RPM,72.0 x 46.0 mm (2.8 x 1.8 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic (Transistorised),Wet sump,Liquid,6-speed,Chain   (final drive),,,Steel,25.6°,"Inverted telescopic, Coil spring, Oil damped",120 mm (4.7 inches),"Link type, Coil spring, Oil damped",135 mm (5.3 inches),Double disc. ABS,245 mm (9.6 inches),Single disc. ABS,,,"815 mm (32.1 inches) If adjustable, lowest setting.",,1450 mm (57.1 inches),17.50 litres (4.62 US gallons),"Peral Vigor Blue/Metallic Mystic Silver, Metallic Mat Black, Pearl Glacier White 


",Electric,,80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 9000 RPM,12.3:1,4,104 mm (4.1 inches),120/70-ZR17 ,180/55-ZR17 ,213.0 kg (469.6 pounds),2115 mm (83.3 inches),785 mm (30.9 inches),,,3.89 litres/100 km (25.7 km/l or 60.47 mpg),90.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,1060 mm (41.7 inches),,Analogue tachometer and a large digital LCD speedometer,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rokon Trail-Breaker,2015,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,208.0 ccm (12.69 cubic inches),"Single cylinder, four-stroke",7.0 HP (5.1  kW)) @ 3600 RPM,,Carburettor. Fixed Main Jet Carburetor,Overhead Cams (OHC),Electronic Magneto,,Liquid,3-speed,Chain   (final drive),,,,,,,,,Single disc,,Single disc,98.8 kg (217.8 pounds),0.0709 HP/kg,"813 mm (32.0 inches) If adjustable, lowest setting.",381 mm (15.0 inches),1295 mm (51.0 inches),11.36 litres (3.00 US gallons),"Black, olive",Electric & kick,"Full time, Front and Rear wheel drive. Auxillary Fuel storage 4.5 US gallons (17 liters) per wheel. 2.5 US gallons per 12´ wheel.",12.4 Nm (1.3 kgf-m or 9.1 ft.lbs) @ 2800 RPM,,,,5.90-15 ,5.90-15 ,,2007 mm (79.0 inches),787 mm (31.0 inches),12 Month Limited Warranty,Kohler fan cooled engine,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Muffler with US Forestry approved spark arrestor,Aluminum,,,,,,12 Volt,,,,56.0 km/h (34.8 mph),,,,,,,,,,,,,,,,,,,,,
Arctic Cat TBX 700 EPS,2015,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,695.0 ccm (42.41 cubic inches),"Single cylinder, four-stroke",,102.0 x 85.0 mm (4.0 x 3.3 inches),Injection. EFI,Single Overhead Cams (SOHC),,,Liquid,Automatic,Belt   (final drive),,"2/4 WD + Electric Front Differential Lock. Automatic CVT with EBS, Hi/Lo Range, Reverse  and  Park",,,Double A-Arm,254 mm (10.0 inches),Double A-Arm,254 mm (10.0 inches),Single disc. Hydraulic. ,,Single disc. Hydraulic. ,357.4 kg (788.0 pounds),,,279 mm (11.0 inches),1473 mm (58.0 inches),21.95 litres (5.80 US gallons),Red,Electric,Electronic Power Steering (EPS).,,,,,25/8-12 ,25/10-12 ,,2489 mm (98.0 inches),1207 mm (47.5 inches),,,,,,"Powder-coated steel wheels. SpeedRacks, Duro 2 Star Kaden Tires.",,1219 mm (48.0 inches),,Digital/Analog Gauge,,,,Front rack. Rear tilting box.,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster S2R,2015,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,803.0 ccm (49.00 cubic inches),"V2, four-stroke",87.0 HP (63.5  kW)) @ 8250 RPM,88.0 x 66.0 mm (3.5 x 2.6 inches),Injection. 45mm throttle body 45 mm with stepper motor,Desmodromic valve control,,,Air,6-speed,Chain   (final drive),"APTC wet multiplate with hydraulic control, Self-servo action on drive, slipper action on over-run",,"Tubular chrome moly steel trellis, casted aluminium subframe",24.0°,43mm upside-down forks,,Progressive linkage with preload and rebound Sachs adjustable monoshock,,Double disc. Four-piston calipers. ABS.,245 mm (9.6 inches),Single disc. Two-piston calipers. ABS.,169.0 kg (372.6 pounds),0.5148 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,1450 mm (57.1 inches),15.00 litres (3.96 US gallons),White/red/gray,Electric,,78.0 Nm (8.0 kgf-m or 57.5 ft.lbs) @ 6250 RPM,11.0:1,2,87 mm (3.4 inches),120/70-ZR17 ,180/55-ZR17 ,188.0 kg (414.5 pounds),2114 mm (83.2 inches),784 mm (30.9 inches),2 years unlimited mileage,,,,Lightweight 2-1-2 system with catalytic converter with twin lambda probes,5-spoke in light alloy,Dual seat,1079 mm (42.5 inches),,,,,,,Euro 3,,,,,,,,,,,,,,,,,,,,,,
Big Bear Choppers Sled ProStreet 111  EFI,2015,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1819.1 ccm (111.00 cubic inches),"V2, four-stroke",115.8 HP (84.5  kW)),,Injection. EFI,,,,Liquid,6-speed,Chain   (final drive),,,Softail,40.0°,BBC Smooth Mount Hidden Axle,,Progressive,76 mm (3.0 inches),Single disc. P.M. 4-piston calipers,,Single disc. BBC P.M. 4-piston caliper BrakeDrive system,316.6 kg (698.0 pounds),0.3658 HP/kg,"508 mm (20.0 inches) If adjustable, lowest setting.",,2184 mm (86.0 inches),15.14 litres (4.00 US gallons),"Gross Black, satin black, charcoal, silver, black cherry, candy red, firecracker red, orange, blue, white.",Electric,6-Speed Right-Side Drive Polished TransMision. Various wheel options.,166.5 Nm (17.0 kgf-m or 122.8 ft.lbs),,,95 mm (3.8 inches),90/80-21 ,300/80-18 ,,2870 mm (113.0 inches),,,Polished engine,,,Chrome Radius Tuned Exhaust,Forged Billet Wheel,,,,Chrome Digital Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB500X,2015,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",471.0 ccm (28.74 cubic inches),"Twin, four-stroke",46.9 HP (34.3  kW)) @ 8500 RPM,67.0 x 66.8 mm (2.6 x 2.6 inches),Injection. PGM-FI with 34mm throttle bodies,Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital transistorized with electronic advance,,Liquid,6-speed,Chain   (final drive),Wet multiplate,O-ring-sealed chain,,26.5°,41mm fork,140 mm (5.5 inches),Pro-Link single shock with nine-position spring preload adjustability,119 mm (4.7 inches),Double disc. Wave disc. Two-piston calipers. ,240 mm (9.4 inches),Single disc. Wave disc. ,178.0 kg (392.4 pounds),0.2637 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",165 mm (6.5 inches),1421 mm (55.9 inches),17.30 litres (4.57 US gallons),Matte Black Metallic/ Yellow,Electric,Model ID: CB500X. Windscreen,43.0 Nm (4.4 kgf-m or 31.7 ft.lbs) @ 7000 RPM,10.7:1,4,109 mm (4.3 inches),120/70-17 ,160/60-17 ,195.0 kg (430.0 pounds),2096 mm (82.5 inches),822 mm (32.4 inches),,,,,,,,1262 mm (49.7 inches),3.20 litres (3.38 US quarts),"Digital Speedometer, Digital Bar Graph Tachometer, Dual Trip Meters, Digital Fuel Level Gauge  and  Fuel Consumption Gauge, Digital Clock",,,,,Meets current EPA standards. Models sold in California meet current CARB standards and may differ slightly due to emissions equipment.,,,,,,,,,,,,,,,,,,,,,,
Yamaha Grizzly 300 Automatic,2015,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,287.0 ccm (17.51 cubic inches),"Single cylinder, four-stroke",,75.0 x 65.0 mm (3.0 x 2.6 inches),,Single Overhead Cams (SOHC),CDI,,Liquid,Automatic,Shaft drive (cardan)   (final drive),,,,,Independent double wishbone,150 mm (5.9 inches),Swingarm,142 mm (5.6 inches),Double disc. Hydraulic. ,,Single disc,,,"792 mm (31.2 inches) If adjustable, lowest setting.",137 mm (5.4 inches),1199 mm (47.2 inches),10.60 litres (2.80 US gallons),"Hunter Green, Steel Blue, Red",Electric,,,8.6:1,,,25/8-12 ,25/10-12 ,231.8 kg (511.0 pounds),1895 mm (74.6 inches),1069 mm (42.1 inches),6 Month Limited,,,,,,,1125 mm (44.3 inches),,None,,Maintenance-free 12-amp-hour battery,Dual headlights and 21/5W brakelight,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster Iron 883,2015,Custom / cruiser," 2.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.3 ccm (53.90 cubic inches),"V2, four-stroke",52.3 HP (38.2  kW)) @ 5750 RPM,76.2 x 96.8 mm (3.0 x 3.8 inches),Injection. Electronic Sequential Port Fuel Injection (ESPFI),,,Dry sump,Air,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,,,30.5°,,,,,Single disc. Optional ABS,300 mm (11.8 inches),Single disc,251.0 kg (553.3 pounds),0.2084 HP/kg,"653 mm (25.7 inches) If adjustable, lowest setting.",100 mm (3.9 inches),1519 mm (59.8 inches),12.49 litres (3.30 US gallons),"Hard Candy Quicksilver Flake, Sand Cammo Denim, Black Denim, Brilliant Silver Pearl",Electric,,73.0 Nm (7.4 kgf-m or 53.8 ft.lbs) @ 3750 RPM,8.9:1,,117 mm (4.6 inches),100/90-B19 ,150/80-B16 ,260.0 kg (573.2 pounds),2179 mm (85.8 inches),,,"Air-cooled, Evolution®",4.61 litres/100 km (21.7 km/l or 51.02 mpg),107.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Chrome, staggered shorty exhaust with dual mufflers","Black, 13-Spoke Cast Aluminum",,,2.60 litres (2.75 US quarts),"Handlebar-mounted electronic speedometer with odometer, time-of-day clock, dual tripmeter, low fuel warning light, low oil pressure light, engine diagnostics readout, LED indicator lights",,,"High beam, neutral, low oil pressure, turn signals, engine diagnostics, low fuel warning, low battery, security system (optional)",,,,,,,,,,,,,,,,,,,,,,,,
Benelli TNT 899,2015,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,899.0 ccm (54.86 cubic inches),"In-line three, four-stroke",120.0 HP (87.6  kW)) @ 9500 RPM,88.0 x 49.2 mm (3.5 x 1.9 inches),Injection. Three throttle bodies ø53 mm,Double Overhead Cams/Twin Cam (DOHC),,Wet sump,Liquid,6-speed,Chain   (final drive),Wet clucth 10 discs,525 Chain type,"Decomposable, front steel trestle, rear aluminium alloy casting",24.0°,"Ø43 mm upside-down fork, with idraulic extension / compression and spring preload adjustments",120 mm (4.7 inches),"Steel trestle swingarm, progressive rear dumper with idraulic extension/compression and spring preload adjustments",120 mm (4.7 inches),Double disc. Floating wave discs,240 mm (9.4 inches),Single disc. Wave disc,205.0 kg (451.9 pounds),0.5854 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1443 mm (56.8 inches),16.00 litres (4.23 US gallons),White/black/red,Electric,,88.0 Nm (9.0 kgf-m or 64.9 ft.lbs) @ 8000 RPM,12.5:1,4,95 mm (3.7 inches),120/70-ZR17 ,190/50-ZR17 ,215.0 kg (474.0 pounds),2100 mm (82.7 inches),790 mm (31.1 inches),,Double overhead camshaft with balancer shaft,,,With catalytic converter and oxigen sensor ,Aluminium alloy,,1050 mm (41.3 inches),4.00 litres (4.23 US quarts),,4.00 litres (1.06 US gallons),,,,Euro 3,,,,,,,,,,,,,,,,,,,,,,
