Model,Year,Category,Rating,Displacement,Engine type,Torque,Compression,Bore x stroke,Fuel system,Cooling system,Gearbox,Rake (fork angle),Trail,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Overall length,Ground clearance,Wheelbase,Fuel capacity,Color options,Comments,Power,Valves per cylinder,Fuel control,Transmission type,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Power/weight ratio,Overall width,Reserve fuel capacity,Top speed,Fuel consumption,Greenhouse gases,Modifications compared to previous model,Overall height,Max RPM,Ignition,Lubrication system,Clutch,Exhaust system,Starter,"Weight incl. oil, gas, etc",Alternate seat height,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Fork tube size,0-100 km/h (0-62 mph),Driveline,Electrical,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Coolant,Chain size,Engine details,Wheels
Husaberg FE 650 e,2004,Enduro / offroad," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",,11.8:1,100.0 x 82.0 mm (3.9 x 3.2 inches),Carburettor,Liquid,6-speed,,,90/90-21 ,140/80-18 ,Single disc,220 mm (8.7 inches),Single disc,109.0 kg (240.3 pounds),"930 mm (36.6 inches) If adjustable, lowest setting.",,380 mm (15.0 inches),1490 mm (58.7 inches),9.00 litres (2.38 US gallons),Yellow/blue,,,4,Overhead Cams (OHC),Chain   (final drive),25CrMo4 tempered,WP MXMA 4860-Husaberg Enduro,295 mm (11.6 inches),WP PDS 5018-Husaberg Enduro,320 mm (12.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Movie XL 150,2004,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",151.0 ccm (9.21 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,,,,120/70-12 ,130/70-12 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),119.0 kg (262.4 pounds),,1890 mm (74.4 inches),,1269 mm (50.0 inches),,,,10.5 HP (7.6  kW)),,,,,,,,,0.0878 HP/kg,694 mm (27.3 inches),,,,,,1130 mm (44.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TZR 50,2004,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,6.9:1,40.3 x 39.0 mm (1.6 x 1.5 inches),,,,,,100/80-17 ,130/70-17 ,Single disc,220 mm (8.7 inches),Single disc,113.0 kg (249.1 pounds),"815 mm (32.1 inches) If adjustable, lowest setting.",2202 mm (86.7 inches),151 mm (5.9 inches),1341 mm (52.8 inches),,"Chili (grey), Yamaha blue",,,,,,,Hydraulic and telescopic fork,,Swingarm,,,689 mm (27.1 inches),,,,,,1105 mm (43.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna SM 610 S,2004,Super motard," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",576.3 ccm (35.16 cubic inches),"Single cylinder, four-stroke",,9.0:1,98.0 x 76.4 mm (3.9 x 3.0 inches),Carburettor,Liquid,6-speed,,,120/70-17 ,150/60-17 ,Single disc,220 mm (8.7 inches),Single disc,,"850 mm (33.5 inches) If adjustable, lowest setting.",2170 mm (85.4 inches),240 mm (9.4 inches),1500 mm (59.1 inches),9.10 litres (2.40 US gallons),Red/black/grey,,,4,Single Overhead Cams (SOHC),Chain   (final drive),Steel singel tube cradle. Rear frame with square steel tubes.,Upside-down telescopic hydraulic adjustable fork,300 mm (11.8 inches),Progressive soft-dump with single hydraulic,320 mm (12.6 inches),,810 mm (31.9 inches),,,,,,1260 mm (49.6 inches),,,,,,,148.7 kg (327.8 pounds),,,,,,,,,,,,,,,,,,,,,,,
Husqvarna WRE 125,2004,Enduro / offroad," 4.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",,8.8:1,54.0 x 54.5 mm (2.1 x 2.1 inches),Carburettor,Liquid,6-speed,,,90/90-21 ,120/90-18 ,Single disc,220 mm (8.7 inches),Single disc,,"935 mm (36.8 inches) If adjustable, lowest setting.",2237 mm (88.1 inches),330 mm (13.0 inches),1465 mm (57.7 inches),10.20 litres (2.69 US gallons),Yellow/blue,,,1,,Chain   (final drive),Steel singel tube cradle. Rear frame with steel square tube.,Marzocchi upside-down telescopic hydraulic adjustable fork,300 mm (11.8 inches),Progressive soft-dump with single hydraulic,320 mm (12.6 inches),,,,,,,,,,,,,,,111.1 kg (244.9 pounds),,,,,,,,,,,,,,,,,,,,,,,
Derbi Senda R Racer,2004,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,13.0:1,39.9 x 40.0 mm (1.6 x 1.6 inches),Carburettor,Liquid,6-speed,,,80/90-21 ,110/80-18 ,Single disc,180 mm (7.1 inches),Single disc,,,2050 mm (80.7 inches),,1345 mm (53.0 inches),5.50 litres (1.45 US gallons),"Black, blue",,,,,Chain   (final drive),,"Hydraulic fork, 36 mm",190 mm (7.5 inches),Linal gas absorber,62 mm (2.4 inches),,695 mm (27.4 inches),,,,,,1300 mm (51.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 1600 Classic,2004,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1552.0 ccm (94.70 cubic inches),"Twin, four-stroke",127.0 Nm (12.9 kgf-m or 93.7 ft.lbs),,,Injection,Liquid,5-speed,,,130/90-H16 ,170/70-H16 ,Double disc,,Single disc,,"680 mm (26.8 inches) If adjustable, lowest setting.",,,1680 mm (66.1 inches),19.00 litres (5.02 US gallons),Black,,67.0 HP (48.9  kW)) @ 4700 RPM,2,Single Overhead Cams (SOHC),Shaft drive (cardan)   (final drive),,,,,,,,,165.0 km/h (102.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS EC 250,2004,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.3 ccm (15.21 cubic inches),"Single cylinder, two-stroke",,,66.4 x 72.0 mm (2.6 x 2.8 inches),Carburettor,Liquid,6-speed,,,90/90-21 ,140/80-18 ,Single disc,220 mm (8.7 inches),Single disc,102.0 kg (224.9 pounds),"940 mm (37.0 inches) If adjustable, lowest setting.",,340 mm (13.4 inches),1475 mm (58.1 inches),9.50 litres (2.51 US gallons),Red/black,,,,,Chain   (final drive),"Deltabox type, made of rectangular section cromoly tube","Marzocchi telehydrailc fork, 45 mm",295 mm (11.6 inches),Ohlns progressive system,320 mm (12.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XR 650 L,2004,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Single cylinder, four-stroke",,8.3:1,100.0 x 82.0 mm (3.9 x 3.2 inches),Carburettor,Air,5-speed,27.8°,111 mm (4.4 inches),80/90-21 ,110/90-18 ,Single disc,,Single disc,,"940 mm (37.0 inches) If adjustable, lowest setting.",,,1455 mm (57.3 inches),10.59 litres (2.80 US gallons),Red,Model id XR650L.,,4,Single Overhead Cams (SOHC),Chain   (final drive),,43mm air-adjustable leading-axle Showa cartridge fork with 16-position compression-damping adjustability,295 mm (11.6 inches),"Pro-Link Showa single-shock with spring-preload, 20-position compression- and 20-position rebound-damping adjustability",279 mm (11.0 inches),,,2.27 litres (0.60 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California EV,2004,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",88.5 Nm (9.0 kgf-m or 65.3 ft.lbs) @ 5200 RPM,9.8:1,92.0 x 80.0 mm (3.6 x 3.1 inches),Injection,Air,5-speed,29.0°,116 mm (4.6 inches),110/90-VB18 ,150/70-VB17 ,Double disc,282 mm (11.1 inches),Single disc,251.0 kg (553.4 pounds),"780 mm (30.7 inches) If adjustable, lowest setting.",2380 mm (93.7 inches),190 mm (7.5 inches),1560 mm (61.4 inches),19.00 litres (5.02 US gallons),"Grigio luze, Nero Oyster, Rosso Vintage","California EV -- This long distance cruiser with the legendary, updated 90º V-Twin with hydraulic self-adjusting valves is the culmination of custom touring, roadster performance and styling. Brembo Gold Series brakes. Integral braking system. Behr steel spoke tubeless rims. Available in Black and Chrome, Red and Black, Blue and Chrome or new for ´04 Light Silver and Grey.
",73.8 HP (53.8  kW)) @ 7000 RPM,2,Overhead Cams (OHC),Shaft drive (cardan)   (final drive),Detachable tubular duplex cradle,"Marzocchi 45 mm hydraulic telescopic fork, separately adjustable",140 mm (5.5 inches),"Swing arm with 2 hydraulic shock absorbers, braking/extension adjustable",96 mm (3.8 inches),0.2939 HP/kg,815 mm (32.1 inches),4.00 litres (1.06 US gallons),,5.50 litres/100 km (18.2 km/l or 42.77 mpg),127.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,1150 mm (45.3 inches),,,,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 500 F,2004,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",487.0 ccm (29.72 cubic inches),"Twin, four-stroke",,9.0:1,74.0 x 56.6 mm (2.9 x 2.2 inches),Carburettor,Air,6-speed,,,110/70-17 ,130/70-17 ,Single disc,,Single disc,180.0 kg (396.8 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",2080 mm (81.9 inches),,1405 mm (55.3 inches),20.00 litres (5.28 US gallons),"Blue/White, Yellow",,,,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,"Telescopic, oil damped",,"Link type, 5-way adjustable preload",,,820 mm (32.3 inches),,,,,,1250 mm (49.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RST 1000 Futura,2004,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",997.6 ccm (60.87 cubic inches),"Twin, four-stroke",95.5 Nm (9.7 kgf-m or 70.4 ft.lbs) @ 7000 RPM,11.8:1,97.0 x 67.5 mm (3.8 x 2.7 inches),Injection,Liquid,6-speed,26.5°,98 mm (3.9 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc,255 mm (10.0 inches),Single disc,185.0 kg (407.9 pounds),"820 mm (32.3 inches) If adjustable, lowest setting.",2170 mm (85.4 inches),,1435 mm (56.5 inches),21.00 litres (5.55 US gallons),"Darkness black, Hilton blue",,114.0 HP (83.2  kW)) @ 9250 RPM,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),Sloping parallel twin-spar frame in aluminium alloy,Showa 43 mm upside-down fork,120 mm (4.7 inches),Single member aluminium alloy swing-arm,120 mm (4.7 inches),0.6162 HP/kg,740 mm (29.1 inches),5.00 litres (1.32 US gallons),,,,,1240 mm (48.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Ark 50 K Series,2004,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",,,,,Liquid,Automatic,,,130/60-13 ,140/60-13 ,Single disc,190 mm (7.5 inches),Single disc,,,,,,7.50 litres (1.98 US gallons),"Red/black, Blue/grey",,,,,,Iron,Hydraulic fork,,Hydraulic shock absorber with adjustable spring setting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jincheng JC 100 Y,2004,Enduro / offroad," 2.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",,,,,Air,4-speed,,,,,,,,70.0 kg (154.3 pounds),,1795 mm (70.7 inches),,,5.00 litres (1.32 US gallons),White/purple,Named both  JC 100 Y and JC100Y. ,10.0 HP (7.3  kW)),,,Chain   (final drive),,,,,,0.1429 HP/kg,760 mm (29.9 inches),,90.0 km/h (55.9 mph),1.90 litres/100 km (52.6 km/l or 123.80 mpg),44.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,960 mm (37.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Dink 150,2004,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",151.0 ccm (9.21 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,,,,120/70-12 ,130/70-12 ,Single disc,200 mm (7.9 inches),Single disc,143.0 kg (315.3 pounds),,1935 mm (76.2 inches),,1395 mm (54.9 inches),,,,11.7 HP (8.5  kW)),,,,,,,,,0.0815 HP/kg,750 mm (29.5 inches),,,,,,1167 mm (45.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Stryker 125 OFF,2004,Allround," 2.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",8.9 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 7500 RPM,,,,Air,5-speed,,,90/90-18 54P ,130/80-17 65P ,Single disc,,Expanding brake (drum brake),142.0 kg (313.1 pounds),,2120 mm (83.5 inches),,,,,,10.2 HP (7.4  kW)) @ 8500 RPM,,,,,,,,,0.0718 HP/kg,880 mm (34.6 inches),,,,,,1300 mm (51.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Atlantic 500,2004,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",459.0 ccm (28.01 cubic inches),"Single cylinder, four-stroke",40.0 Nm (4.1 kgf-m or 29.5 ft.lbs) @ 5500 RPM,10.5:1,92.0 x 69.0 mm (3.6 x 2.7 inches),Injection,Liquid,6-speed,,,120/70-15 ,140/60-14 ,Double disc,220 mm (8.7 inches),Single disc,,"770 mm (30.3 inches) If adjustable, lowest setting.",2250 mm (88.6 inches),,1550 mm (61.0 inches),14.00 litres (3.70 US gallons),"Coast Blue, Lead Grey, Baroque Red, Atlantic Blue","Helmet compartment, 47 litres, holds 2 full-face helmets. Glove compartment behind shield. ",39.0 HP (28.5  kW)) @ 7250 RPM,4,Single Overhead Cams (SOHC),Belt   (final drive),High-tensile double-cradle tubular lattice,Telescopic hydraulic fork,100 mm (3.9 inches),Engine functions as swinging fork swingarm,280 mm (11.0 inches),,720 mm (28.3 inches),,,,,,1450 mm (57.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Reflex,2004,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,10.5:1,72.7 x 60.0 mm (2.9 x 2.4 inches),Carburettor,Liquid,Automatic,,,110/90-13 ,130/70-12 ,Single disc,220 mm (8.7 inches),Single disc,,"719 mm (28.3 inches) If adjustable, lowest setting.",,,1544 mm (60.8 inches),12.11 litres (3.20 US gallons),"Black, Red",Model id NSS250.,,4,Single Overhead Cams (SOHC),Belt   (final drive),,33.0mm hydraulic fork;.,99 mm (3.9 inches),Single-side swingarm with dual hydraulic shocks with seven-position spring-preload adjustability.,119 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS EC 200,2004,Enduro / offroad," 4.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",199.4 ccm (12.17 cubic inches),"Single cylinder, two-stroke",,,62.5 x 65.0 mm (2.5 x 2.6 inches),Carburettor,Liquid,6-speed,,,90/90-21 ,140/80-18 ,Single disc,220 mm (8.7 inches),Single disc,101.0 kg (222.7 pounds),"940 mm (37.0 inches) If adjustable, lowest setting.",,340 mm (13.4 inches),1475 mm (58.1 inches),9.50 litres (2.51 US gallons),,,,,,Chain   (final drive),"Deltabox type, made of rectangular section cromoly tube","Marzocchi telehydrailc fork, 45 mm",295 mm (11.6 inches),Ohlns progressive system,320 mm (12.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW F 650 CS,2004,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 4800 RPM,11.5:1,100.0 x 83.0 mm (3.9 x 3.3 inches),Injection,Liquid,5-speed,29.2°,,100/90-18 ,130/80-17 ,Single disc,240 mm (9.4 inches),Single disc,175.0 kg (385.8 pounds),"750 mm (29.5 inches) If adjustable, lowest setting.",2175 mm (85.6 inches),,1479 mm (58.2 inches),17.30 litres (4.57 US gallons),,,50.0 HP (36.5  kW)) @ 6500 RPM,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),Bridge-type steel section frame with bolted-on rear section,"Telescopic fork, stanchion diameter 41 mm, fork stabiliser, 170 mm travel",,"Box-section steel section dual swing arm, central spring strut action via lever system, spring pre-load hydraulically adjustable to continuously variable levels by means of handwheel, rebound damping adjustable, 165 mm travel",,0.2857 HP/kg,1265 mm (49.8 inches),4.50 litres (1.19 US gallons),,,,,910 mm (35.8 inches),,,,,,,,"820 mm (32.3 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
Yamaha FZS 1000 Fazer,2004,Naked bike," 4.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",105.9 Nm (10.8 kgf-m or 78.1 ft.lbs) @ 7500 RPM,11.4:1,74.0 x 58.0 mm (2.9 x 2.3 inches),,Liquid,,,,120/70-ZR17 ,180/55-ZR17 ,Double disc,267 mm (10.5 inches),Single disc,208.0 kg (458.6 pounds),"825 mm (32.5 inches) If adjustable, lowest setting.",2125 mm (83.7 inches),140 mm (5.5 inches),1450 mm (57.1 inches),,"Silver storm, Galaxy blue, Silver tech",,141.1 HP (103.0  kW)) @ 10000 RPM,,Double Overhead Cams/Twin Cam (DOHC),,,"Telescopic fork, 43mm tubes",140 mm (5.5 inches),Link-type swingarm,135 mm (5.3 inches),0.6782 HP/kg,765 mm (30.1 inches),,,,,,1190 mm (46.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 1000,2004,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",,12.0:1,73.0 x 59.0 mm (2.9 x 2.3 inches),Injection,Liquid,6-speed,,,120/70-ZR17 ,190/50-ZR17 ,Double disc,,Single disc,168.0 kg (370.4 pounds),"830 mm (32.7 inches) If adjustable, lowest setting.",2045 mm (80.5 inches),,1410 mm (55.5 inches),18.00 litres (4.76 US gallons),"Blue/White, Gray/Black",,,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,"Inverted telescopic, coil spring, fully adjustable spring preload, compression and rebound damping",,"Link-type, gas/oil-damped, fully adjustable spring preload, compression and rebound damping",,,715 mm (28.1 inches),,,,,,1135 mm (44.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XR 100 R,2004,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",99.0 ccm (6.04 cubic inches),"Single cylinder, four-stroke",,9.4:1,53.0 x 45.0 mm (2.1 x 1.8 inches),Carburettor,Air,5-speed,29.9°,103 mm (4.1 inches),,,Expanding brake (drum brake),,Expanding brake (drum brake),,"775 mm (30.5 inches) If adjustable, lowest setting.",,254 mm (10.0 inches),1265 mm (49.8 inches),5.67 litres (1.50 US gallons),Red,Model id XR100R.,,2,Single Overhead Cams (SOHC),Chain   (final drive),,27mm leading-axle Showa fork.,150 mm (5.9 inches),Pro-Link Showa single-shock.,140 mm (5.5 inches),,,1.13 litres (0.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CRF 250 X,2004,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,12.5:1,78.0 x 52.2 mm (3.1 x 2.1 inches),Carburettor,Liquid,5-speed,25.3°,94 mm (3.7 inches),80/90-21 ,100/90-18 ,Single disc,240 mm (9.4 inches),Single disc,,"963 mm (37.9 inches) If adjustable, lowest setting.",,,1488 mm (58.6 inches),8.32 litres (2.20 US gallons),Red,Model id CRF250X.,,4,,Chain   (final drive),,47.0mm inverted Showa cartridge fork with 16-position rebound and 16-position compression damping adjustability.,315 mm (12.4 inches),"Pro-Link Showa single shock with spring preload, 17-position rebound damping adjustability, and compression damping adjustment separated into low-speed (13 positions) and high-speed (3.5 turns.",315 mm (12.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBK Skyliner 400,2004,Scooter," 2.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",395.0 ccm (24.10 cubic inches),"Single cylinder, four-stroke",36.3 Nm (3.7 kgf-m or 26.8 ft.lbs) @ 6000 RPM,10.6:1,83.0 x 73.0 mm (3.3 x 2.9 inches),Injection,Liquid,,,,120/80-14M/C 58S ,150/70-13M/C 64S ,Single disc,267 mm (10.5 inches),Single disc,197.0 kg (434.3 pounds),"750 mm (29.5 inches) If adjustable, lowest setting.",2230 mm (87.8 inches),120 mm (4.7 inches),1565 mm (61.6 inches),14.00 litres (3.70 US gallons),,,33.5 HP (24.5  kW)) @ 7250 RPM,,Double Overhead Cams/Twin Cam (DOHC),,,,,,,0.1702 HP/kg,780 mm (30.7 inches),,,,,,1380 mm (54.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Mito 125,2004,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.6 ccm (7.67 cubic inches),"Single cylinder, two-stroke",23.0 Nm (2.3 kgf-m or 17.0 ft.lbs) @ 11000 RPM,7.4:1,56.0 x 50.6 mm (2.2 x 2.0 inches),Carburettor,Liquid,6-speed,,,110/70-17 ,150/60-17 ,Single disc,230 mm (9.1 inches),Single disc,129.0 kg (284.4 pounds),"760 mm (29.9 inches) If adjustable, lowest setting.",1980 mm (78.0 inches),150 mm (5.9 inches),1375 mm (54.1 inches),14.00 litres (3.70 US gallons),"Red, yellow, black",,34.0 HP (24.8  kW)) @ 12000 RPM,,,Chain   (final drive),Aluminium double extruded beam,Marzocchi upside-down telescopic hydraulic fork,120 mm (4.7 inches),Progressive with hydraulic shock absorber/ adjustable spring preload,133 mm (5.2 inches),0.2636 HP/kg,1100 mm (43.3 inches),,,,,,760 mm (29.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jincheng JC 250-3,2004,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",238.0 ccm (14.52 cubic inches),"Twin, four-stroke",,,,,Air,5-speed,,,,,,,,146.0 kg (321.9 pounds),,2110 mm (83.1 inches),,,13.00 litres (3.43 US gallons),"Blue, Brown",,20.3 HP (14.8  kW)),,,,,,,,,0.1390 HP/kg,885 mm (34.8 inches),,110.0 km/h (68.4 mph),2.30 litres/100 km (43.5 km/l or 102.27 mpg),53.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,1100 mm (43.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Venox 250,2004,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",252.0 ccm (15.38 cubic inches),"V2, four-stroke",,,,Carburettor,Liquid,,,,120/80-17 ,150/80-15 ,Single disc,160 mm (6.3 inches),Expanding brake (drum brake),190.0 kg (418.9 pounds),,2325 mm (91.5 inches),,1620 mm (63.8 inches),,,,26.8 HP (19.6  kW)),,,,,,,,,0.1412 HP/kg,840 mm (33.1 inches),,,,,,1080 mm (42.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CGL 125,2004,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,Carburettor. MÝKUNÝ 20MM,Air,,,,,,Single disc,,Expanding brake (drum brake),105.0 kg (231.5 pounds),,,,,10.00 litres (2.64 US gallons),RED,GOOD SUSPENCÝON,9.0 HP (6.6  kW)) @ 8500 RPM,2,Port control,Chain   (final drive),,,,,,0.0857 HP/kg,,1.00 litres (0.26 US gallons),115.0 km/h (71.5 mph),2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,11000,ELECTRONÝC,,WET PLATE,ONE STAÝNLESS STEEL PÝPES,Electric & kick,,,,,,,,,,,,,,17.00 seconds,,,,,,,,,,
Husaberg FC 450,2004,Cross / motocross," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.3 ccm (27.41 cubic inches),"Single cylinder, four-stroke",,12.7:1,100.0 x 57.2 mm (3.9 x 2.3 inches),Carburettor,Liquid,4-speed,,,80/90-21 ,110/100-19 ,Single disc,220 mm (8.7 inches),Single disc,103.0 kg (227.1 pounds),"930 mm (36.6 inches) If adjustable, lowest setting.",,380 mm (15.0 inches),1490 mm (58.7 inches),9.00 litres (2.38 US gallons),Blue/yellow,,,4,Overhead Cams (OHC),Chain   (final drive),25CrMo4 tempered,WP MXMA 4860-Husaberg Motocross,295 mm (11.6 inches),WP PDS 5018-Husaberg Motocross,320 mm (12.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1150 R Rockster Edition 80,2004,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1130.0 ccm (68.95 cubic inches),"Two cylinder boxer, four-stroke",98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 5250 RPM,10.3:1,101.0 x 70.5 mm (4.0 x 2.8 inches),Injection,Oil & air,6-speed,,,120/70-ZR17 ,180/55-ZR17 ,Double disc,276 mm (10.9 inches),Single disc,219.0 kg (482.8 pounds),"835 mm (32.9 inches) If adjustable, lowest setting.",2170 mm (85.4 inches),,1486 mm (58.5 inches),20.50 litres (5.42 US gallons),,,83.8 HP (61.2  kW)) @ 6750 RPM,4,Overhead Cams (OHC),Shaft drive (cardan)   (final drive),"Three-section composite frame consisting of front and rear section, load bearing engine.","BMW Motorrad Telelever; stanchion diameter 35 mm, central strut, rebound damping adjustable",120 mm (4.7 inches),"Die-cast aluminium single-sided swinging arm with BMW Motorrad Paralever; central strut, spring pre-load adjustable to continuously variable levels by means of hydraulic handwheel, rebound damping adjustable",135 mm (5.3 inches),0.3827 HP/kg,920 mm (36.2 inches),4.00 litres (1.06 US gallons),197.0 km/h (122.4 mph),4.60 litres/100 km (21.7 km/l or 51.13 mpg),106.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,1097 mm (43.2 inches),,,,,,,239.0 kg (526.9 pounds),"845 mm (33.3 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
