Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Gearbox,Transmission type,Clutch,Driveline,Fuel consumption,Greenhouse gases,Emission details,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Reserve fuel capacity,Oil capacity,Color options,Starter,Cooling system,Dry weight,Electrical,Top speed,Light,Factory warranty,Comments,Engine details,Valves per cylinder,Exhaust system,Power/weight ratio,Seat,Instruments,Carrying capacity,Alternate seat height,Engine oil,Brake fluid,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),Modifications compared to previous model,Max RPM,Coolant,Chain size,Chain links,Sprockets,"60-140 km/h (37-87 mph), highest gear",1/4 mile (0.4 km),Battery,Oil filter,Belt teeth,Belt width,Pulley teeth
Ohvale 110 4 Speed,2020,"Minibike, sport",Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,113.0 ccm (6.90 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)),,,54.0 x 49.5 mm (2.1 x 1.9 inches),Carburettor. Mikuni Ø 24,Single Overhead Cams (SOHC),,Wet sump,4-speed,Chain   (final drive),Wet clutch,,,,,Tubular steel trellis,,,33mm upside down fork,,"Aluminum swing-arm. Monoshock with piggy-back. Fully adjustable: hydraulic compression and rebound damping, spring preload",,,,Single disc. Monoblock radial caliper with 4 pistons.,150 mm (5.9 inches),Single disc. Radial caliper with 2 pistons. ,,,,,,,,,,,0.80 litres (0.85 US quarts),White,Kick,Air,,,,,,Intended for children from 9 years.,,2,Exhaust pipe in stainless steel. Under saddle single silencer Arrow in titanium,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta Turismo Veloce 800 Rosso,2020,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,798.0 ccm (48.69 cubic inches),"In-line three, four-stroke",110.0 HP (80.3  kW)) @ 10150 RPM,80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 7100 RPM,,,Injection,Double Overhead Cams/Twin Cam (DOHC),Integrated ignition - injection system,,6-speed,Chain   (final drive),"Wet, multi-disc slipper clutch",,5.80 litres/100 km (17.2 km/l or 40.56 mpg),134.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,ALS Steel tubular trellis,,108 mm (4.3 inches),Marzocchi “UPSIDE DOWN” telescopic  hydraulic fork with rebound-compression  damping and spring preload external  and separate adjustment,160 mm (6.3 inches),"Progressive Sachs, single shock  absorber with rebound and compression damping and spring preload adjustment",165 mm (6.5 inches),120/70-ZR17 ,190/55-ZR17 ,"Double disc. Brembo radial-type monobloc,  with 4 pistons. ABS.",220 mm (8.7 inches),Single disc. Brembo with 2 pistons. ABS.,Aluminium alloy,,"850 mm (33.5 inches) If adjustable, lowest setting.",,2125 mm (83.7 inches),,140 mm (5.5 inches),1445 mm (56.9 inches),16.50 litres (4.36 US gallons),,,Ago Red/Metallic/Carbon Black,Electric,Oil & air,191.0 kg (421.1 pounds),,230.0 km/h (142.9 mph),,3 years warranty,,,4,,0.5759 HP/kg,,Dashboard TFT 5”color display,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Tricity 300,2020,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",292.0 ccm (17.82 cubic inches),"Single cylinder, four-stroke",27.6 HP (20.2  kW)) @ 7250 RPM,29.0 Nm (3.0 kgf-m or 21.4 ft.lbs) @ 5750 RPM,,,Injection,Single Overhead Cams (SOHC),TCI,Wet sump,Automatic,Belt   (final drive),,V-Belt Automatic,3.30 litres/100 km (30.3 km/l or 71.28 mpg),76.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,EU4 compliant,"Underbone, steel",,,Telescopic fork,100 mm (3.9 inches),Unit Swing,84 mm (3.3 inches),90/80-14 ,140/70-14 ,Single disc. Unified Brake System. ABS.,257 mm (10.1 inches),Single disc. Unified Brake System. ABS.,,239.0 kg (526.9 pounds),"795 mm (31.3 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),2250 mm (88.6 inches),815 mm (32.1 inches),130 mm (5.1 inches),1595 mm (62.8 inches),13.00 litres (3.43 US gallons),,,"Icon Gray, Matt Grey, Gunmetal Grey",Electric,Liquid,,,,LED front lights,,Small windscreen. Leaning twin-wheel front.,,4,,,,LCD instruments,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson CVO Limited,2020,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1923.0 ccm (117.34 cubic inches),"V2, four-stroke",105.0 HP (76.6  kW)) @ 5250 RPM,169.5 Nm (17.3 kgf-m or 125.0 ft.lbs) @ 3500 RPM,10.2:1,103.5 x 114.3 mm (4.1 x 4.5 inches),Injection. Electronic Sequential Port Fuel Injection,,,Dry sump,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,"Chain, 34/46 ratio primary drive",5.74 litres/100 km (17.4 km/l or 40.98 mpg),133.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,26.0°,170 mm (6.7 inches),Telescopic fork,,Twin shocks,,130/80-B17 ,180/65-B16 ,"Double disc. ABS, 4-piston",,"Single disc. ABS, 4-piston",Gloss Black and Contrast Satin Tomahawk,428.2 kg (944.0 pounds),"704 mm (27.7 inches) If adjustable, lowest setting.",,2600 mm (102.4 inches),,125 mm (4.9 inches),1625 mm (64.0 inches),22.71 litres (6.00 US gallons),,4.70 litres (4.97 US quarts),"Sand Dune, Smokey Grey/Stormcloud, Moonlight Blue/Deep Sea Blue

Magnetic Grey Fade, Magnetic Grey/Wineberry With Red Pepper, Auburn Sunglo/Black Hole With Rich Bourbon",Electric,Oil & air,411.0 kg (906.0 pounds),,,"High beam, running lights, front fender running lights, directional light bar, low oil pressure, engine diagnostics, cruise control, speakers, accessory, security system, 6-speed, low fuel warning, ABS",,Cruise control. Alarm. Infotainment.,Twin-Cooled™ Milwaukee-Eight® 117 ,,"Dual, with crossover",0.2555 HP/kg,,,"Saddle bags, top box",,,,,,,,,,,,,,,,,,,,,,
Serpento Viper 250,2020,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,,,,,,,5-speed,Chain   (final drive),,,,,,,,,Telescopic fork,,Monoshock,,110/90-19 ,4.60-17 ,Single disc,,Single disc,,,"860 mm (33.9 inches) If adjustable, lowest setting.",,,,,2080 mm (81.9 inches),15.00 litres (3.96 US gallons),,,Black/red,Electric & kick,Air,130.0 kg (286.6 pounds),12V / 7A battery,,,,Sold in South-America. Produced in China.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Govecs Pro,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,4.0 HP (2.9  kW)),54.0 Nm (5.5 kgf-m or 39.8 ft.lbs),,,,,,,1-speed,Belt   (final drive),,,,,,Steel tube,,,Hydraulic telescope,,Hydraulic monoshock,,130/60-R13 ,130/60-R13 ,Single disc,,Single disc,,118.0 kg (260.1 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",,1800 mm (70.9 inches),685 mm (27.0 inches),,,,,,White,Electric,Air,,,45.0 km/h (28.0 mph),,24 months,Lithium-Ion battery. Charging time 4.5 hours. Range 50 km.,"Brushless motor, PMAC",,No exhaust,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 752 S,2020,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",754.0 ccm (46.01 cubic inches),"Twin, four-stroke",76.8 HP (56.1  kW)) @ 8500 RPM,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 6500 RPM,11.5:1,88.0 x 62.0 mm (3.5 x 2.4 inches),Injection. Electronic fuel injection with double throttle body,Double Overhead Cams/Twin Cam (DOHC),ECU - TLI,Forced with wet sump,6-speed,Chain   (final drive),,,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,Trestle in steel tubes and plates,,,Upside-down forks Ø 50mm,117 mm (4.6 inches),Rear swing arm with central shock absorber spring preload adjustable,,120/70-ZR17 ,180/55-ZR17 ,Double disc. Four-piston calipers. ABS.,260 mm (10.2 inches),Single disc. Single-piston caliper. ABS.,Aluminum alloy,228.0 kg (502.7 pounds),"810 mm (31.9 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),2130 mm (83.9 inches),820 mm (32.3 inches),180 mm (7.1 inches),1460 mm (57.5 inches),14.50 litres (3.83 US gallons),3.00 litres (0.79 US gallons),,Green,Electric,Liquid,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXDR 114,2020,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1868.0 ccm (113.99 cubic inches),"V2, four-stroke",100.0 HP (73.0  kW)) @ 5000 RPM,160.0 Nm (16.3 kgf-m or 118.0 ft.lbs) @ 3500 RPM,10.5:1,102.0 x 114.3 mm (4.0 x 4.5 inches),Injection. Electronic Sequential Port Fuel Injection (ESPFI),,,,6-speed,Chain   (final drive),,"Chain, 34/46 ratio",5.11 litres/100 km (19.6 km/l or 46.03 mpg),118.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,34.0°,119 mm (4.7 inches),Telescopic fork,,Dual shocks,,120/70-ZR19 ,240/40-R18 ,Single disc. ABS. 4-piston.,,Single disc. ABS. 2-piston.,"Gloss/satin black, split 5-spoke, cast aluminum with laser etched graphics",303.0 kg (668.0 pounds),"720 mm (28.3 inches) If adjustable, lowest setting.",,2425 mm (95.5 inches),,140 mm (5.5 inches),1735 mm (68.3 inches),16.70 litres (4.41 US gallons),,4.70 litres (4.97 US quarts),"White/black, Barracuda Silver Denim, Denim Black, Performance Orange, River Rock Grey Denim",Electric,,289.0 kg (637.1 pounds),,,,,,Milwaukee-Eight 114,,2-into-1; catalyst in header,0.3460 HP/kg,,"2.14 inch viewable area LCD display with speedometer, gear, odometer, fuel level, clock, trip, range and tachometer indication",,,,,,,,,,,,,,,,,,,,,,,
Damon Hypersport HS,2020,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,200.0 HP (146.0  kW)),,,,,,,,,Chain   (final drive),,,,,,,,,Telescopic fork,,Monoshock,,120/55-17 ,200/50-17 ,Double disc,,Single disc,,,"813 mm (32.0 inches) If adjustable, lowest setting.",,,,,1397 mm (55.0 inches),,,,"Yellow, grey",Electric,Liquid,199.6 kg (440.0 pounds),,,,2 years,21.5 kWh battery. Range 200+ miles. 3 hours charging. Sport mode and commuter mode. Windshield. To be sold from 2021.,PMAC Liquid Cooled 160 kW peak,,,1.0021 HP/kg,,,,,,,,,,,,3.00 seconds,,,,,,,,,,,,,
Triumph Tiger 800 XR,2020,Super motard,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,800.0 ccm (48.82 cubic inches),"In-line three, four-stroke",93.9 HP (68.5  kW)) @ 9500 RPM,79.0 Nm (8.1 kgf-m or 58.3 ft.lbs) @ 8050 RPM,11.3:1,74.1 x 61.9 mm (2.9 x 2.4 inches),Injection. Multipoint sequential electronic fuel injection,Double Overhead Cams/Twin Cam (DOHC),,,6-speed,Chain   (final drive),Wet. multi-plate,O ring chain,3.65 litres/100 km (27.4 km/l or 64.44 mpg),84.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Tubular steel trellis. Twin-­sided, cast aluminium alloy swingarm.",23.8°,87 mm (3.4 inches),"Showa 43mm upside down forks, ",180 mm (7.1 inches),Showa monoshock with hydraulically adjustable preload,170 mm (6.7 inches),100/90-19 ,150/70-R17 ,"Double disc. Floating discs, Nissin 2-piston sliding calipers, Switchable ABS. ",255 mm (10.0 inches),"Single disc. Nissin single piston sliding caliper, Switchable ABS.",Cast aluminium alloy 10-­spoke,,"810 mm (31.9 inches) If adjustable, lowest setting.",1350 mm (53.1 inches),2215 mm (87.2 inches),795 mm (31.3 inches),,1530 mm (60.2 inches),19.00 litres (5.02 US gallons),,3.70 litres (3.91 US quarts),"Jet Black, Pure White",Electric,Liquid,199.0 kg (438.7 pounds),,,,24 months unlimited milage,,,4,Stainless steel 3 into 1. high level stainless steel silencer,0.4717 HP/kg,,"LCD multi-functional instrument pack with digital speedometer, trip computer, analogue tachometer, gear position indicator, fuel gauge, service indicator, switchable ABS and clock",,"830 mm (32.7 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,
Indian Chieftain Classic,2020,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1811.0 ccm (110.51 cubic inches),"V2, four-stroke",,161.6 Nm (16.5 kgf-m or 119.2 ft.lbs) @ 3000 RPM,9.5:1,101.0 x 113.0 mm (4.0 x 4.4 inches),Injection. Closed Loop Sequential Port Fuel Injection,,,,6-speed,Belt   (final drive),,,,,,Cast aluminium,25.0°,150 mm (5.9 inches),Telescopic forks with air adjustment,119 mm (4.7 inches),Single shock,114 mm (4.5 inches),130/90-B16 ,180/60-R16 ,Double disc. ABS. Floating discs. 4 piston caliper.,300 mm (11.8 inches),Single disc. ABS. Floating disc. 2-piston caliper.,Cast aluminium wheels,390.0 kg (859.8 pounds),"660 mm (26.0 inches) If adjustable, lowest setting.",1390 mm (54.7 inches),2571 mm (101.2 inches),1000 mm (39.4 inches),142 mm (5.6 inches),1668 mm (65.7 inches),20.80 litres (5.50 US gallons),,,"Thunder Black, Deep Water Metallic Over Dirt Track Tan",Electric,Air,375.0 kg (826.7 pounds),,,LED headlights,2 years,,Thunder Stroke® 111,,Split dual exhaust with cross-over,,Dual leather seat,"Fairing mounted instrument cluster featuring analog speedometer and tachometer, with fuel gauge, range, odometer and current gear. ",Hard saddle bags.,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger 1200 XRX Low,2020,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1215.0 ccm (74.14 cubic inches),"In-line three, four-stroke",141.0 HP (102.9  kW)) @ 9350 RPM,122.0 Nm (12.4 kgf-m or 90.0 ft.lbs) @ 7600 RPM,11.0:1,85.0 x 71.4 mm (3.3 x 2.8 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),,,6-speed,Shaft drive (cardan)   (final drive),Wet. multi-plate,,4.90 litres/100 km (20.4 km/l or 48.00 mpg),113.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,"Tubular steel trellis frame. Single-­sided, cast aluminium alloy swing arm with shaft drive.",23.2°,100 mm (3.9 inches),"WP 48 mm upside down forks, electronically adjustable damping,",168 mm (6.6 inches),"WP monoshock, electronically adjustable semi active damping,",158 mm (6.2 inches),120/70-R19 ,170/60-R17 ,"Double disc. Floating discs,  radially mounted monobloc Brembo calipers, 4-piston, switchable ABS",282 mm (11.1 inches),"Single disc. Nissin 2-piston sliding caliper, Switchable ABS",Cast aluminium alloy 10-spoke,,"785 mm (30.9 inches) If adjustable, lowest setting.",1450 mm (57.1 inches),2248 mm (88.5 inches),830 mm (32.7 inches),,1520 mm (59.8 inches),20.00 litres (5.28 US gallons),,4.00 litres (4.23 US quarts),"Jet Black, Matt Cobalt Blue, Crystal White",Electric,Liquid,244.0 kg (537.9 pounds),,,,24 months unlimited mileage,,,4,Stainless steel 3 into 1 side mounted stainless steel silencer,0.5779 HP/kg,,"LCD instrument pack with digital speedometer, analogue tachometer, gear position indicator, fuel gauge, range to empty, service indicator, clock, air temperature, frost warning, hazard warning lights, trip computer, Tyre pressure monitoring system ",,"805 mm (31.7 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,
Sinnis Harrier,2020,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",8.2 HP (6.0  kW)),,,,,,,,,Belt   (final drive),,,,,,,,,Telescopic fork,,Twin Shock Absorber,,120/70-12 ,120/70-12 ,Single disc,,Expanding brake (drum brake),,,"790 mm (31.1 inches) If adjustable, lowest setting.",1145 mm (45.1 inches),1825 mm (71.9 inches),680 mm (26.8 inches),,1365 mm (53.7 inches),,,,"White/Red, Sports Black/Red",Electric & kick,Air,100.0 kg (220.5 pounds),,,,24 Months ,,,,,0.0818 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Peda Cafe Scrambler 200,2020,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.8 ccm (12.13 cubic inches),"Single cylinder, four-stroke",17.4 HP (12.7  kW)) @ 8000 RPM,17.0 Nm (1.7 kgf-m or 12.5 ft.lbs) @ 6000 RPM,9.2:1,65.5 x 66.2 mm (2.6 x 2.6 inches),,,CDI,,,,,,,,,,,,,,,,,130/80-17 ,,,,,,,1060 mm (41.7 inches),2000 mm (78.7 inches),860 mm (33.9 inches),,,16.50 litres (4.36 US gallons),,,"Silver, Mat Green",Electric & kick,Liquid,142.0 kg (313.1 pounds),,120.0 km/h (74.6 mph),,,,,,,0.1227 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Lifan KPV150,2020,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",149.3 ccm (9.11 cubic inches),"Single cylinder, four-stroke",12.1 HP (8.8  kW)) @ 8500 RPM,11.8 Nm (1.2 kgf-m or 8.7 ft.lbs) @ 5500 RPM,10.6:1,57.3 x 57.9 mm (2.3 x 2.3 inches),,,,,5-speed,,Hand-clutched,,2.40 litres/100 km (41.7 km/l or 98.01 mpg),55.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Telescopic hydraulic,,,,100/80-14 ,120/70-14 ,Single disc,,Single disc,,,"760 mm (29.9 inches) If adjustable, lowest setting.",1290 mm (50.8 inches),1925 mm (75.8 inches),760 mm (29.9 inches),,1320 mm (52.0 inches),11.00 litres (2.91 US gallons),,,Grey,Electric,Liquid,143.0 kg (315.3 pounds),,93.0 km/h (57.8 mph),,,"Model id.LF150T-8
Chinese brand",,,,0.0844 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Bonneville T100 Black,2020,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,900.0 ccm (54.92 cubic inches),"Twin, four-stroke",55.0 HP (40.1  kW)) @ 5900 RPM,80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 3230 RPM,10.6:1,84.6 x 80.0 mm (3.3 x 3.1 inches),Injection. Multipoint sequential electronic fuel injection,Double Overhead Cams/Twin Cam (DOHC),Digital-inductive type via engine management system,,5-speed,Chain   (final drive),"Wet, multi-plate assist clutch",,3.83 litres/100 km (26.1 km/l or 61.42 mpg),88.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Tubular steel twin cradle. Twin-sided, tubular steel swing arm.",25.5°,104 mm (4.1 inches),KYB 41mm forks,120 mm (4.7 inches),KYB chromed spring twin shocks with adjustable preload,120 mm (4.7 inches),100/90-18 ,150/70-R17 ,Single disc. Nissin 2-piston floating caliper. ABS.,255 mm (10.0 inches),Single disc. Nissin 2-piston floating caliper. ABS.,32-spoke. Steel rims. Black.,,"790 mm (31.1 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),2230 mm (87.8 inches),715 mm (28.1 inches),,1450 mm (57.1 inches),14.50 litres (3.83 US gallons),,4.50 litres (4.76 US quarts),"Jet Black, Matt Ironstone",Electric,Air,213.0 kg (469.6 pounds),,,,24 months unlimited milage,,360 degree firing interval. Black.,4,Black,0.2582 HP/kg,,Analogue speedometer and tachometer with odometer and trip information ,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ 25,2020,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",20.9 HP (15.3  kW)) @ 8000 RPM,20.0 Nm (2.0 kgf-m or 14.8 ft.lbs) @ 6000 RPM,9.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),Injection,Single Overhead Cams (SOHC),,,5-speed,Chain   (final drive),"Wet,multiple disc",,,,,,,,Telescopic fork,,Swingarm.  Monocross suspsension.,,100/80-17 ,140/70-17 ,Single disc,220 mm (8.7 inches),Single disc,,152.0 kg (335.1 pounds),"795 mm (31.3 inches) If adjustable, lowest setting.",1075 mm (42.3 inches),2015 mm (79.3 inches),770 mm (30.3 inches),160 mm (6.3 inches),1360 mm (53.5 inches),14.00 litres (3.70 US gallons),,,"Black, Matt Black, Dark Matt Blue, Cyan Blue",Electric,Air,,,,LED headlights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Speed Triple RS,2020,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1050.0 ccm (64.07 cubic inches),"In-line three, four-stroke",148.0 HP (108.0  kW)) @ 10500 RPM,116.6 Nm (11.9 kgf-m or 86.0 ft.lbs) @ 7150 RPM,12.9:1,79.0 x 71.4 mm (3.1 x 2.8 inches),,Double Overhead Cams/Twin Cam (DOHC),,,,,Wet. multi-plate,,5.20 litres/100 km (19.2 km/l or 45.23 mpg),120.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Aluminum Beam Twin Spar,22.9°,91 mm (3.6 inches),Ohlins 43mm NIX30 upside down forks.,120 mm (4.7 inches),"Öhlins TTX36 twin tube monoshock with preload, rebound and compression damping,",,120/70-17 ,190/55-17 ,Double disc. Brembo,255 mm (10.0 inches),Single disc. Brembo,,,"825 mm (32.5 inches) If adjustable, lowest setting.",1070 mm (42.1 inches),,775 mm (30.5 inches),,1445 mm (56.9 inches),15.52 litres (4.10 US gallons),,,"Matte Jet Black, Matt Black, Crystal White",Electric,Liquid,189.0 kg (416.7 pounds),,,,,,,,,0.7831 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini Milano Limited,2020,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1187.0 ccm (72.43 cubic inches),"V2, four-stroke",116.0 HP (84.7  kW)) @ 8000 RPM,107.0 Nm (10.9 kgf-m or 78.9 ft.lbs) @ 7000 RPM,11.9:1,107.0 x 66.0 mm (4.2 x 2.6 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),,,6-speed,Chain   (final drive),Multiple-plate clutch in oil bath with antiskipping system and radial master-cylinder,,,,,"Steel 25CrMo4 trellis, welded with TIG technology",25.0°,108 mm (4.3 inches),"Ø 46 mm Upsidedown telescopic fork fully adjustable in preload, damping in compression and rebound.",120 mm (4.7 inches),"Single shock with progressive link to swingarm, fully adjustable in preload (with hydraulic command), height, damping in rebound. ",110 mm (4.3 inches),120/70-R17 ,190/55-R17 ,"Double disc. Brembo, 4-piston caliper. ABS.",220 mm (8.7 inches),Single disc. Brembo. ABS.,Aluminium alloy,200.0 kg (440.9 pounds),"820 mm (32.3 inches) If adjustable, lowest setting.",,2100 mm (82.7 inches),,,1490 mm (58.7 inches),21.00 litres (5.55 US gallons),4.50 litres (1.19 US gallons),,Red/Black ,Electric,Liquid,,,,Dual LED head lights,.,,87 degree longitudinal V-twin,4,,,,"LCD 5”, with multi-window",,,,,,,,,,,,,,,,,,,,,,,
Aprilia SR Max 300,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,278.0 ccm (16.96 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)) @ 7250 RPM,23.0 Nm (2.3 kgf-m or 17.0 ft.lbs) @ 6000 RPM,11.5:1,75.0 x 63.0 mm (3.0 x 2.5 inches),Injection,Overhead Cams (OHC),,Wet sump.,Automatic,Belt   (final drive),Automatic centrifugal dry clutch,Twist-and-go CVT with torque server ,,,Euro 3,Double cradle trellis in high strength steel tubing ,,,35 mm Ø hydraulic telescopic fork ,,Twin hydraulic shock absorbers with three pre-load settings,,120/70-15 ,140/60-14 ,Single disc,240 mm (9.4 inches),Single disc,,,"815 mm (32.1 inches) If adjustable, lowest setting.",1515 mm (59.6 inches),2110 mm (83.1 inches),780 mm (30.7 inches),,,15.00 litres (3.96 US gallons),2.80 litres (0.74 US gallons),,"Red, White",Electric,Liquid,,,,,,Windscreen. ,,4,,,Dual seat,,,,,,,,,,,,,,,,,,,,,,,,
TGB Key West 50,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",1.9 HP (1.4  kW)) @ 3500 RPM,,7.8:1,41.0 x 37.4 mm (1.6 x 1.5 inches),Carburettor,,CDI,Oil Pump Separate,Automatic,Belt   (final drive),,C.V.T.,,,,,,,,,,,120/90-10 ,120/90-10 ,Single disc,,Expanding brake (drum brake),,,,1075 mm (42.3 inches),1696 mm (66.8 inches),650 mm (25.6 inches),,,6.80 litres (1.80 US gallons),,,"Black, Blue, Red, Yellow",Electric & kick,Air,94.0 kg (207.2 pounds),,,,,Made in Taiwan.,,,,0.0202 HP/kg,,,Rear Storage Rack,,,,,,,,,,,,,,,,,,,,,,
Vento Thunderstar 250 Custom,2020,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)),,,,Carburettor,,CDI,,5-speed,Chain   (final drive),,,,,,Steel,,,Hydraulic telescopic fork,,Dual shocks,,90/90-R18 ,130/80-R17 ,Single disc. Hydraulic,,Single disc. Hydraulic,Wire spoked,115.0 kg (253.5 pounds),"740 mm (29.1 inches) If adjustable, lowest setting.",1090 mm (42.9 inches),1950 mm (76.8 inches),750 mm (29.5 inches),,,18.00 litres (4.76 US gallons),,,Black,Electric,Air,,,,,,,,,Dual black,,"Dual seat, silk touch polyuretane",Analog,,,,,,,,,,,,,,,,,,,,,,,
KTM 500 EXC-F Six days,2020,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,510.9 ccm (31.18 cubic inches),"Single cylinder, four-stroke",,,,95.0 x 72.0 mm (3.7 x 2.8 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Keihin EMS,,6-speed,Chain   (final drive),"Wet, DDS multi-disc clutch, Brembo hydraulics",5/8 x 1/4,3.62 litres/100 km (27.6 km/l or 64.98 mpg),84.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Central-tube frame with double-cradle,26.5°,,,300 mm (11.8 inches),WP Xplor PDS shock absorber,310 mm (12.2 inches),,,Single disc. Brake calipers on floating bearings,220 mm (8.7 inches),Single disc. Brake calipers on floating bearings,,,"960 mm (37.8 inches) If adjustable, lowest setting.",,,,355 mm (14.0 inches),1482 mm (58.3 inches),9.00 litres (2.38 US gallons),,,Orange/white/red/blue,Electric,Liquid,106.0 kg (233.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evolet Hawk,2020,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,,,,,,,,,,,,,,,Hydrauliv Telescopic,,Double shocker with dual tube technology,,,,Single disc. E-ABS,,Expanding brake (drum brake). E-ABS,Alloy,,,1150 mm (45.3 inches),1950 mm (76.8 inches),760 mm (29.9 inches),150 mm (5.9 inches),,,,,"Red, Blue, Black/Green, Black/Red",,,129.0 kg (284.4 pounds),,80.0 km/h (49.7 mph),,"Battery Warranty	3 Year,s  Motor Warranty	18 Months","Range 150km
Charingtime 5hrs",BLDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
