Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Torque,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Compression,Bore x stroke,Fuel consumption,Greenhouse gases,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Front percentage of weight,Seat height,Starter,Comments,Valves per cylinder,Fuel system,Alternate seat height,Fuel control,Ignition,Rake (fork angle),Trail,Front suspension,Rear suspension,Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Frame type,Color options,Lubrication system,Clutch,Driveline,Overall length,Ground clearance,Electrical,Chain links,Sprockets,Max RPM,Overall height,Overall width,Reserve fuel capacity,Exhaust system,Modifications compared to previous model,1/4 mile (0.4 km),Engine details,Emission details,Carrying capacity,Rear percentage of weight,Wheels,Oil filter,Battery,Belt teeth,Belt width,Pulley teeth
Suzuki GSX 1300 R Hayabusa,1999,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1298.0 ccm (79.20 cubic inches),"In-line four, four-stroke",175.0 HP (127.7  kW)) @ 9800 RPM,308.0 km/h (191.4 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1485 mm (58.5 inches),22.00 litres (5.81 US gallons),140.0 Nm (14.3 kgf-m or 103.3 ft.lbs) @ 7000 RPM,,,,,,,,,120/70-ZR17 ,190/50-ZR17 ,320 mm (12.6 inches),248.0 kg (546.7 pounds),,"805 mm (31.7 inches) If adjustable, lowest setting.",Electric,,4,Injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1200 RS,1999,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1171.0 ccm (71.45 cubic inches),"In-line four, four-stroke",130.0 HP (94.9  kW)) @ 8750 RPM,248.0 km/h (154.1 mph),Liquid,6-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,,,1555 mm (61.2 inches),21.00 litres (5.55 US gallons),117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 6750 RPM,3.30 seconds,7.50 seconds,11.5:1,70.5 x 75.0 mm (2.8 x 3.0 inches),7.10 litres/100 km (14.1 km/l or 33.13 mpg),164.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,115 mm (4.5 inches),150 mm (5.9 inches),120/70-ZR17 ,170/60-ZR17 ,285 mm (11.2 inches),290.0 kg (639.3 pounds),50.7,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,4,,"820 mm (32.3 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Skorpion Replica,1999,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,184.0 km/h (114.3 mph),Liquid,5-speed,Chain   (final drive),Dual disc,Single disc,,,1420 mm (55.9 inches),18.00 litres (4.76 US gallons),58.0 Nm (5.9 kgf-m or 42.8 ft.lbs) @ 5500 RPM,5.70 seconds,17.80 seconds,9.2:1,100.0 x 84.0 mm (3.9 x 3.3 inches),5.70 litres/100 km (17.5 km/l or 41.27 mpg),132.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),130 mm (5.1 inches),120/60-ZR17 ,160/60-ZR17 ,240 mm (9.4 inches),185.0 kg (407.9 pounds),48.6,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Daytona 955i,1999,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",956.0 ccm (58.34 cubic inches),"In-line three, four-stroke",128.0 HP (93.4  kW)) @ 9900 RPM,253.0 km/h (157.2 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1440 mm (56.7 inches),18.00 litres (4.76 US gallons),100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 7500 RPM,3.10 seconds,8.80 seconds,11.2:1,79.0 x 65.0 mm (3.1 x 2.6 inches),5.90 litres/100 km (16.9 km/l or 39.87 mpg),136.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),140 mm (5.5 inches),120/70-ZR17 ,190/50-ZR17 ,220 mm (8.7 inches),224.0 kg (493.8 pounds),49.4,"820 mm (32.3 inches) If adjustable, lowest setting.",Electric,,4,Injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLX300R,1999,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",300.0 ccm (18.31 cubic inches),"V2, four-stroke",,,Liquid,6-speed,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,It´s my first bike. I don´t know much bar the fact that it´s a bit of a rocket !! lol,,,,Overhead Valves (OHV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Roadster 125,1999,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 9000 RPM,104.0 km/h (64.6 mph),Air,6-speed,Chain   (final drive),Single disc,Expanding brake,,,1420 mm (55.9 inches),11.00 litres (2.91 US gallons),18.0 Nm (1.8 kgf-m or 13.3 ft.lbs) @ 9000 RPM,,,11.7:1,56.0 x 50.6 mm (2.2 x 2.0 inches),6.00 litres/100 km (16.7 km/l or 39.20 mpg),139.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,160 mm (6.3 inches),120 mm (4.7 inches),,140/90-15 ,160 mm (6.3 inches),134.0 kg (295.4 pounds),,"740 mm (29.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CA 125 Rebel,1999,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Twin, four-stroke",11.0 HP (8.0  kW)) @ 9500 RPM,98.0 km/h (60.9 mph),Air,5-speed,Chain   (final drive),Single disc,Expanding brake,,,1460 mm (57.5 inches),10.00 litres (2.64 US gallons),9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 6000 RPM,,,9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,116 mm (4.6 inches),75 mm (3.0 inches),,130/90-15 ,130 mm (5.1 inches),147.0 kg (324.1 pounds),45.0,"675 mm (26.6 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Zephyr 750,1999,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",76.0 HP (55.5  kW)) @ 9500 RPM,203.0 km/h (126.1 mph),Air,5-speed,Chain   (final drive),Dual disc,Single disc,,,1455 mm (57.3 inches),17.00 litres (4.49 US gallons),63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 7300 RPM,3.60 seconds,11.00 seconds,9.5:1,66.0 x 54.0 mm (2.6 x 2.1 inches),7.10 litres/100 km (14.1 km/l or 33.13 mpg),164.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,140 mm (5.5 inches),115 mm (4.5 inches),120/70-ZR17 ,150/70-ZR17 ,230 mm (9.1 inches),228.0 kg (502.7 pounds),48.0,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki XF 650 Freewind,1999,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 7000 RPM,165.0 km/h (102.5 mph),Oil & air,5-speed,Chain   (final drive),Single disc,Single disc,,,1465 mm (57.7 inches),18.00 litres (4.76 US gallons),52.0 Nm (5.3 kgf-m or 38.4 ft.lbs) @ 5500 RPM,4.90 seconds,8.50 seconds,9.5:1,100.0 x 82.0 mm (3.9 x 3.2 inches),5.30 litres/100 km (18.9 km/l or 44.38 mpg),123.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,170 mm (6.7 inches),167 mm (6.6 inches),100/90-19 ,130/80-17 ,240 mm (9.4 inches),188.0 kg (414.5 pounds),47.5,"830 mm (32.7 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF 600 R,1999,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 11500 RPM,236.0 km/h (146.6 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1415 mm (55.7 inches),19.00 litres (5.02 US gallons),66.0 Nm (6.7 kgf-m or 48.7 ft.lbs) @ 9500 RPM,3.30 seconds,10.60 seconds,12.0:1,62.0 x 49.6 mm (2.4 x 2.0 inches),6.40 litres/100 km (15.6 km/l or 36.75 mpg),148.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,130 mm (5.1 inches),120 mm (4.7 inches),120/60-ZR17 ,160/60-ZR17 ,245 mm (9.6 inches),221.0 kg (487.2 pounds),48.5,"840 mm (33.1 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster M750,1999,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 7500 RPM,195.0 km/h (121.2 mph),Oil & air,5-speed,Chain   (final drive),Dual disc,Single disc,,,1430 mm (56.3 inches),18.00 litres (4.76 US gallons),62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 6500 RPM,3.80 seconds,10.60 seconds,9.0:1,88.0 x 61.5 mm (3.5 x 2.4 inches),6.80 litres/100 km (14.7 km/l or 34.59 mpg),157.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,129 mm (5.1 inches),144 mm (5.7 inches),129/69-VR17 ,169/69-VR17 ,245 mm (9.6 inches),192.0 kg (423.3 pounds),47.7,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RS 125,1999,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 7000 RPM,124.0 km/h (77.1 mph),Liquid,6-speed,Chain   (final drive),Single disc,Single disc,,,1345 mm (53.0 inches),13.00 litres (3.43 US gallons),15.0 Nm (1.5 kgf-m or 11.1 ft.lbs) @ 6250 RPM,,,12.5:1,54.0 x 54.4 mm (2.1 x 2.1 inches),5.20 litres/100 km (19.2 km/l or 45.23 mpg),120.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),,110/70-ZR17 ,150/60-ZR17 ,220 mm (8.7 inches),143.0 kg (315.3 pounds),49.3,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati SS 900 Supersport,1999,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",80.0 HP (58.4  kW)) @ 7500 RPM,220.0 km/h (136.7 mph),Oil & air,6-speed,Chain   (final drive),Dual disc,Single disc,,,1395 mm (54.9 inches),16.00 litres (4.23 US gallons),81.0 Nm (8.3 kgf-m or 59.7 ft.lbs) @ 7000 RPM,3.50 seconds,11.60 seconds,9.2:1,92.0 x 68.0 mm (3.6 x 2.7 inches),7.70 litres/100 km (13.0 km/l or 30.55 mpg),178.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),136 mm (5.4 inches),120/70-ZR17 ,170/60-ZR17 ,245 mm (9.6 inches),207.0 kg (456.4 pounds),49.3,"820 mm (32.3 inches) If adjustable, lowest setting.",Electric,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 1500 SE Gold Wing,1999,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1520.0 ccm (92.75 cubic inches),"Six cylinder boxer, four-stroke",100.0 HP (73.0  kW)) @ 5200 RPM,180.0 km/h (111.8 mph),Liquid,5-speed,Shaft drive (cardan)   (final drive),,,372.0 kg (820.1 pounds),0.2688 HP/kg,1690 mm (66.5 inches),23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 V Transalp,1999,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,167.0 km/h (103.8 mph),Liquid,5-speed,Chain   (final drive),Dual disc,Single disc,,,1505 mm (59.3 inches),18.00 litres (4.76 US gallons),53.0 Nm (5.4 kgf-m or 39.1 ft.lbs) @ 6000 RPM,5.70 seconds,13.00 seconds,9.2:1,75.0 x 66.0 mm (3.0 x 2.6 inches),6.00 litres/100 km (16.7 km/l or 39.20 mpg),139.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,200 mm (7.9 inches),190 mm (7.5 inches),90/90-21 ,130/80-17 ,240 mm (9.4 inches),207.0 kg (456.4 pounds),47.5,"850 mm (33.5 inches) If adjustable, lowest setting.",Electric,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki FX650,1999,Super motard," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Single cylinder, four-stroke",,,Air,5-speed,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,Overhead Cams (OHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VS 800 Intruder,1999,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",53.0 HP (38.7  kW)) @ 6500 RPM,160.0 km/h (99.4 mph),Liquid,5-speed,Shaft drive (cardan)   (final drive),Single disc,,200.0 kg (440.9 pounds),0.2650 HP/kg,1560 mm (61.4 inches),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V11 Sport,1999,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",90.0 HP (65.7  kW)) @ 7800 RPM,230.0 km/h (142.9 mph),Air,6-speed,Shaft drive (cardan)   (final drive),,,221.0 kg (487.2 pounds),0.4072 HP/kg,1471 mm (57.9 inches),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 640 Classic,1999,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,344.0 ccm (20.99 cubic inches),"Twin, two-stroke",24.0 HP (17.5  kW)) @ 5250 RPM,120.0 km/h (74.6 mph),Air,,Chain   (final drive),Expanding brake,Expanding brake,149.0 kg (328.5 pounds),0.1611 HP/kg,1370 mm (53.9 inches),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan 1500 Nomad,1999,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1470.0 ccm (89.70 cubic inches),"Twin, four-stroke",51.0 HP (37.2  kW)) @ 4500 RPM,,Liquid,5-speed,Shaft drive (cardan)   (final drive),"Double disc. Single-action, twin-piston calipers",Single disc. Single-action,,,1666 mm (65.6 inches),15.89 litres (4.20 US gallons),,,,8.6:1,102.0 x 90.0 mm (4.0 x 3.5 inches),6.75 litres/100 km (14.8 km/l or 34.85 mpg),156.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,150 mm (5.9 inches),99 mm (3.9 inches),150/80-19 71H ,150/80-19 71H ,318 mm (12.5 inches),351.5 kg (775.0 pounds),,"719 mm (28.3 inches) If adjustable, lowest setting.",Electric,,2,Carburettor,,Single Overhead Cams (SOHC),Electric,32.0°,188 mm (7.4 inches),41mm stanchions,"dual dampers, adjustable for air-pressure, rebound damping",3.50 litres (3.7 US quarts),,,,,,,,,Steel,"Red/red, green/green",Wet Sump,"Wet plate, multiple",,2510 mm (98.8 inches),,,,,,,826 mm (32.5 inches),4.16 litres (1.10 US gallons),Double chrome pipes,,15.33 seconds,,,,,,,,,,
Yamaha TRX 850,1999,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",849.0 ccm (51.81 cubic inches),"Twin, four-stroke",83.0 HP (60.6  kW)) @ 7500 RPM,218.0 km/h (135.5 mph),Liquid,5-speed,Chain   (final drive),Dual disc,Single disc,,,1435 mm (56.5 inches),18.00 litres (4.76 US gallons),87.0 Nm (8.9 kgf-m or 64.2 ft.lbs) @ 6000 RPM,3.70 seconds,11.60 seconds,10.5:1,89.5 x 67.5 mm (3.5 x 2.7 inches),5.80 litres/100 km (17.2 km/l or 40.56 mpg),134.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),130 mm (5.1 inches),120/60-ZR17 ,160/60-ZR17 ,245 mm (9.6 inches),209.0 kg (460.8 pounds),48.4,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XLR 125,1999,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",11.4 HP (8.3  kW)) @ 8250 RPM,94.0 km/h (58.4 mph),Air,5-speed,Chain   (final drive),Single disc,Expanding brake,,,1375 mm (54.1 inches),9.00 litres (2.38 US gallons),10.5 Nm (1.1 kgf-m or 7.7 ft.lbs) @ 7000 RPM,,,9.2:1,56.5 x 49.5 mm (2.2 x 1.9 inches),3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,225 mm (8.9 inches),231 mm (9.1 inches),,,110 mm (4.3 inches),126.0 kg (277.8 pounds),49.0,"860 mm (33.9 inches) If adjustable, lowest setting.",Electric,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati SS 750 Supersport,1999,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 8500 RPM,205.0 km/h (127.4 mph),Air,5-speed,Chain   (final drive),Dual disc,Single disc,183.0 kg (403.4 pounds),0.3497 HP/kg,1405 mm (55.3 inches),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM LC2 125,1999,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)),110.0 km/h (68.4 mph),Liquid,6-speed,Chain   (final drive),Single disc,Single disc,121.0 kg (266.8 pounds),0.1240 HP/kg,1440 mm (56.7 inches),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Supercity,1999,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,Liquid,5-speed,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,Carburettor. Dell orto,,,,,,,,,,,,,,,,,,,,Wet plate,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS 1100 Drag Star,1999,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1063.0 ccm (64.86 cubic inches),"V2, four-stroke",62.0 HP (45.3  kW)) @ 5750 RPM,170.0 km/h (105.6 mph),Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,,,1640 mm (64.6 inches),17.00 litres (4.49 US gallons),85.0 Nm (8.7 kgf-m or 62.7 ft.lbs) @ 2500 RPM,5.40 seconds,13.60 seconds,8.3:1,95.0 x 75.0 mm (3.7 x 3.0 inches),5.80 litres/100 km (17.2 km/l or 40.56 mpg),134.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,140 mm (5.5 inches),113 mm (4.4 inches),110/90-18 ,170/85-15 ,282 mm (11.1 inches),278.0 kg (612.9 pounds),46.9,"690 mm (27.2 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda F6C,1999,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1520.0 ccm (92.75 cubic inches),"Six cylinder boxer, four-stroke",102.0 HP (74.5  kW)) @ 6000 RPM,196.0 km/h (121.8 mph),Liquid,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,,,1690 mm (66.5 inches),20.00 litres (5.28 US gallons),130.0 Nm (13.3 kgf-m or 95.9 ft.lbs) @ 4500 RPM,3.40 seconds,10.40 seconds,9.8:1,71.0 x 64.0 mm (2.8 x 2.5 inches),7.90 litres/100 km (12.7 km/l or 29.77 mpg),183.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,130 mm (5.1 inches),120 mm (4.7 inches),150/80-ZR17 ,180/70-ZR16 ,316 mm (12.4 inches),336.0 kg (740.8 pounds),48.0,"740 mm (29.1 inches) If adjustable, lowest setting.",Electric,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki W 650,1999,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",676.0 ccm (41.25 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 5000 RPM,150.0 km/h (93.2 mph),Air,5-speed,Chain   (final drive),Single disc,,200.0 kg (440.9 pounds),0.2500 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 1200 SA Bandit,1999,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1157.0 ccm (70.60 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8500 RPM,220.0 km/h (136.7 mph),Oil & air,5-speed,Chain   (final drive),Dual disc,Single disc,,,1435 mm (56.5 inches),19.00 litres (5.02 US gallons),91.0 Nm (9.3 kgf-m or 67.1 ft.lbs) @ 4500 RPM,3.00 seconds,8.60 seconds,9.5:1,79.0 x 59.0 mm (3.1 x 2.3 inches),7.30 litres/100 km (13.7 km/l or 32.22 mpg),169.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,130 mm (5.1 inches),120 mm (4.7 inches),120/70-ZR17 ,180/55-ZR17 ,240 mm (9.4 inches),244.0 kg (537.9 pounds),48.1,"840 mm (33.1 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sym Husky 125,1999,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 8500 RPM,100.0 km/h (62.1 mph),Air,5-speed,Chain   (final drive),Single disc,Expanding brake,,,1400 mm (55.1 inches),12.00 litres (3.17 US gallons),8.7 Nm (0.9 kgf-m or 6.4 ft.lbs) @ 7500 RPM,,,,56.0 x 50.6 mm (2.2 x 2.0 inches),3.40 litres/100 km (29.4 km/l or 69.18 mpg),78.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,150 mm (5.9 inches),73 mm (2.9 inches),,,150 mm (5.9 inches),146.0 kg (321.9 pounds),,"710 mm (28.0 inches) If adjustable, lowest setting.",Electric & kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 1500 Drifter,1999,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1470.0 ccm (89.70 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 5500 RPM,177.0 km/h (110.0 mph),Liquid,5-speed,Shaft drive (cardan)   (final drive),Single disc,,298.0 kg (657.0 pounds),0.2181 HP/kg,1655 mm (65.2 inches),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1200 C,1999,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, four-stroke",61.0 HP (44.5  kW)) @ 5000 RPM,172.0 km/h (106.9 mph),Oil & air,5-speed,Shaft drive (cardan)   (final drive),"Dual disc, ABS","Single disc, ABS",,,1650 mm (65.0 inches),17.00 litres (4.49 US gallons),98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 3000 RPM,5.30 seconds,12.00 seconds,10.0:1,101.0 x 73.0 mm (4.0 x 2.9 inches),6.30 litres/100 km (15.9 km/l or 37.34 mpg),146.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,144 mm (5.7 inches),100 mm (3.9 inches),100/90-18 ,170/80-15 ,285 mm (11.2 inches),268.0 kg (590.8 pounds),49.3,"740 mm (29.1 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
