Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Seat height,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Color options,Starter,Engine details,Power,Torque,Driveline,Exhaust system,Frame type,Wheels,Dry weight,Power/weight ratio,Comments,Valves per cylinder,Clutch,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,Diameter,Reserve fuel capacity,Fuel consumption,Greenhouse gases,"Weight incl. oil, gas, etc",Ground clearance,Factory warranty,Top speed,Seat,Light,Emission details,Electrical,Oil capacity,Instruments,Alternate seat height,Carrying capacity,0-100 km/h (0-62 mph),Modifications compared to previous model,Spark plugs,Max RPM,Engine oil,Brake fluid,Coolant,Fork tube size,Idle speed,Tire pressure front,Tire pressure rear,Front percentage of weight,Chain links,Sprockets,Battery
Qlink Rodeo 500,2013,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,471.0 ccm (28.74 cubic inches),"Single cylinder, four-stroke",9.4:1,84.5 x 84.0 mm (3.3 x 3.3 inches),Carburettor. PD33J-A,,,,Liquid,Automatic,Shaft drive (cardan)   (final drive),Independent Double A-Arm,Independent Double A-Arm,25/8-12 ,25/10-12 ,Single disc,Single disc,"861 mm (33.9 inches) If adjustable, lowest setting.",1214 mm (47.8 inches),2230 mm (87.8 inches),1120 mm (44.1 inches),,16.65 litres (4.40 US gallons),"Red, camo",Electric & kick,,22.8 HP (16.6  kW)),,4WD and differential lock,,,,327.5 kg (722.0 pounds),0.0696 HP/kg,2WD/4WD. Automatic CVT with L-H-N-R-P. Winch.,,,,,,,,,,,,257 mm (10.1 inches),1 Year Limited,,,,,,,Digital ,,,,,,,,,,,,,,,,,
Husqvarna TE511,2013,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",478.0 ccm (29.17 cubic inches),"Single cylinder, four-stroke",,101.0 x 59.6 mm (4.0 x 2.3 inches),Injection. Keihin Digital Fuel Injection,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),48mm Kayaba USD,CTS with Kayaba Multi Adjustable Shock,90/90-21 ,140/90-18 ,Single disc. Wave disc. ,Single disc. Wave disc. ,"958 mm (37.7 inches) If adjustable, lowest setting.",,2280 mm (89.8 inches),820 mm (32.3 inches),1490 mm (58.7 inches),8.50 litres (2.25 US gallons),Red/White/Black,Electric,Titanium valves in radial arrangement,,,6 speed constant mesh,,"Double beam, double cradle and high resistance chromoly steel frame (round and elliptical). Light alloy sub frame.",,113.0 kg (249.1 pounds),,,,"Multi plate, hydraulic operation",25.8°,101 mm (4.0 inches),,,240 mm (9.4 inches),,,,,335 mm (13.2 inches),2 Years,,,,,,1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,
Suzuki GSR750 ABS,2013,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",12.3:1,72.0 x 46.0 mm (2.8 x 1.8 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic (Transistorised),Wet sump,Liquid,6-speed,Chain   (final drive),"Inverted telescopic, Coil spring, Oil damped","Link type, Coil spring, Oil damped",120/70-ZR17 ,180/55-ZR17 ,Double disc. ABS,Single disc. ABS,"815 mm (32.1 inches) If adjustable, lowest setting.",1060 mm (41.7 inches),2115 mm (83.3 inches),785 mm (30.9 inches),1450 mm (57.1 inches),17.50 litres (4.62 US gallons),"Metallic Triton Blue/Glass Sparkle Black, Black, White


",Electric,,,,,,,,,,,,,,,,,,,3.89 litres/100 km (25.7 km/l or 60.47 mpg),90.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Scarabeo 125ie,2013,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0:1,,Injection. EFI,Double Overhead Cams/Twin Cam (DOHC),,Separate oil petrol pump mixer,Liquid,Automatic,Belt   (final drive),Hydraulic telescopic fork,Hydraulic shock absorber,100/80-16 ,120/80-16 ,Single disc,Single disc,"810 mm (31.9 inches) If adjustable, lowest setting.",1380 mm (54.3 inches),2025 mm (79.7 inches),725 mm (28.5 inches),1380 mm (54.3 inches),8.50 litres (2.25 US gallons),"White, black, silver, red, blue, pink",Electric,,19.7 HP (14.4  kW)) @ 10000 RPM,11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 8000 RPM,,,Single cradle tubular steel,,154.0 kg (339.5 pounds),0.1280 HP/kg,,,Automatic dry centifuge with damper buffers,,,100 mm (3.9 inches),90 mm (3.5 inches),220 mm (8.7 inches),,,,,,,,,,Euro III,,,,,,,,,,,,,,,,,,,,
Honda CRF150R,2013,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",11.7:1,66.0 x 43.7 mm (2.6 x 1.7 inches),Carburettor. Keihin® 32mm flat slide with Throttle Position Sensor (TPS),Single Overhead Cams (SOHC),Solid-state CD with electronic advance,,Liquid,5-speed,Chain   (final drive),37mm fully adjustable leading-axle inverted Showa® cartridge fork; 10.8 inches travel,Pro-Link® fully adjustable Showa single shock; 10.7 inches travel,70/100-17 ,90/100-14 ,Single disc,Single disc,"833 mm (32.8 inches) If adjustable, lowest setting.",,,,1260 mm (49.6 inches),4.20 litres (1.11 US gallons),Red,,,,,#420 chain; 15T/50T,,,,,,Model ID: CRF150R,,,27.0°,78 mm (3.1 inches),,,190 mm (7.5 inches),,,,83.9 kg (185.0 pounds),302 mm (11.9 inches),,,,,Consult owners manual for optional racing parts.,,,,,,,,,,,,,,,,,,,,
Honda Ape 100 Type D,2013,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,99.0 ccm (6.04 cubic inches),"Single cylinder, four-stroke",9.4:1,53.0 x 45.0 mm (2.1 x 1.8 inches),Carburettor. PB5QC,Overhead Cams (OHC),CDI,Pumped splash,Air,5-speed,Chain   (final drive),Telescopic fork,Swing arm (Pro-link),120/80-12 ,120/80-12 ,Single disc,Single disc,"715 mm (28.1 inches) If adjustable, lowest setting.",1155 mm (45.5 inches),1715 mm (67.5 inches),780 mm (30.7 inches),1190 mm (46.9 inches),5.50 litres (1.45 US gallons),"Graphite Black/Nassau Blue Metallic, Graphite Black/Magna Red, Shasta White/graphite black",Kick,,6.2 HP (4.5  kW)) @ 8000 RPM,6.6 Nm (0.7 kgf-m or 4.9 ft.lbs) @ 6000 RPM,,Catalyst exhaust pipe,Diamond,Aluminium,,,Sold in some Asian countries. Model id: EBJ-HC13.,,Multi-plate coil spring wet,28.3°,89 mm (3.5 inches),,,,,1.82 litres/100 km (54.9 km/l or 129.24 mpg),42.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,88.0 kg (194.0 pounds),140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Dihao HN150-N Lynx,2013,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.4 ccm (9.12 cubic inches),"Single cylinder, four-stroke",9.2:1,,Carburettor,,,,Air,Automatic,Belt   (final drive),Telescopic fork,Dual shocks,2.75-18 ,110/90-16 ,Single disc,Single disc,,1115 mm (43.9 inches),2000 mm (78.7 inches),725 mm (28.5 inches),1350 mm (53.1 inches),18.50 litres (4.89 US gallons),Silver,Electric & kick,,12.1 HP (8.8  kW)) @ 8500 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 7000 RPM,,,,5-spoke black rims,115.0 kg (253.5 pounds),0.1050 HP/kg,Chinese made bike.,,,,,,,,,,,,,,95.0 km/h (59.0 mph),,,,,,,,,,,,,,,,,,,,,,,
Kymco Mongoose 70,2013,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,69.0 ccm (4.21 cubic inches),"Single cylinder, four-stroke",,,Carburettor,Single Overhead Cams (SOHC),,Wet sump,Air,Automatic,,Single A-arm,Swing arm,16/8-7 ,16/8-7 ,Expanding brake (drum brake),Single disc,"660 mm (26.0 inches) If adjustable, lowest setting.",940 mm (37.0 inches),1448 mm (57.0 inches),914 mm (36.0 inches),963 mm (37.9 inches),5.30 litres (1.40 US gallons),"Red, Blue",Electric & kick,,5.3 HP (3.9  kW)),,CVT,,,,105.2 kg (232.0 pounds),0.0504 HP/kg,C.A.R.B. Certified with USFS-Approved Spark Arrestor. Made in Taiwan.,,,,,,,,,,,,184 mm (7.3 inches),1 Year Limited Factor Warranty.,,,Headlight and Taillight,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 696,2013,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",696.0 ccm (42.47 cubic inches),"V2, four-stroke",10.7:1,88.0 x 57.2 mm (3.5 x 2.3 inches),"Injection. Siemens electronic fuel injection, 45mm throttle body",Desmodromic valve control,,,Air,6-speed,Chain   (final drive),43mm upside-down forks,Progressive linkage with preload and rebound Sachs adjustable monoshock,120/60-17 ,160/60-17 ,Double disc. Four-piston calipers. ,Single disc. Two-piston calipers. ,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,1450 mm (57.1 inches),15.00 litres (3.96 US gallons),"Black, red, white",,,78.9 HP (57.6  kW)) @ 9000 RPM,69.0 Nm (7.0 kgf-m or 50.9 ft.lbs) @ 7750 RPM,Chain; Front sprocket 15; Rear sprocket 45. Primary drive: Straight cut gears; Ratio 1.85.,2 aluminum mufflers,Tubular steel Trellis frame,3-spoke light alloy,161.0 kg (354.9 pounds),0.4898 HP/kg,,4,APTC wet multiplate with hydraulic control,24.0°,87 mm (3.4 inches),,,245 mm (9.6 inches),,,,185.0 kg (407.9 pounds),,2 years unlimited mileage,,,,Euro 3,,,"Digital unit displaying  Speedometer, rev counter, clock, scheduled maintenance warning, oil temperature, trip fuel, air temperature, lap time, warning light for low oil pressure, fuel level, fuel reserve, neutral, turn signals, overrev, immobilizer. Ready for DDA system.",,,,,,,,,,,,,,,,,
Aprilia Mojito 125,2013,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",11.5:1,,Carburettor,Overhead Cams (OHC),Electronic inductive discharge ignition with variable advance,Wet sump. Forced circulation with mechanical pump,Air,Automatic,Belt   (final drive),Trailing link fork ,Hydraulic mono-shock absorber ,120/70-12 ,130/70-10 ,Single disc,Expanding brake (drum brake),"775 mm (30.5 inches) If adjustable, lowest setting.",,1980 mm (78.0 inches),720 mm (28.3 inches),,8.00 litres (2.11 US gallons),"White
",Electric,,,,V belt,,Single cradle frame in high strength steel tube,Light alloy. ,,,,2,Automatic centrifugal dry clutch,,,85 mm (3.3 inches),84 mm (3.3 inches),140 mm (5.5 inches),2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambretta LN151,2013,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",151.0 ccm (9.21 cubic inches),"Single cylinder, four-stroke",10.4:1,57.4 x 58.2 mm (2.3 x 2.3 inches),Carburettor,Single Overhead Cams (SOHC),CDI,"Vapor lubrication system, force-feed",Air,Automatic,Belt   (final drive),Telescopic hydraulic,Hydraulic monoshock,110/70-12 ,120/70-12 ,Single disc,Expanding brake (drum brake),"800 mm (31.5 inches) If adjustable, lowest setting.",1380 mm (54.3 inches),1930 mm (76.0 inches),530 mm (20.9 inches),,6.00 litres (1.59 US gallons),"Milk/cyan, Milk/yellow, Milk/red, Milk/coral, Cream/green",Electric,,10.3 HP (7.5  kW)) @ 7500 RPM,10.8 Nm (1.1 kgf-m or 8.0 ft.lbs) @ 6000 RPM,CVT / speed variator,,Steel,,111.0 kg (244.7 pounds),0.0931 HP/kg,,2,,,,,,190 mm (7.5 inches),,,,,,,,,,Euro 3,,,,,,,,,,,,,,,,,,,,
Qlink Rodeo 700,2013,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,686.0 ccm (41.86 cubic inches),"Single cylinder, four-stroke",9.2:1,102.0 x 84.0 mm (4.0 x 3.3 inches),Carburettor. PD42J,,,,Liquid,Automatic,Shaft drive (cardan)   (final drive),Independent Double A-Arm,Independent Double A-Arm,25/8-12 ,25/10-12 ,Single disc,Single disc,,1214 mm (47.8 inches),2230 mm (87.8 inches),1120 mm (44.1 inches),,16.65 litres (4.40 US gallons),"Red, camo",Electric,,33.5 HP (24.5  kW)),,,,,,328.0 kg (723.0 pounds),0.1021 HP/kg,2WD/4WD pushbutton switch. Automatic CVT with L-H-N-R-P.,,,,,,,,,,,,,12 months limited,,,,,,,Digital,,,,,,,,,,,,,,,,,
Aprilia Dorsoduro 750 Factory ABS,2013,Super motard,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,749.9 ccm (45.76 cubic inches),"V2, four-stroke",11.0:1,92.0 x 56.4 mm (3.6 x 2.2 inches),Injection. Integrated engine management system. Electronic fuel injection with ride-by-wire electronic throttle control.,Double Overhead Cams/Twin Cam (DOHC),"Digital electronic, integrated in the fuel injection system.",Wet sump.,Liquid,6-speed,Chain   (final drive),Multi-adjustable Sachs upside-down fork with Ø 43 mm diam. stanchions. ,"Aluminium alloy swingarm Gas-operated shock absorber with piggy back, with adjustable spring preload and compression and rebound damping.",120/70-ZR17 ,180/55-ZR17 ,Double disc. Bremo.  Wave stainless steel floating disc. ,Single disc. Bremo.  Wave stainless steel disc. ,"870 mm (34.3 inches) If adjustable, lowest setting.",1185 mm (46.7 inches),2216 mm (87.2 inches),905 mm (35.6 inches),1505 mm (59.3 inches),12.00 litres (3.17 US gallons),Vulcano black,,Aprilia V90 longitudinal 90° V twin. Ride-by-Wire System.,90.3 HP (65.9  kW)) @ 8750 RPM,82.0 Nm (8.4 kgf-m or 60.5 ft.lbs) @ 4500 RPM,Primary drive: Spur gears. Transmission ratio 38/71 (1.87).  Final drive: Chain. Transmission ratio 16/46. ,Two in one system in 100% stainless steel with three-way catalytic converter and Lambda probe.,Modular steel trellis secured to aluminium side plates by high strength bolts. Detachable rear frame. ,Aluminium alloy. Front: 3.50 x 17´. Rear: 6.00 x 17´. ,185.0 kg (407.9 pounds),0.4878 HP/kg,,4,Hydraulically operated multi-plate wet clutch.,26.0°,108 mm (4.3 inches),160 mm (6.3 inches),160 mm (6.3 inches),240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 350 XC-F,2013,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.7 ccm (21.34 cubic inches),"Single cylinder, four-stroke",,,Injection,,Contactless controlled fully electronic ignition with digital ignition adjustment,Pressure circulation lubrication with two Eaton pumps,Liquid,6-speed,,WP  Suspension Up Side Down 4860 MXMA CC,WP  Suspension 5018 BAVP DCC,,,Single disc,Single disc,"992 mm (39.1 inches) If adjustable, lowest setting.",,,,1495 mm (58.9 inches),9.00 litres (2.38 US gallons),Orange/gray,Electric & kick,,,,5/8 x 1/4,,Central tubular frame made from chrome molybdenum steel tubes,,107.8 kg (237.7 pounds),,,,Multidisc clutch in oil bath/hydraulically activated,26.5°,,292 mm (11.5 inches),335 mm (13.2 inches),220 mm (8.7 inches),,,,,376 mm (14.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trophy SE,2013,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1215.0 ccm (74.14 cubic inches),"In-line three, four-stroke",,85.0 x 71.4 mm (3.3 x 2.8 inches),Injection. Ride by wire. fuel injection,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Shaft drive (cardan)   (final drive),"WP 43mm upside down forks, electronically adjustable rebound damping (sport/normal/comfort) with 127mm travel.","WP monoshock with integral oil reservoir, electronically adjustable hydraulic preload (1up, 1up+luggage, 2up), electronically adjustable rebound damping (sport, normal, comfort), 120mm rear wheel travel.",120/70-17 ,190/55-17 ,"Double disc. Floating discs, Nissin 4-piston calipers, linked brakes (front brakes partially activated by rear), ABS (non-switchable)","Single disc. Nissin 2-piston sliding caliper, ABS (non-switchable)","770 mm (30.3 inches) If adjustable, lowest setting.",1435 mm (56.5 inches),2235 mm (88.0 inches),975 mm (38.4 inches),1542 mm (60.7 inches),26.00 litres (6.87 US gallons),"White, blue",Electric,,134.0 HP (97.8  kW)) @ 8900 RPM,120.0 Nm (12.2 kgf-m or 88.5 ft.lbs) @ 6450 RPM,,Stainless steel 3 into 1. side mounted stainless steel silencer,Aluminium beam twin-spar,Cast aluminium 5-spoke ,,,,,Wet. multi-plate,27.0°,119 mm (4.7 inches),,,282 mm (11.1 inches),,,,301.0 kg (663.6 pounds),,2 year warranty unlimited mileage,,,,,,4.00 litres (4.23 US quarts),"Dual analogue gauges and trip computers, range to empty indication, service indicator, gear position indication, air temperature, frost warning, accessory heated seats/grips status display, cruise control ",,Saddle bags,,,,,,,,,,,,,,,
Husqvarna TR650 Strada,2013,Super motard," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",,,Injection,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),Marzocchi,Sachs,120/70-17 ,150/60-17 ,Single disc. ABS,Single disc. ABS,,,,,1495 mm (58.9 inches),,White/black/red,Electric,,57.7 HP (42.1  kW)) @ 7250 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 5750 RPM,,,Split-backbone tubular steel,,,,BMW engine,4,,,,190 mm (7.5 inches),190 mm (7.5 inches),,,,,,,2 Years,,,,,,,Digital dash,,,,,,,,,,,,,,,,,
Yamaha Star Roadliner S,2013,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1851.9 ccm (113.00 cubic inches),"V2, four-stroke",9.5:1,100.0 x 118.0 mm (3.9 x 4.6 inches),Injection. Twin-Bore electronic fuel injection;throttle position sensor,Overhead Valves (OHV),TCI: Transistor Controlled Ignition,,Air,5-speed,Belt   (final drive),46mm telescopic fork,Single shock,130/70-M18 ,190/60-M17 ,Double disc. Hydraulic. ,Single disc. Hydraulic. ,"706 mm (27.8 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),2591 mm (102.0 inches),1054 mm (41.5 inches),1715 mm (67.5 inches),17.03 litres (4.50 US gallons),Raven,Electric,48° V-twin,,,,,Aluminum,12-spoke cast,,,,4,,,,130 mm (5.1 inches),109 mm (4.3 inches),320 mm (12.6 inches),,5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,340.2 kg (750.0 pounds),155 mm (6.1 inches),1 Year (Limited Factory Warranty),,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Softail Fat Boy Lo,2013,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1688.0 ccm (103.00 cubic inches),"V2, four-stroke",9.6:1,98.4 x 111.3 mm (3.9 x 4.4 inches),Injection. Electronic Sequential Port Fuel Injection (ESPFI),,,,Air,6-speed,Belt   (final drive),,,140/75-R17 ,200/55-R17 ,Double disc. 4-piston,Single disc. 2-piston,"616 mm (24.3 inches) If adjustable, lowest setting.",,2395 mm (94.3 inches),,1638 mm (64.5 inches),18.93 litres (5.00 US gallons),"Anniversary Vintage Bronze/Anniversary Vintage Black, Candy Orange, Black Denim, Vivid Black",Electric,"Air-cooled, Twin Cam 103B™",,133.8 Nm (13.6 kgf-m or 98.7 ft.lbs) @ 3000 RPM,"Primary chain, 34/46 ratio","Denim Black and Satin Chrome, over/under shotgun exhaust with dual mufflers",,"Black, Bullet Hole Disc Cast Aluminum",313.0 kg (690.0 pounds),,,,Multi-plate with diaphragm spring in oil bath,31.6°,147 mm (5.8 inches),,,,,5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,330.2 kg (728.0 pounds),122 mm (4.8 inches),,,,"High beam, neutral, low oil pressure, turn signals, engine diagnostics, security system (optional), 6-speed, low fuel warnings",,,3.30 litres (3.49 US quarts),"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, RPM/gear display, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light",,,,,,,,,,,,,,,,,
CPI Bravo 125,2013,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,Carburettor,,,,Air,Automatic,Belt   (final drive),,,2.50-10 ,3.00-10 ,Single disc,Expanding brake (drum brake),,1110 mm (43.7 inches),1760 mm (69.3 inches),650 mm (25.6 inches),1240 mm (48.8 inches),5.80 litres (1.53 US gallons),,Electric & kick,,10.0 HP (7.3  kW)) @ 7800 RPM,9.8 Nm (1.0 kgf-m or 7.2 ft.lbs) @ 8000 RPM,,,,,85.0 kg (187.4 pounds),0.1175 HP/kg,Taiwanese brand.,,,,,,,,,,,,,,60.0 km/h (37.3 mph),Dual seat,,,,,,,,,,,,,,,,,,,,,,
Ebretti 518,2013,Scooter," 2.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",,Electric,,,,,,,Air,,,,,3.00-10 ,3.00-10 ,Single disc. Hydraulic disk,Expanding brake (drum brake),,1300 mm (51.2 inches),1740 mm (68.5 inches),880 mm (34.6 inches),1200 mm (47.2 inches),,,Electric,Brushless hub motor,,,,,,,120.0 kg (264.6 pounds),,Various battery options. Charge at any ordinary power outlet.,,,,,,,,,,,,,,45.0 km/h (28.0 mph),Two person seat,35 /35 Watt,No direct emissions,,,Speedometer – battery charge meter - warning light,,,,,,,,,,,,,,,,,
Johnny Pag Ventura 320i,2013,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",320.0 ccm (19.53 cubic inches),"Twin, four-stroke",10.5:1,53.0 x 62.0 mm (2.1 x 2.4 inches),Injection. EFI,Single Overhead Cams (SOHC),,Forced Lubrication,Liquid,5-speed,,"Telescopic fork, 39 mm",,90/90-21 ,140/70-18 ,Double disc. 2-piston,Single disc. 2-piston,"610 mm (24.0 inches) If adjustable, lowest setting.",,,,1676 mm (66.0 inches),7.95 litres (2.10 US gallons),Black,Electric,,22.0 HP (16.1  kW)) @ 8500 RPM,,,Stainless Steel,Seamless steel tubing,Stainless Steel Spoked rims with T6 6061 billet hubs,,,,2,,35.0°,,,,,,3.46 litres/100 km (28.9 km/l or 67.98 mpg),80.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,185.1 kg (408.0 pounds),,12 months,170.6 km/h (106.0 mph),,,,,,,,,,,,,,,,,,,,,,,
BMW K 1300 S,2013,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1293.0 ccm (78.90 cubic inches),"In-line four, four-stroke",13.0:1,80.0 x 64.3 mm (3.1 x 2.5 inches),Injection. Electronic intake pipe injection/digital engine management including knock sensor (BMS-K),Double Overhead Cams/Twin Cam (DOHC),,Dry sump,Liquid,6-speed,Shaft drive (cardan)   (final drive),BMW Motorrad Duolever,Cast aluminum single-sided swing arm with BMW Motorrad Paralever,120/70-17 ,190/55-17 ,Double disc. Floating discs. Four-piston calipers. ABS.,Single disc. Floating disc. Two-piston calipers. ABS.,"820 mm (32.3 inches) If adjustable, lowest setting.",1219 mm (48.0 inches),2182 mm (85.9 inches),904 mm (35.6 inches),1585 mm (62.4 inches),18.93 litres (5.00 US gallons),"Silver/black, Black/grey",Electric,,175.0 HP (127.7  kW)) @ 9250 RPM,103.0 Nm (10.5 kgf-m or 76.0 ft.lbs) @ 8250 RPM,Constant mesh,,"Bridge-type frame, cast aluminum, load-bearing engine",Cast aluminum,228.2 kg (503.0 pounds),0.7670 HP/kg,,4,"Multiple-disc clutch in oil bath, hydraulically operated",29.6°,104 mm (4.1 inches),114 mm (4.5 inches),135 mm (5.3 inches),265 mm (10.4 inches),3.79 litres (1.00 US gallons),4.70 litres/100 km (21.3 km/l or 50.05 mpg),109.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,254.0 kg (560.0 pounds),,,201.2 km/h (125.0 mph),,,"Closed-loop 3-way catalytic converter, emission standard EU-3","12 V / 12 Ah, maintenance-free battery.",,,,,,,,,,,,,,,,,,,
Longjia Exactly 50 2T,2013,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",10.5:1,40.0 x 39.9 mm (1.6 x 1.6 inches),Carburettor,,CDI,,Air,Automatic,Belt   (final drive),Telecsopic fork,Swing arm,120/70-12 ,130/70-12 ,Single disc,Expanding brake (drum brake),,1160 mm (45.7 inches),1840 mm (72.4 inches),675 mm (26.6 inches),,6.80 litres (1.80 US gallons),White/gray/orange,Electric & kick,,3.8 HP (2.7  kW)) @ 6500 RPM,,V-Belt,,Steel,,87.0 kg (191.8 pounds),0.0431 HP/kg,Chinese brand.,,,,,,,,,,,,,,45.0 km/h (28.0 mph),,,,12V7AH battery.,,,,Rear rack,,,,,,,,,,,,,,,
Bourget Shredder,2013,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1917.4 ccm (117.00 cubic inches),"In-line four, four-stroke",,,Injection. EFI,,,,Liquid,Automatic,,A-Arm,A-Arm,255/35-ZR18 ,285/35-ZR18 ,Single disc. Wilwood Brake Calipers,Single disc. Wilwood Brake Calipers,,,,,,,Custom Paint  and  Graphics ,Electric,LS-2 Corvette Motor. Hughes 350 Turbo Automatic Transmission w/Perma Cooler.,,,,,BBW Hand Made All Aluminum Body,4 BBW Billet wheels,,,Custom bike/ATV. 4 wheels. ,,,,,,,,,,,,,,,,,,,,,,IPOD storage compartment in Dash,,,,,,,,,,,,,,,
Sonik GPX 150,2013,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.5 ccm (9.12 cubic inches),"Single cylinder, four-stroke",9.2:1,62.0 x 49.5 mm (2.4 x 1.9 inches),Carburettor,,CDI,,Air,5-speed,Chain   (final drive),Hydraulic fork,Hydraulic shock absorber (adjustable),2.75-18 ,3.00-18 ,Single disc,Expanding brake (drum brake),"790 mm (31.1 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),2090 mm (82.3 inches),780 mm (30.7 inches),1300 mm (51.2 inches),15.00 litres (3.96 US gallons),"Ice White, Piano Black, Wild Yellow, Competition Blue ",Electric & kick,,12.5 HP (9.1  kW)) @ 8500 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 7500 RPM,,,Steel,,118.0 kg (260.1 pounds),0.1057 HP/kg,Chinese brand. Also available with a 200 cc engine.,,Manual Wet Multi-Plate,,,,,,,2.20 litres/100 km (45.5 km/l or 106.92 mpg),51.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,90.0 km/h (55.9 mph),,,,,,,,,,,,,,,,,,,,,,,
