Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Cooling system,Gearbox,Transmission type,Frame type,Front suspension,Rear suspension,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Fuel system,Lubrication system,Front tire,Rear tire,Dry weight,Engine details,Valves per cylinder,Fuel control,Ignition,Clutch,Driveline,Fuel consumption,Greenhouse gases,Emission details,Exhaust system,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,Seat,Power/weight ratio,Alternate seat height,Instruments,Factory warranty,Electrical,Light,Carrying capacity,Reserve fuel capacity,Oil capacity,Top speed,0-100 km/h (0-62 mph),Max RPM,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,1/4 mile (0.4 km),Modifications compared to previous model,Belt teeth,Belt width,Pulley teeth
Derbi Senda DRD X-Treme 50 R,2018,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,11.5:1,39.9 x 40.0 mm (1.6 x 1.6 inches),Liquid,6-speed,Chain   (final drive),"Single spar, steel",Standard fork,"Aluminium swingarm, monoshock with adjustable preload",Single disc. Dual piston floating calliper ,220 mm (8.7 inches),Single disc,Wire spoked,96.0 kg (211.6 pounds),"900 mm (35.4 inches) If adjustable, lowest setting.",,2119 mm (83.4 inches),817 mm (32.2 inches),,1413 mm (55.6 inches),7.00 litres (1.85 US gallons),Blue/black/yellow,Kick,DRD is an abbreviation of Derbi Racing Development. Spanish brand.,Carburettor. 17.5 mm,Automatic mixer,80/90-21 ,110/80-18 ,,,,,CDI,Multi-disc,,,,,,,,180 mm (7.1 inches),182 mm (7.2 inches),,,,,,12V 4Ah battery,,,1.00 litres (0.26 US gallons),1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,,,,
Triumph Tiger 800 XRX,2018,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",799.0 ccm (48.75 cubic inches),"In-line three, four-stroke",95.0 HP (69.3  kW)) @ 9300 RPM,79.0 Nm (8.1 kgf-m or 58.3 ft.lbs) @ 7850 RPM,11.3:1,74.0 x 61.9 mm (2.9 x 2.4 inches),Liquid,6-speed,Chain   (final drive),"Tubular steel trellis. Twin-­sided, cast aluminium alloy swingarm.","Showa 43mm upside down forks, ",Showa monoshock with hydraulically adjustable preload,"Double disc. Floating discs, Brembo 2-piston sliding calipers, switchable ABS. ",255 mm (10.0 inches),"Single disc. Nissin single piston sliding caliper, switchable ABS.",Cast aluminium alloy 10­-spoke,,"810 mm (31.9 inches) If adjustable, lowest setting.",1350 mm (53.1 inches),2215 mm (87.2 inches),795 mm (31.3 inches),,1530 mm (60.2 inches),19.00 litres (5.02 US gallons),"Jet Black, Matt Jet Black, Chrystal White, Lucerne Blue",Electric,Windscreen. Traction control. Cruise control. Low seat version available.,Injection. Multipoint sequential,,100/90-19 ,150/70-R17 ,200.0 kg (440.9 pounds),,4,Double Overhead Cams/Twin Cam (DOHC),,Wet. multi-plate,O ring chain,5.74 litres/100 km (17.4 km/l or 40.98 mpg),133.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Stainless steel 3 into 1. high level stainless steel silencer,23.9°,92 mm (3.6 inches),180 mm (7.1 inches),170 mm (6.7 inches),,0.4750 HP/kg,"830 mm (32.7 inches) If adjustable, highest setting.","LCD multi-functional instrument pack with digital speedometer, trip computer, analogue tachometer, gear position indicator, fuel gauge, service indicator, switchable ABS and clock",24 months unlimited milage,,,,,3.70 litres (3.91 US quarts),,,,,,,,,,,,,,,,,,,,,
Honda TRX400X,2018,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,397.0 ccm (24.22 cubic inches),"Single cylinder, four-stroke",,,12.0:1,85.0 x 70.0 mm (3.3 x 2.8 inches),Air,5-speed,Chain   (final drive),,"Independent double-wishbone with Showa® shocks, five-position spring preload adjustability; 8.2 inches travel",Pro-Link® fully adjustable single Showa shock; 9.1 inches travel,Double disc. Hydraulic. ,220 mm (8.7 inches),Single disc,,185.1 kg (408.0 pounds),"836 mm (32.9 inches) If adjustable, lowest setting.",1118 mm (44.0 inches),1821 mm (71.7 inches),1156 mm (45.5 inches),104 mm (4.1 inches),1217 mm (47.9 inches),9.84 litres (2.60 US gallons),Red,Electric,Model ID: TRX400X,Carburettor. 38mm piston-valve with accelerator pump,Dry sump,22/7-10 ,20/10-9 ,,,4,Single Overhead Cams (SOHC),CD with electronic advance,Manual,O-ring-sealed chain,,,,,,,208 mm (8.2 inches),231 mm (9.1 inches),,,,,12 months,,,,1.51 litres (0.40 US gallons),,,,,,,,,,,,,,,,,,,,,,
GAS GAS TXT 250 Racing E4,2018,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.7 ccm (15.11 cubic inches),"Single cylinder, two-stroke",,,,72.5 x 60.0 mm (2.9 x 2.4 inches),Liquid,6-speed,Chain   (final drive),Chrom-Molybdenum tubular frame,"TECH with aluminium bar Ø 39. Rebound, compression, end stroke and spring preload regulation.",ÖHLINS hydraulic mono shock absorber (2 ways). Rebound and spring pre-load ajustable.,Single disc. Floating discs. Four-pistons  BRAKTEC caliper. ,150 mm (5.9 inches),Single disc. Two-pistons  BRAKTEC caliper. ,Michelin Trial X11 tyres,,"650 mm (25.6 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),2010 mm (79.1 inches),825 mm (32.5 inches),,1320 mm (52.0 inches),2.50 litres (0.66 US gallons),Red/white/black,Kick,Spanish made bike. ,Carburettor,2-stroke-oil/fuel mixed 1:50,2.75-21 ,4.00-18 ,67.5 kg (148.8 pounds),Reed valve,,,,GG 1/3 hydraulic-diaphragm-system,,,,,,,,180 mm (7.1 inches),167 mm (6.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Raider,2018,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1851.9 ccm (113.00 cubic inches),"V2, four-stroke",,,9.5:1,100.0 x 118.0 mm (3.9 x 4.6 inches),Air,5-speed,Belt   (final drive),"Double cradle, aluminium",Telescopic fork,Swingarm,Double disc. Hydraulic. ,310 mm (12.2 inches),Single disc. Hydraulic. ,5-spoke aluminum wheels,332.9 kg (734.0 pounds),"696 mm (27.4 inches) If adjustable, lowest setting.",1166 mm (45.9 inches),2570 mm (101.2 inches),925 mm (36.4 inches),145 mm (5.7 inches),1801 mm (70.9 inches),16.00 litres (4.23 US gallons),Raven,Electric,,Injection. Twin-Bore electronic fuel injection; throttle position sensor,,120/70-21 ,210/40-18 ,,,4,Overhead Valves (OHV),Transistor Controlled Ignition,Wet multi-disc,,5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,130 mm (5.1 inches),89 mm (3.5 inches),,,,,1 Year Limited,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Montesa Cota 4RT 260,2018,Trial," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",259.0 ccm (15.80 cubic inches),"Single cylinder, four-stroke",,,10.5:1,78.0 x 54.2 mm (3.1 x 2.1 inches),Liquid,5-speed,Chain   (final drive),,39mm TECH cartridge-type telescopic fork with Pre-load extension adjustments.,"Pro-Link ® , R16V damper with Pre-load and extension adjustments.",Single disc,150 mm (5.9 inches),Single disc,Wire spoked. Dunlop tyres.,74.3 kg (163.7 pounds),"650 mm (25.6 inches) If adjustable, lowest setting.",1140 mm (44.9 inches),2016 mm (79.4 inches),830 mm (32.7 inches),335 mm (13.2 inches),1321 mm (52.0 inches),2.00 litres (0.53 US gallons),Red/black,Kick,Model id: MRT260H.,Injection. PGM-FI,,2.75-21 ,4.00-18 ,73.0 kg (160.9 pounds),,4,Single Overhead Cams (SOHC),Electronically controlled digital transistorized,Mulitplate in oil bath,,,,,,23.0°,64 mm (2.5 inches),175 mm (6.9 inches),170 mm (6.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine Turbine Technologies 420 RR,2018,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Gas turbine,420.0 HP (306.6  kW)) @ 52000 RPM,678.0 Nm (69.1 kgf-m or 500.1 ft.lbs) @ 2000 RPM,,,,2-speed,Chain   (final drive),Tubular aluminum alloy. Carbon fiber fairings.,"Inverted fork, 55 mm","Mono-shock adjustable, oleo-pneumatic, Ohlins","Double disc. Brembo, 4 piston calipers",320 mm (12.6 inches),"Single disc. Brembo, 4 piston calipers",,,"800 mm (31.5 inches) If adjustable, lowest setting.",,,,,1727 mm (68.0 inches),34.00 litres (8.98 US gallons),Custom colors.,Electric,,,"Dry-sump, 3.5-qts turbine oil",120/60-ZR17 ,240/50-ZR17 ,226.8 kg (500.0 pounds),Rolls Royce Allison – 250-C20 Series Gas Turbine,,,,,"2-speed, automatic",,,,,27.0°,,,,,1.8519 HP/kg,,,,,,,6.00 litres (1.59 US gallons),3.30 litres (3.49 US quarts),,,54000,,,,,,,,,,,,,,,,,,
Kawasaki D-Tracker X Final Edition,2018,Super motard,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",24.1 HP (17.6  kW)) @ 9000 RPM,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 7000 RPM,,72.0 x 61.2 mm (2.8 x 2.4 inches),Air,6-speed,Chain   (final drive),"Tubular, Semi-double cradle",Telescopic fork,Uni-trak,Single disc. Dual piston calliper ,240 mm (9.4 inches),Single disc,Wire spoked,,"860 mm (33.9 inches) If adjustable, lowest setting.",1125 mm (44.3 inches),2130 mm (83.9 inches),795 mm (31.3 inches),225 mm (8.9 inches),1420 mm (55.9 inches),7.70 litres (2.03 US gallons),Blue/black,Electric,,Injection. Keihin,"Forced lubrication, wet sump",110/70-17 ,130/70-17 ,138.0 kg (304.2 pounds),,4,Double Overhead Cams/Twin Cam (DOHC),DC-CDI,Wet multi-disc,,,,,,25.5°,92 mm (3.6 inches),,,,0.1749 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Ultra Limited Low,2018,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1745.0 ccm (106.48 cubic inches),"V2, four-stroke",90.0 HP (65.7  kW)) @ 5450 RPM,152.0 Nm (15.5 kgf-m or 112.1 ft.lbs) @ 3250 RPM,10.0:1,100.0 x 111.3 mm (3.9 x 4.4 inches),Oil & air,6-speed,Belt   (final drive),,Telescopic fork,Twin shocks,Double disc. ABS. 4-piston,,Single disc. ABS. 4-piston,Contrast Chrome Impeller Cast Aluminum ,412.0 kg (908.3 pounds),"675 mm (26.6 inches) If adjustable, lowest setting.",,2600 mm (102.4 inches),,115 mm (4.5 inches),1625 mm (64.0 inches),22.71 litres (6.00 US gallons),"Vivid Black, Twisted Cherry, Silver Fortune/Black Tempest, Silver Fortune/Sumatra Brown, Wicked Red/Twisted Cherry, Industrial Gray Denim/Black Denim",Electric,Windshield. Infotainment. USB. Bluetooth.,Injection. Electronic Sequential Port Fuel Injection,Dry sump,130/80-B17 ,180/65-B16 ,396.0 kg (873.0 pounds),Twin-Cooled™ Milwaukee-Eight™ 107,,Double Overhead Cams/Twin Cam (DOHC),,Multi-plate with diaphragm spring in oil bath,"Chain, 34/46 ratio primary drive",5.90 litres/100 km (16.9 km/l or 39.87 mpg),136.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Chrome, 2-1-2 dual exhaust with tapered mufflers",26.0°,170 mm (6.7 inches),,,,0.2273 HP/kg,,"Large speedometer and tachometer with wide numbers; large fuel and volt gauges with wide numbers; display features odometer, trip A, trip B, range to empty, and gear indicator; and larger telltale indicators",,,"High beam, running lights, front fender running lights, directional light bar, low oil pressure, engine diagnostics, cruise control, speakers, accessory, security system, 6-speed, low fuel warning, ABS","Saddle bags, top box",,4.70 litres (4.97 US quarts),,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Street Rod,2018,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 9000 RPM,65.0 Nm (6.6 kgf-m or 47.9 ft.lbs) @ 4000 RPM,12.0:1,85.0 x 66.0 mm (3.3 x 2.6 inches),Liquid,6-speed,Belt   (final drive),,Telescopic fork,Twin shocks,"Single disc. 2-piston floated front and rear, optional ABS",,"Single disc. 2-piston floated front and rear, optional ABS","Black, 7-Spoke Cast Aluminum with Machined Rim Highlights",238.0 kg (524.7 pounds),"765 mm (30.1 inches) If adjustable, lowest setting.",,2130 mm (83.9 inches),,205 mm (8.1 inches),1510 mm (59.4 inches),13.20 litres (3.49 US gallons),"Vivid Black, Olive Gold, Red Iron Denim, Electric Blue, Bonneville Salt Denim",Electric,,"Injection. Mikuni Twin Port Fuel Injection, 42 mm bore ",,120/70-R17 ,160/60-R17 ,229.0 kg (504.9 pounds),Revolution X engine,4,Single Overhead Cams (SOHC),,Multi-plate with diaphragm spring in oil bath,Gear 36/68 ratio primary drive,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Black two- into-one,29.0°,99 mm (3.9 inches),,,,0.3057 HP/kg,,"3.5 inch electronic speedometer with high beam, neutral, low oil pressure, turn signals, engine diagnostics, low fuel warning, blade key ignition and fork lock, and locking gas cap",,,"High beam, neutral, low oil pressure, turn signals, engine diagnostics, low fuel warning",,,3.10 litres (3.28 US quarts),,,,,,,,,,,,,,,,,,,,,
KTM 690 Enduro R,2018,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",690.0 ccm (42.10 cubic inches),"Single cylinder, four-stroke",67.0 HP (48.9  kW)),,,102.0 x 84.5 mm (4.0 x 3.3 inches),Liquid,6-speed,Chain   (final drive),"Chrome-moly tubular space frame, powder-coated",WP USD Ø 48 mm,WP shock absorber with Pro-Lever linkage,Single disc. Brembo twin-piston floating calliper. Optional ABS.,240 mm (9.4 inches),Single disc. Brembo single-piston floating calliper.  Optional ABS.,Wire spoked,,"910 mm (35.8 inches) If adjustable, lowest setting.",,,,280 mm (11.0 inches),1504 mm (59.2 inches),12.00 litres (3.17 US gallons),Orange/black/white,Electric,Cable-free ´ride-by-wire´ system.,Injection,Pressure circulation lubrication with two rotor pumps,,,143.0 kg (315.3 pounds),Balancer shaft,,,"Keihin EMS with RBW, twin ignition","APTC slipper clutch, hydraulically actuated",5/8  x  1/4 X Ring,,,,,27.0°,,250 mm (9.8 inches),250 mm (9.8 inches),,0.4685 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-S125,2018,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",14.8 HP (10.8  kW)) @ 10000 RPM,11.5 Nm (1.2 kgf-m or 8.5 ft.lbs) @ 8000 RPM,11.0:1,62.0 x 41.2 mm (2.4 x 1.6 inches),Liquid,6-speed,Chain   (final drive),,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped",Single disc,,Single disc,,133.0 kg (293.2 pounds),"785 mm (30.9 inches) If adjustable, lowest setting.",1035 mm (40.7 inches),2020 mm (79.5 inches),745 mm (29.3 inches),165 mm (6.5 inches),1300 mm (51.2 inches),11.00 litres (2.91 US gallons),"Red, black",Electric,,Injection,Wet sump,90/80-M17 ,130/70-M17 ,,,,Double Overhead Cams/Twin Cam (DOHC),Electric,"Wet, multi-disc",,1.92 litres/100 km (52.1 km/l or 122.51 mpg),44.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MH NKZ 125,2018,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 9000 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 7500 RPM,,54.0 x 54.0 mm (2.1 x 2.1 inches),Air,5-speed,Chain   (final drive),Double-cradle steel frame,Telescopic fork,Hydraulic shock-absorbers with spring and external gas tank ,Single disc. CBS. Hydraulic. Twin piston.,220 mm (8.7 inches),Single disc. Hydraulic. ,,,"777 mm (30.6 inches) If adjustable, lowest setting.",1081 mm (42.6 inches),1928 mm (75.9 inches),766 mm (30.2 inches),,1310 mm (51.6 inches),18.00 litres (4.76 US gallons),"White, black",Electric,Brand previously called Motorhispania. Made in Spain.,Injection. Mikuni,,90/90-17 ,130/70-17 ,118.0 kg (260.1 pounds),,2,,C.D.I.,"Wet, multidisk",,,,Euro 4,,,,,,,0.0932 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha X-MAX 300,2018,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",292.0 ccm (17.82 cubic inches),"Single cylinder, four-stroke",27.6 HP (20.2  kW)) @ 7250 RPM,29.0 Nm (3.0 kgf-m or 21.4 ft.lbs) @ 5750 RPM,10.9:1,70.0 x 75.9 mm (2.8 x 3.0 inches),Liquid,Automatic,Belt   (final drive),,Telescopic forks,Unit Swing,Single disc. Hydraulic. ABS.,245 mm (9.6 inches),Single disc. Hydraulic. ABS.,Dunlop® Scoot Smart tyres,179.0 kg (394.6 pounds),"795 mm (31.3 inches) If adjustable, lowest setting.",1415 mm (55.7 inches),2185 mm (86.0 inches),775 mm (30.5 inches),135 mm (5.3 inches),1540 mm (60.6 inches),13.00 litres (3.43 US gallons),Vivid White,Electric,Windscreen. ,Injection,Wet sump,120/70-15 ,140/70-14 ,,,4,Single Overhead Cams (SOHC),TCI,,V-Belt Automatic,,,,,,,110 mm (4.3 inches),84 mm (3.3 inches),,,,,,,LED front and rear lights,"Underseat storage for two full face helmets, glove compartment.",,1.30 litres (1.37 US quarts),,,,,,,,,,,,,,,,,,,,,
Honda CRF450R,2018,Cross / motocross," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.7 ccm (27.44 cubic inches),"Single cylinder, four-stroke",53.0 HP (38.7  kW)) @ 9000 RPM,48.0 Nm (4.9 kgf-m or 35.4 ft.lbs) @ 7000 RPM,13.5:1,96.0 x 62.1 mm (3.8 x 2.4 inches),Liquid,5-speed,Chain   (final drive),Aluminium twin tube,49mm inverted Showa fork with rebound and compression damping adjustability.,"Pro-Link® Showa single shock with adjustable spring preload, rebound and compression damping adjustability.",Single disc. Hydraulic. Two-piston calipers. ,240 mm (9.4 inches),Single disc. Hydraulic. Single-piston caliper. ,Dunlop MX3S tyres,110.2 kg (243.0 pounds),"953 mm (37.5 inches) If adjustable, lowest setting.",1271 mm (50.0 inches),2191 mm (86.3 inches),827 mm (32.6 inches),330 mm (13.0 inches),1492 mm (58.7 inches),6.43 litres (1.70 US gallons),Red,Kick,Model id: CRF450R,Injection. PGM-Fi,,80/100-21 ,120/80-19 ,,"38mm intake valve, titanium; 31mm exhaust, steel",4,Single Overhead Cams (SOHC),Fully transistorized with electronic advance,Multi plate wet clutch,Constant mesh,,,,Twin-muffler ,27.2°,116 mm (4.6 inches),305 mm (12.0 inches),312 mm (12.3 inches),,,,,,12V 6Ah (10HR) battery.,,,,1.80 litres (1.9 US quarts),170.0 km/h (105.6 mph),,,,,,,,,,,,,,,,,,,,
Honda CRF250L Rally,2018,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.6 ccm (15.23 cubic inches),"Single cylinder, four-stroke",22.8 HP (16.6  kW)) @ 8500 RPM,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 7000 RPM,10.7:1,76.0 x 55.0 mm (3.0 x 2.2 inches),Liquid,6-speed,Chain   (final drive),,43mm inverted fork,Pro-Link® single shock with spring; 9.4 inches travel,Double disc. Two-piston calipers. ,220 mm (8.7 inches),Single disc,,144.0 kg (317.5 pounds),"874 mm (34.4 inches) If adjustable, lowest setting.",,,,269 mm (10.6 inches),1445 mm (56.9 inches),7.95 litres (2.10 US gallons),Red,Electric,Rally-style bodywork and windscreen. Model ID: CRF250LH,"Injection. PGM-FI, 38mm throttle body",,3.00-21 ,120/80-18 ,,,,Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital transistorized with electronic advance,Wet multiplate with coil springs,#520 chain; 14T/40T,,,,,27.0°,113 mm (4.4 inches),249 mm (9.8 inches),239 mm (9.4 inches),,,,Digital,One year. Unlimited milage. Transferable.,12V 6Ah (10HR) battery.,,,,1.80 litres (1.9 US quarts),,,,,,,,,,,,,,,,,,,,,
Husqvarna FC 450 Rockstar Edition,2018,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,449.3 ccm (27.42 cubic inches),"Single cylinder, four-stroke",63.0 HP (46.0  kW)),,,95.0 x 63.4 mm (3.7 x 2.5 inches),Liquid,5-speed,Chain   (final drive),25CrMo4 steel central-tube,"WP-USD, AER 48, Ø 48 mm",WP shock absorber with linkage,Single disc. Brembo twin-piston floating calliper,200 mm (7.9 inches),Single disc. Brembo single-piston floating calliper,,,"960 mm (37.8 inches) If adjustable, lowest setting.",,,,370 mm (14.6 inches),1485 mm (58.5 inches),7.00 litres (1.85 US gallons),White/yellow/wblue,Electric,,Carburettor,,90/90-21 ,140/90-18 ,,,,Single Overhead Cams (SOHC),Keihin EMS,"Wet, multi-disc clutch, Magura hydraulics",520 X-Ring chain,,,,,26.5°,,310 mm (12.2 inches),300 mm (11.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brough Superior Pendine Sand Racer,2018,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),"V2, four-stroke",100.0 HP (73.0  kW)) @ 9800 RPM,130.0 Nm (13.3 kgf-m or 95.9 ft.lbs) @ 8000 RPM,11.0:1,94.0 x 71.8 mm (3.7 x 2.8 inches),Liquid,6-speed,Chain   (final drive),Machined titanium frame with fabricated titanium subframe,"Fior-type cast aluminium wishbone fork with twin articulated titanium triangular links, and monoshock adjustable for preload and rebound damping with 120mm travel","Cast aluminium swingarm pivoting in engine crankcases, with monoshock adjustable for preload and rebound damping and progressive rate link with 130mm travel",Double disc. Four-piston calipers. ,230 mm (9.1 inches),Single disc. Two-piston calipers. ,Aaluminum,,"820 mm (32.3 inches) If adjustable, lowest setting.",1108 mm (43.6 inches),2180 mm (85.8 inches),730 mm (28.7 inches),,1540 mm (60.6 inches),,Black/silver,Electric,"Each motorcycle is made to order. There is a choice of three finishes and a number of options including optional wheels, handle bars, footrests and seats.",Injection,,120/70-R19 ,170/60-R17 ,196.0 kg (432.1 pounds),,4,,,Multiplate oil-bath Adler clutch with hydraulic operation,,,,,,23.3°,94 mm (3.7 inches),,,,0.5102 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory Octane,2018,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1179.0 ccm (71.94 cubic inches),"V2, four-stroke",104.0 HP (75.9  kW)) @ 8000 RPM,103.1 Nm (10.5 kgf-m or 76.0 ft.lbs) @ 6000 RPM,10.8:1,101.0 x 73.6 mm (4.0 x 2.9 inches),Liquid,6-speed,Belt   (final drive),,41mm damper-tube forks with dual-rate springs,"Twin shocks with dual-rate springs, adjustable preload",Single disc. Two-piston calipers. ,298 mm (11.7 inches),Single disc. Single-piston caliper. ,"Cast, 10-spoke",,"658 mm (25.9 inches) If adjustable, lowest setting.",,2309 mm (90.9 inches),,,1578 mm (62.1 inches),12.87 litres (3.40 US gallons),"Suede Pearl White, Gloss Black w/Graphics, Matte Super Steel Gray, Gloss Black",Electric,,Injection. Sequential Fuel Injection with single 60mm throttle body,,130/70-18 ,160/70-17 ,249.0 kg (549.0 pounds),"Self-adjusting cam chains, hydraulic lifters",4,Double Overhead Cams/Twin Cam (DOHC),,"Wet, multi-plate",,,,,,29.0°,137 mm (5.4 inches),130 mm (5.1 inches),93 mm (3.7 inches),,0.4177 HP/kg,,,,12 volts / 18 amp hours battery.,,,,4.70 litres (4.97 US quarts),,,,,,,,,,,,,,,,,,,,,
UM DSR Aventure,2018,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.2 ccm (7.58 cubic inches),"Single cylinder, four-stroke",14.8 HP (10.8  kW)) @ 10500 RPM,10.9 Nm (1.1 kgf-m or 8.0 ft.lbs) @ 8250 RPM,12.8:1,58.0 x 47.0 mm (2.3 x 1.9 inches),Liquid,6-speed,Chain   (final drive),Steel,Hydraulic Telescopic,Monoshock with adjustable preload,Single disc. Wave disc. Hydraulic. ,220 mm (8.7 inches),Single disc. Wave disc. Hydraulic. ,,,"800 mm (31.5 inches) If adjustable, lowest setting.",1408 mm (55.4 inches),1976 mm (77.8 inches),750 mm (29.5 inches),200 mm (7.9 inches),1451 mm (57.1 inches),11.20 litres (2.96 US gallons),"Black, Blue, Red",Electric & kick,,Injection. Marelli,,100/80-17 ,130/70-17 ,121.0 kg (266.8 pounds),,,,CDI,,,,,Euro IV,,,,150 mm (5.9 inches),150 mm (5.9 inches),,0.1219 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR650F ABS,2018,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"In-line four, four-stroke",85.8 HP (62.6  kW)) @ 11000 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 8000 RPM,11.4:1,67.0 x 46.0 mm (2.6 x 1.8 inches),Liquid,6-speed,Chain   (final drive),Steel diamond,41mm Fork,Single shock with spring-preload adjustability,Double disc. ABS. Two-piston calipers. ,240 mm (9.4 inches),Single disc. ABS. Single-piston caliper. ,Hollow-section 6-spoke cast aluminium,211.8 kg (467.0 pounds),"810 mm (31.9 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),2110 mm (83.1 inches),775 mm (30.5 inches),150 mm (5.9 inches),1449 mm (57.0 inches),17.30 litres (4.57 US gallons),Matte Black Metallic/Candy Red,Electric,Model ID: CBR650FA,"Injection. PGM-FI Programmed automatic enrichment circuit, with 32mm throttle bodies",Wet sump,120/70-ZR17 ,180/55-ZR17 ,,,4,Double Overhead Cams/Twin Cam (DOHC),Digital transistorized with electronic advance,"Wet, multiple discs. Mechanical, cable-actuated.",#525 O-ring chain,3.97 litres/100 km (25.2 km/l or 59.25 mpg),92.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,Meets current EPA standards. California version meets current CARB standards and may differ slightly due to emissions equipment.,Four-Into-One Exhaust,25.3°,101 mm (4.0 inches),120 mm (4.7 inches),128 mm (5.0 inches),,,,,One year. Unlimited milage. Transferable.,12V/8.6AH battery,12V; 60/55W low and high headlights,,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,
