Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Cooling system,Transmission type,Driveline,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Factory warranty,Engine details,Power,Torque,Top speed,Max RPM,Gearbox,Clutch,Fuel consumption,Greenhouse gases,Emission details,Frame type,Rake (fork angle),Diameter,Wheels,Seat,Dry weight,Power/weight ratio,Instruments,Electrical,Comments,Lubrication system,Trail,Alternate seat height,Oil capacity,Light,Carrying capacity,Engine oil,Brake fluid,Coolant,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Exhaust system,Ignition,Reserve fuel capacity,Service interval,Modifications compared to previous model,Sprockets,Spark plugs,Chain size,Chain links,0-100 km/h (0-62 mph),Battery,Oil filter,Pulley teeth,"60-140 km/h (37-87 mph), highest gear",Belt teeth,1/4 mile (0.4 km)
Polaris Sportsman Touring XP 1000  Trail,2022,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,952.0 ccm (58.09 cubic inches),"Twin, four-stroke",,,,Injection. EFI,Single Overhead Cams (SOHC),Liquid,Shaft drive (cardan)   (final drive),One Touch On-Demand AWD/2WD. Automatic PVT P/R/N/L/H..,Sealed High Clearance Arched Dual A-Arm,229 mm (9.0 inches),"Sealed High Clearance Arched Dual A-Arm, Rolled IRS.",260 mm (10.2 inches),27/9-14 ,27/11-14 ,Single disc,Single disc,,"908 mm (35.7 inches) If adjustable, lowest setting.",1240 mm (48.8 inches),2140 mm (84.3 inches),1224 mm (48.2 inches),285 mm (11.2 inches),1448 mm (57.0 inches),19.90 litres (5.26 US gallons),Pearl White,Electric,,ProStar engine,88.0 HP (64.2  kW)),,,,Automatic,,,,,,,,Aluminum. Duro tires.,2-Up Seat,402.0 kg (886.3 pounds),0.2189 HP/kg,"All Digital Gauge, Speedometer, Odometer, Tachometer, Two Tripmeters, Hour Meter, Gear Indicator, Fuel Gauge, AWD Indicator, Volt Meter, Coolant Temperature, Hi-Temp Light, Clock, DC Outlet",,"Multi Select EPS. 3,500 lb. Polaris Pro HD Winch. Various equipment options.",,,,,"50w High Beam, Dual 50w Low Beam Headlights",4 Gal (15 L) Front Dry Storage 2 Gal (8 L) Rear Storage,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna FC 250,2022,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.9 ccm (15.25 cubic inches),"Single cylinder, four-stroke",,78.0 x 52.3 mm (3.1 x 2.1 inches),,Carburettor,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),5/8 x 1/4´ chain,"WP XACT-USD, Ø 48 mm",300 mm (11.8 inches),WP XACT Monoshock with linkage,300 mm (11.8 inches),90/90-21 ,140/90-18 ,Single disc. Brembo twin-piston floating calliper,Single disc. Brembo single-piston floating calliper,,"940 mm (37.0 inches) If adjustable, lowest setting.",,2260 mm (89.0 inches),,370 mm (14.6 inches),1482 mm (58.3 inches),7.00 litres (1.85 US gallons),White/yellow/blue,Electric,,,46.0 HP (33.6  kW)),,,,5-speed,"Wet multi-disc DS clutch, Brembo hydraulics",,,,Central double-cradle-type 25CrMo4 steel,26.1°,220 mm (8.7 inches),,,99.5 kg (219.4 pounds),0.4623 HP/kg,,Lithium-ion battery,,,,,,,,,,,,,,,,Keihin EMS,,,,,,,,,,,,,,
Goes Cobalt 550 Max Limited,2022,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,495.0 ccm (30.20 cubic inches),"Single cylinder, four-stroke",,,,"Injection. EFI,",Single Overhead Cams (SOHC),Liquid,Belt   (final drive),"2WD, 4WD, P/R/N/H/L",Double A-Arms,,"Double independent arm, Oil pressure shock absorbers with spring preload adjustment",,25/8-12 ,25/10-12 ,Double disc,Double disc,,"955 mm (37.6 inches) If adjustable, lowest setting.",1270 mm (50.0 inches),2330 mm (91.7 inches),1155 mm (45.5 inches),285 mm (11.2 inches),1480 mm (58.3 inches),17.00 litres (4.49 US gallons),"Grey, Green",Electric,,,33.5 HP (24.5  kW)) @ 6750 RPM,38.0 Nm (3.9 kgf-m or 28.0 ft.lbs) @ 5250 RPM,,,2-speed,Automatic,,,,,,,,,356.0 kg (784.8 pounds),0.0942 HP/kg,LCD,,Electronic Power Steering.,,,,,,Front and rear rack,,,,,,,,,CDI,,,,,,,,,,,,,,
Honda CMX1100 Rebel,2022,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1084.0 ccm (66.15 cubic inches),"Twin, four-stroke",10.1:1,91.0 x 81.5 mm (3.6 x 3.2 inches),4,Injection. PGM-FI with 34mm throttle bodies,Single Overhead Cams (SOHC),Liquid,Chain   (final drive),O-ring-sealed chain,Preload adjustable 43mm cartridge style,,Wet multiplate hydraulic 2-clutch,,130/70-18 ,180/65-B16 ,Double disc. ABS. Radial mounted monoblock four-piston brake caliper.,Single disc. ABS. Single piston caliper.,223.0 kg (491.6 pounds),"700 mm (27.6 inches) If adjustable, lowest setting.",1115 mm (43.9 inches),2240 mm (88.2 inches),853 mm (33.6 inches),120 mm (4.7 inches),1520 mm (59.8 inches),13.60 litres (3.59 US gallons),"Pearl Stallion Brown, Gunmetal Black Metallic",Electric,,,85.8 HP (62.6  kW)) @ 7000 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 4750 RPM,,,6-speed,Wet multiplate Hydraulic. Optional DCT.,20.41 litres/100 km (4.9 km/l or 11.52 mpg),473.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,28.0°,256 mm (10.1 inches),Multi-spoke cast aluminium,,,,Digital,,,,110 mm (4.3 inches),,4.80 litres (5.07 US quarts),LED lighting with 4 bulb LED headlight,,,,,,,,,2-1 exhaust,Computer-controlled digital transistorized with electronic advance,,,,,,,,,,,,,,
Honda Forza 750,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Twin, four-stroke",10.7:1,77.0 x 80.0 mm (3.0 x 3.1 inches),4,Injection. PGM-Fi,Single Overhead Cams (SOHC),Liquid,Chain   (final drive),,41mm upside down fork,120 mm (4.7 inches),"Monoshock damper, Pro-Link swingarm",120 mm (4.7 inches),120/70-R17 ,160/60-R15 ,Single disc. Four piston,Double disc. ABS,,"790 mm (31.1 inches) If adjustable, lowest setting.",1485 mm (58.5 inches),2200 mm (86.6 inches),790 mm (31.1 inches),135 mm (5.3 inches),1580 mm (62.2 inches),13.20 litres (3.49 US gallons),"Grahite Black, Matte Jeans Blue Metallic",Electric,,,57.8 HP (42.2  kW)) @ 6750 RPM,69.0 Nm (7.0 kgf-m or 50.9 ft.lbs) @ 4000 RPM,,,6-speed,Wet multiplate hydraulic 2-clutch,2.70 litres/100 km (37.0 km/l or 87.12 mpg),62.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Diamond, steel pipe",27.0°,240 mm (9.4 inches),Multi-Spoke Aluminium Cast ,Two-person seat,235.0 kg (518.1 pounds),0.2460 HP/kg,5 inch color TFT Meter,,,,104 mm (4.1 inches),,4.00 litres (4.23 US quarts),LED headlight,Underseat storage for two full-face helmets.,,,,,,,,,Computer controlled digital transistorised with electronic advance,,,,,,,,,,,,,,
Honda GL1800 Gold Wing DCT,2022,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1833.0 ccm (111.85 cubic inches),"Six cylinder boxer, four-stroke",10.5:1,73.0 x 73.0 mm (2.9 x 2.9 inches),4,Injection. Programmed Fuel Injection,Single Overhead Cams (SOHC),Liquid,Shaft drive (cardan)   (final drive),,Double Wishbone,,Pro arm,,130/70-R18 ,200/55-R16 ,Double disc. Floating discs.  6-piston calipers. ABS.,Single disc. Three-piston calipers. ABS.,366.0 kg (806.9 pounds),"745 mm (29.3 inches) If adjustable, lowest setting.",1340 mm (52.8 inches),2475 mm (97.4 inches),905 mm (35.6 inches),130 mm (5.1 inches),1695 mm (66.7 inches),21.10 litres (5.57 US gallons),"Matte Jeans Blue Metallic
",Electric,"Transferable, unlimited-mileage limited warranty; extended coverage available with a Honda Protection Plan.",,124.7 HP (91.0  kW)) @ 5500 RPM,170.0 Nm (17.3 kgf-m or 125.4 ft.lbs) @ 4500 RPM,,,7-speed,7-speed Dual Clutch Transmission with forward and reverse,5.50 litres/100 km (18.2 km/l or 42.77 mpg),127.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Aluminium die-cast, twin tube",30.5°,316 mm (12.4 inches),,Urethane. Waterproof cover.,,,7-inch TFT display,12V/20AH battery,Model ID: GL1800. Electric windscreen adjustable for angle and height. Surround Sound. Cruise Control. Electric reverse. Navigation system. Bluetooth. 2 USB.,,109 mm (4.3 inches),,5.60 litres (5.92 US quarts),LED Headlights,"Saddle bags, top box, glovebox",,,,,,,,,Computer-controlled digital with three-dimensional mapping,,,,,,,,,,,,,,
Ariel Ace,2022,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1237.0 ccm (75.48 cubic inches),"V4, four-stroke",,81.0 x 60.0 mm (3.2 x 2.4 inches),,Injection,Single Overhead Cams (SOHC),Liquid,Shaft drive (cardan)   (final drive),,Showa 43mm adjustable cartridge type telescopic forks,,Pro link single sided swing arm. Showa adjustable damper,,120/70-ZR17 ,190/50-ZR17 ,Double disc. ABS. 6 piston radial calipers.,Single disc. ABS. 2 piston sliding caliper.,,"745 mm (29.3 inches) If adjustable, lowest setting.",,,,,1541 mm (60.7 inches),12.00 litres (3.17 US gallons),"Red/white/gold, White/black, custom colors",Electric,,Honda V4 unicam engine,173.0 HP (126.3  kW)) @ 10000 RPM,131.0 Nm (13.4 kgf-m or 96.6 ft.lbs) @ 8750 RPM,265.0 km/h (164.7 mph),,6-speed,,,,,Anodised machined and welded aluminium perimeter frame,,276 mm (10.9 inches),Various options.,Various options.,,,"Digital LCD display with gear indicator, datalogging capability.",,Switchable traction control. Optional carbon parts. Optional DCT Dual Clutch.,,,,,"LED headlamp, LED brake/stop lamp, LED indicators",,,,,,,,,Stainless steel,,,,,,,,,3.10 seconds,,,,,,
Kawasaki KLX 140R,2022,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,144.0 ccm (8.79 cubic inches),"Single cylinder, four-stroke",9.5:1,58.0 x 54.4 mm (2.3 x 2.1 inches),,Carburettor. Keihin 20mm,Single Overhead Cams (SOHC),Air,Chain   (final drive),,33mm telescopic fork,180 mm (7.1 inches),"Uni-Trak  linkage system and single shock with piggyback reservoir, fully adjustable preload and 22-way rebound damping",180 mm (7.1 inches),70/100-17 ,90/100-14 ,Single disc. Petal disc with a dual-piston caliper,Single disc. Petal disc with single-piston caliper,93.0 kg (205.0 pounds),"780 mm (30.7 inches) If adjustable, lowest setting.",1049 mm (41.3 inches),1821 mm (71.7 inches),790 mm (31.1 inches),236 mm (9.3 inches),1260 mm (49.6 inches),5.68 litres (1.50 US gallons),Lime Green,Electric,6 Months,,,,,,5-speed,"Multiplate, wet manual clutch",,,,"High-tensile steel, box-section perimeter",27.0°,186 mm (7.3 inches),,,,,,,,,84 mm (3.3 inches),,,,,,,,,,,,,Digital DC-CDI,,,,,,,,,,,,,,
BMW F 900 R,2022,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,895.0 ccm (54.61 cubic inches),"Twin, four-stroke",13.1:1,86.0 x 77.0 mm (3.4 x 3.0 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),Endless O-ring chain with shock damping in rear wheel hub,"Upside-down telescopic fork, Ø 43 mm  ",135 mm (5.3 inches),"Cast aluminium dual swing arm, central spring strut, spring pre-load hydraulically adjustable, rebound damping adjustable",142 mm (5.6 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. ABS. Floating discs. Two-piston calipers. ,Single disc. ABS. Floating disc. Single-piston caliper. ,211.0 kg (465.2 pounds),"770 mm (30.3 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),2140 mm (84.3 inches),860 mm (33.9 inches),,1518 mm (59.8 inches),13.00 litres (3.43 US gallons),"Blue Stone Metallic, Black Storm Metallic",Electric,3 years,,99.0 HP (72.3  kW)) @ 8500 RPM,92.0 Nm (9.4 kgf-m or 67.9 ft.lbs) @ 6500 RPM,199.6 km/h (124.0 mph),,6-speed,"Multiple-disc wet clutch (anti hopping), mechanically operated",4.20 litres/100 km (23.8 km/l or 56.00 mpg),97.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5. Closed-loop 3-way catalytic converter.,"Bridge-type frame, steel shell construction",29.5°,265 mm (10.4 inches),,,,,6.5” TFT display with BMW Motorrad Connectivity,"Permanent magnetic alternator 416 W. 12 V / 12 Ah, maintenance-free battery.",Riding modes Rain/Road.,Dry sump,114 mm (4.5 inches),"860 mm (33.9 inches) If adjustable, highest setting.",3.00 litres (3.17 US quarts),LED headlamps,,SAE 5W-40,DOT 4,,1250  +/- 50  RPM,36 PSI (2.5 Bar or 250 kPa),42 PSI (2.9 Bar or 290 kPa),43 mm (1.7 inches),,,3.50 litres (0.92 US gallons),,,17/44 (front/rear),NGK LMAR8J-9E,,,,,,,,,
Bluroc Spirit 125,2022,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,Injection. EFI,,Air,Chain   (final drive),,Upside down fork,,"Dual spiral shocks, adjustable",,110/70-17 ,140/70-17 ,Single disc. CBS,Single disc,,"840 mm (33.1 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),1930 mm (76.0 inches),800 mm (31.5 inches),,,,"Gold/Black, Racing Green ",Electric,2 Years,,11.6 HP (8.5  kW)),,,,5-speed,,,,Euro 4,,,,,,,,,,Brand name changed from Bullit.,,,"890 mm (35.0 inches) If adjustable, highest setting.",,,,,,,,,,,,ECU Coil ,,,,,,,,,,,,,,
Triumph Bonneville T120 Gold LIne,2022,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1200.0 ccm (73.22 cubic inches),"Twin, four-stroke",10.0:1,97.6 x 80.0 mm (3.8 x 3.1 inches),4,Injection. Multipoint sequential electronic fuel injection,Single Overhead Cams (SOHC),Liquid,Chain   (final drive),,41mm cartridge forks,120 mm (4.7 inches),"Twin RSU’s, with pre-load adjustment",120 mm (4.7 inches),100/90-18 ,150/70-R17 ,Single disc. ABS. Brembo 2-piston floating caliper,Single disc. ABS. Nissin 2-piston floating caliper,235.9 kg (520.0 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),2230 mm (87.8 inches),780 mm (30.7 inches),,1450 mm (57.1 inches),14.50 litres (3.83 US gallons),Silver Ice/Competition Green/Gold,Electric,24 months unlimited milage,,79.1 HP (57.8  kW)) @ 6550 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 3500 RPM,,,6-speed,"Wet, multi-plate torque assist clutch",4.70 litres/100 km (21.3 km/l or 50.05 mpg),109.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 45,"Tubular steel, with twin cradles. Twin sided fabrication swingarm.",25.5°,255 mm (10.0 inches),"Aluminium rims, 32 spokes",,,,Twin dial analogue speedometer and tachometer with LCD multi-functional displays,,Ride-by-wire throttle with switchable traction control. Cruise control. Special edition.,,105 mm (4.1 inches),,4.50 litres (4.76 US quarts),LED headlight,,,,,,,,,Chromed 2 into 2 exhaust system with twin chrome silencers,,,"10,000 miles/16,000 km/12 months",,,,,,,,,,,,
Honda RS125,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,52.4 x 57.9 mm (2.1 x 2.3 inches),,Injection. PGM-FI,Overhead Cams (OHC),Air,Belt   (final drive),,Telescopic fork,,Twin shocks,,70/90-17 ,80/90-17 ,Single disc,Expanding brake (drum brake),,"767 mm (30.2 inches) If adjustable, lowest setting.",987 mm (38.9 inches),1909 mm (75.2 inches),685 mm (27.0 inches),135 mm (5.3 inches),1228 mm (48.3 inches),3.90 litres (1.03 US gallons),"Red, blue, black",Electric & kick,,,9.6 HP (7.0  kW)) @ 7500 RPM,9.6 Nm (1.0 kgf-m or 7.0 ft.lbs) @ 6500 RPM,,,4-speed,,,,,,,,,Two-person seat,104.0 kg (229.3 pounds),0.0918 HP/kg,,12V - 3 Ah MF-Wet battery.,Cub sold in some Asian countries.,,,,2.00 litres (2.11 US quarts),,,,,,,,,,,Fully-Transistorized,,,,,,,,,,,,,,
MV Agusta F3 RR,2022,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,798.0 ccm (48.69 cubic inches),"In-line three, four-stroke",13.3:1,79.0 x 54.3 mm (3.1 x 2.1 inches),4,Injection. Integrated ignition - injection system MVICS (Motor  and  Vehicle Integrated Control System) with six injectors,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),"Cassette style; six speed, constant mesh",Marzocchi “UPSIDE DOWN” telescopic hydraulic fork with rebound-compression damping and spring preload external and separate adjustment.,125 mm (4.9 inches),"Progressive Sachs, single shock absorber with rebound and compression damping and spring preload adjustment.",123 mm (4.8 inches),120/70-ZR17 ,180/55-ZR17 ,"Double disc. Brembo radial-type monobloc, with 4 piston. ABS.",Single disc. Brembo with 2 pistons. ABS.,,"830 mm (32.7 inches) If adjustable, lowest setting.",,2030 mm (79.9 inches),730 mm (28.7 inches),120 mm (4.7 inches),1380 mm (54.3 inches),16.50 litres (4.36 US gallons),"White/red, red/dark gray",Electric,,Mechanical chain tensioner and DLC tappet,147.0 HP (107.3  kW)) @ 13000 RPM,88.0 Nm (9.0 kgf-m or 64.9 ft.lbs) @ 10100 RPM,240.0 km/h (149.1 mph),,6-speed,"Wet, multi-disc slipper clutch",61.00 litres/100 km (1.6 km/l or 3.86 mpg),"1,415.2 CO2 g/km. (CO2 - Carbon dioxide emission) ",Euro 5,ALS Steel Tubular Trellis,,220 mm (8.7 inches),Aluminium alloy,,173.0 kg (381.4 pounds),0.8497 HP/kg,,12 V - 8.6 Ah battery,A racing kit available.,Wet sump,99 mm (3.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Factory Bike FK 370,2022,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,370.0 ccm (22.58 cubic inches),"Twin, four-stroke",,,,Carburettor,,Liquid,Chain   (final drive),,,,Monoshock,,110/70-17 ,140/80-18 ,Double disc,Single disc,,"790 mm (31.1 inches) If adjustable, lowest setting.",1010 mm (39.8 inches),1930 mm (76.0 inches),790 mm (31.1 inches),,1410 mm (55.5 inches),15.00 litres (3.96 US gallons),Grey/Black,Electric,,,25.0 HP (18.2  kW)),,,,,,,,,,,240 mm (9.4 inches),,,156.0 kg (343.9 pounds),0.1603 HP/kg,,,,Wet sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 300 XC-W TPI,2022,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",293.2 ccm (17.89 cubic inches),"Single cylinder, two-stroke",,72.0 x 72.0 mm (2.8 x 2.8 inches),,Injection,Single Overhead Cams (SOHC),Liquid,Chain   (final drive),X-Ring 5/8 x 1/4´ chain,"WP XPLOR-USD, Ø 48 mm",300 mm (11.8 inches),WP Xplor PDS shock absorber,310 mm (12.2 inches),,,Single disc,Single disc,,"950 mm (37.4 inches) If adjustable, lowest setting.",,,,370 mm (14.6 inches),1482 mm (58.3 inches),9.00 litres (2.38 US gallons),Orange/white/blue,Electric,,,,,,,6-speed,"Wet, DDS multi-disc clutch, Brembo hydraulics",2.79 litres/100 km (35.8 km/l or 84.31 mpg),64.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Central double-cradle-type 25CrMo4 steel,26.5°,220 mm (8.7 inches),,,103.4 kg (228.0 pounds),,LCD display,2Ah lithium-ion battery,,,,,,,,,,,,,,,,Continental EMS,,,,,,,,,,,,,,
Kawasaki Concours 14 ,2022,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1352.0 ccm (82.50 cubic inches),"In-line four, four-stroke",10.7:1,84.0 x 61.0 mm (3.3 x 2.4 inches),4,Injection. DFI with four 40mm throttle bodies,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive (cardan)   (final drive),Tetra-Lever shaft drive,"43mm inverted, telescopic fork with adjustable rebound damping and spring preload / 4.4 in.",112 mm (4.4 inches),Tetra-Lever with stepless rebound damping adjustment and remote spring preload adjuster / 5.4 in.,137 mm (5.4 inches),120/70-ZR17 ,190/50-ZR17 ,Double disc. ABS. Floating discs. Four-piston calipers. ,Single disc. ABS. Petal-style disc. Single-piston caliper.,313.0 kg (690.0 pounds),"815 mm (32.1 inches) If adjustable, lowest setting.",1290 mm (50.8 inches),2230 mm (87.8 inches),1001 mm (39.4 inches),124 mm (4.9 inches),1519 mm (59.8 inches),21.95 litres (5.80 US gallons),Metallic Spark Black,Electric,36 Month Limited Warranty,,155.0 HP (113.1  kW)) @ 5500 RPM,136.0 Nm (13.9 kgf-m or 100.3 ft.lbs) @ 6200 RPM,,,6-speed,,,,,Monocoque Aluminum,26.0°,270 mm (10.6 inches),,,,,,,Electrically adjusted windshield. Traction control.,,112 mm (4.4 inches),,,,Hard saddle bags.,,,,,,,,,TCBI with Digital Advance,,,,,,,,,,,,,,
Benelli Leoncino 500 ES,2022,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.6 ccm (30.49 cubic inches),"Twin, four-stroke",11.5:1,69.0 x 66.8 mm (2.7 x 2.6 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),,Telescopic forks,125 mm (4.9 inches),Telescopic coil spring oil damped,51 mm (2.0 inches),120/70-ZR17 ,160/60-ZR17 ,Double disc. ABS,Single disc. ABS,,"810 mm (31.9 inches) If adjustable, lowest setting.",1160 mm (45.7 inches),2160 mm (85.0 inches),875 mm (34.4 inches),160 mm (6.3 inches),1460 mm (57.5 inches),12.70 litres (3.36 US gallons),"Red, Black, Silver, Green",Electric,,,47.6 HP (34.7  kW)) @ 8500 RPM,46.0 Nm (4.7 kgf-m or 33.9 ft.lbs) @ 6000 RPM,,,6-speed,Wet multi-plate,2.20 litres/100 km (45.5 km/l or 106.92 mpg),51.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Steel-tube trellis,,260 mm (10.2 inches),Aluminum alloy,,207.0 kg (456.4 pounds),0.2300 HP/kg,,,,Pressure splash,,,,,,,,,,,,,,TLI,3.00 litres (0.79 US gallons),,,,,,,,,,,,,
QJmotor SRK350,2022,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,353.0 ccm (21.54 cubic inches),"Twin, four-stroke",11.9:1,70.5 x 45.2 mm (2.8 x 1.8 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),,Telescopic,,Unit Swing,,120/70-ZR17 ,160/60-ZR17 ,Single disc. Hydraulic. ABS.,Single disc. Hydraulic. ABS.,176.0 kg (388.0 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),2080 mm (81.9 inches),800 mm (31.5 inches),150 mm (5.9 inches),1425 mm (56.1 inches),15.50 litres (4.10 US gallons),"Black, red, blue, grey, white",Electric,,,28.2 HP (20.6  kW)) @ 9000 RPM,31.0 Nm (3.2 kgf-m or 22.9 ft.lbs) @ 7000 RPM,,,6-speed,Multiplate Wet ,,,,"Cradle, steel",,240 mm (9.4 inches),,,,,,,"The Chinese company QJMotor is owned by Qianjiang that has bought Benelli, Keeway and KSR.",Forced and Splash,,,,,,,,,,,,,,TCI,,,,,,,,,,,,,,
Kawasaki Z900RS Cafe,2022,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,948.0 ccm (57.85 cubic inches),"In-line four, four-stroke",10.8:1,73.4 x 56.0 mm (2.9 x 2.2 inches),4,Injection. DFI  with 36mm Keihin throttle bodies,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),Sealed chain,"Inverted telescopic fork with (13-way) adjustable compression and rebound (11-way) damping, spring preload (15-turn",119 mm (4.7 inches),Horizontal back-link swingarm with stepless adjustable rebound damping and spring preload,140 mm (5.5 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. ABS. Four-piston calipers. ,Single disc. ABS. Single-piston caliper. ,214.6 kg (473.0 pounds),"820 mm (32.3 inches) If adjustable, lowest setting.",1191 mm (46.9 inches),2101 mm (82.7 inches),841 mm (33.1 inches),130 mm (5.1 inches),1470 mm (57.9 inches),17.03 litres (4.50 US gallons),"Metallic Diablo Black
",Electric,12 Month Limited Warranty,,110.0 HP (80.3  kW)) @ 8500 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 6500 RPM,,,6-speed,"Wet multi-disc, manual",5.30 litres/100 km (18.9 km/l or 44.38 mpg),123.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Tubular, diamond",25.0°,250 mm (9.8 inches),,,,,,,Traction control. Small windscreen.,"Forced lubrication, wet sump",98 mm (3.9 inches),,,Round LED headlight,,,,,,,,,Tuned stainless steel exhaust,TCBI with electronic advance,,,,,,,,,,,,,,
Kawasaki KLR 650 Traveller,2022,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,651.0 ccm (39.72 cubic inches),"Single cylinder, four-stroke",9.8:1,100.0 x 83.0 mm (3.9 x 3.3 inches),,Injection. DFI w/40mm Throttle Body,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),Sealed chain,41mm telescopic fork,200 mm (7.9 inches),Uni-Trak   single-shock system with 5-way preload and stepless rebound damping,185 mm (7.3 inches),90/90-21 ,130/80-17 ,Single disc. Two-piston calipers.  ABS.,Single disc. Single piston.  ABS..,214.0 kg (471.7 pounds),"871 mm (34.3 inches) If adjustable, lowest setting.",1466 mm (57.7 inches),2281 mm (89.8 inches),970 mm (38.2 inches),210 mm (8.3 inches),1480 mm (58.3 inches),23.09 litres (6.10 US gallons),Pearl Lava Orange,Electric,12 months,,,53.0 Nm (5.4 kgf-m or 39.1 ft.lbs) @ 4500 RPM,,,5-speed,Wet multi-disc manual clutch,,,,"Tubular, Semi-Double Cradle",30.0°,240 mm (9.4 inches),,,,,,,Windscreen,,122 mm (4.8 inches),,,,Top case,,,,,,,,,Electric CDI,,,,,,,,,,,,,,
Ghezzi-Brian Sport Monza 1100,2022,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1064.0 ccm (64.93 cubic inches),"V2, four-stroke",,,,Injection,,,Chain   (final drive),,Paioli upside-down Hydraulic telescopic fork 41 mm with three settings,,Hydraulic Öhlins monoschock absorber with separate tank and three settings,,120/60-17 ,180/55-17 ,Double disc. 4 pistons caliper,Single disc. 4 pistons caliper,,,,,,,,,"White, black",Electric,,,87.0 HP (63.5  kW)) @ 8250 RPM,,,,5-speed,,,,,,23.0°,220 mm (8.7 inches),Balck,,187.0 kg (412.3 pounds),0.4652 HP/kg,Digital dashboard,,Customized Moto Guzzi. Also available as a kit. Small windscreen.,,90 mm (3.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
