Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Transmission type,Frame type,Rake (fork angle),Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Seat height,Wheelbase,Compression,Gearbox,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Trail,Front wheel travel,Rear wheel travel,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Ground clearance,Fuel capacity,Color options,Starter,Comments,Diameter,Reserve fuel capacity,Valves per cylinder,Alternate seat height,"Weight incl. oil, gas, etc",Top speed,Engine details,Driveline,Engine oil,Oil filter,Battery,Spark plugs,Chain size,Chain links,Sprockets,Max RPM,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Oil capacity,Brake fluid,Coolant,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Wheels,Electrical,Belt width,Pulley teeth,1/4 mile (0.4 km),Belt teeth
Kawasaki KX 250 F,2006,Cross / motocross," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,77.0 x 53.6 mm (3.0 x 2.1 inches),Carburettor.  Keihin FCR 37,Double Overhead Cams/Twin Cam (DOHC),Multi-Map Digital CDI with Throttle Position Sensor (K-TRIC),,Liquid,Chain   (final drive),,27.7°,"38mm leading axle, air-adjustable preload / 9.1 in.","Uni-Trak® with Adjustable Preload, 22-Way (Low Speed)/ Stepless (High Speed) Compression Adjustment, 22-Way Rebound Damping Adjustment, Temperature Compensating Rebound Adjustment",80/90-21 ,120/80-19 ,Single disc,Single disc,"960 mm (37.8 inches) If adjustable, lowest setting.",1468 mm (57.8 inches),13.5:1,5-speed,,,,,119 mm (4.7 inches),,,92.5 kg (204.0 pounds),,,,,371 mm (14.6 inches),7.19 litres (1.90 US gallons),Lime Green/black,,,240 mm (9.4 inches),,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBK Booster  NG Next Generation,2006,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",3.6 HP (2.6  kW)) @ 6800 RPM,4.0 Nm (0.4 kgf-m or 3.0 ft.lbs) @ 5000 RPM,40.0 x 39.2 mm (1.6 x 1.5 inches),,,Electronic (C.D.I.),Separate lubrication,Air,,,,Hydraulic and telescopic fork,Hydraulic unit swing,120/90-10 ,130/90-10 ,Single disc,Expanding brake (drum brake),"803 mm (31.6 inches) If adjustable, lowest setting.",1206 mm (47.5 inches),11.2:1,,,,,,,,,78.0 kg (172.0 pounds),0.0464 HP/kg,1120 mm (44.1 inches),1746 mm (68.7 inches),675 mm (26.6 inches),153 mm (6.0 inches),24.60 litres (6.50 US gallons),,Electric & kick,,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 125 SX,2006,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",,,54.0 x 54.5 mm (2.1 x 2.1 inches),Carburettor.  Keihin PWK 39,,Kokusan digital 2K-1,Mixture oil lubrication 1:40,Liquid,,Central double-cradle-type 25 CrMo4,27.0°,WP-USD   48 mm (1.89 inches),WP-PDS shock absorber,80/100-21 ,100/90-19 ,Single disc,Single disc,"925 mm (36.4 inches) If adjustable, lowest setting.",1471 mm (57.9 inches),,6-speed,"Wet multi-disc clutch, operated hydraulically",,,Aluminum,,300 mm (11.8 inches),335 mm (13.2 inches),92.4 kg (203.7 pounds),,,,,390 mm (15.4 inches),7.50 litres (1.98 US gallons),,Kick,,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Movie XL 150,2006,Scooter," 2.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",10.9 HP (7.9  kW)) @ 7500 RPM,11.5 Nm (1.2 kgf-m or 8.5 ft.lbs) @ 5500 RPM,,Carburettor,,,,Air,Shaft drive (cardan)   (final drive),,,,,120/70-12 ,130/70-12 ,Single disc,Expanding brake (drum brake),,,,,,,,,,,,118.8 kg (261.9 pounds),0.0914 HP/kg,,1890 mm (74.4 inches),,,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot Satelis 250,2006,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",244.3 ccm (14.91 cubic inches),"Single cylinder, four-stroke",29.5 HP (21.5  kW)),,,,,,,Liquid,Belt   (final drive),,,,,120/70-14 ,140/60-13 ,Single disc,Single disc,,,,Automatic,,,,,,,,155.0 kg (341.7 pounds),0.1903 HP/kg,1425 mm (56.1 inches),2152 mm (84.7 inches),765 mm (30.1 inches),161 mm (6.3 inches),,,Electric,,226 mm (8.9 inches),,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piaggio X9 Evolution 250,2006,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.4 ccm (15.22 cubic inches),"Single cylinder, four-stroke",29.5 HP (21.5  kW)),20.2 Nm (2.1 kgf-m or 14.9 ft.lbs) @ 6500 RPM,72.0 x 60.0 mm (2.8 x 2.4 inches),,,Inductive,Separate with automatic mixer,Liquid,Belt   (final drive),"Double cradle, high resistance steel pipe structure",,"Telehydraulic fork, Ø 35 mm stanchions , 90 mm stroke",Twin effect hydraulic absorbers with preload adjusters,120/70-14 ,140/60-14 ,Double disc,Single disc,"790 mm (31.1 inches) If adjustable, lowest setting.",1500 mm (59.1 inches),,Automatic,Automatic centrifuge type,,,,,,,185.0 kg (407.9 pounds),0.1595 HP/kg,,2050 mm (80.7 inches),700 mm (27.6 inches),,15.20 litres (4.02 US gallons),,Electric,,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Majesty 180,2006,Scooter," 2.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.8 ccm (15.24 cubic inches),"Single cylinder, four-stroke",14.8 HP (10.8  kW)) @ 8750 RPM,13.0 Nm (1.3 kgf-m or 9.6 ft.lbs) @ 6500 RPM,69.0 x 66.8 mm (2.7 x 2.6 inches),Carburettor.  Teikei BS28,,TCI,,Liquid,Belt   (final drive),,,Hydraulic telescopic fork,Swingarm with twin shocks,120/70-12 ,130/70-12 ,Single disc,Single disc,"774 mm (30.5 inches) If adjustable, lowest setting.",1480 mm (58.3 inches),10.0:1,,Automatic centrifugal,,,,,120 mm (4.7 inches),105 mm (4.1 inches),134.0 kg (295.4 pounds),0.1101 HP/kg,1285 mm (50.6 inches),2030 mm (79.9 inches),745 mm (29.3 inches),102 mm (4.0 inches),10.50 litres (2.77 US gallons),,Electric,,190 mm (7.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UM Matrix 150 XX,2006,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",149.1 ccm (9.10 cubic inches),"Single cylinder, four-stroke",,,62.0 x 49.5 mm (2.4 x 1.9 inches),,,,,Air,Belt   (final drive),,,Telescopic fork,Hydraulic dual shocks,130/60-13 ,130/60-13 ,Single disc. ABS system.,Expanding brake (drum brake),"762 mm (30.0 inches) If adjustable, lowest setting.",1372 mm (54.0 inches),,Automatic,,,,,,,,103.9 kg (229.0 pounds),,,1880 mm (74.0 inches),,,6.43 litres (1.70 US gallons),"Black, Yellow, Green, Blue, Orange, Red,
",Electric & kick,,216 mm (8.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 990 Super DukeTitanium,2006,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",999.0 ccm (60.96 cubic inches),"V2, four-stroke",118.0 HP (86.1  kW)) @ 9000 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 7000 RPM,100.0 x 72.0 mm (3.9 x 2.8 inches),Carburettor,Double Overhead Cams/Twin Cam (DOHC),Kokusan DC-CDI,,Liquid,Chain   (final drive),"Chromium-molybdenum, powder-coated",23.5°,WP-USD,WP - Monoshock,120/70-ZR17 ,180/55-17 ,Double disc,Single disc,"855 mm (33.7 inches) If adjustable, lowest setting.",1438 mm (56.6 inches),11.5:1,6-speed,"Wet multi-disc clutch, operated hydraulically",,,Stainless steel with controlled catalytic converter,103 mm (4.1 inches),135 mm (5.3 inches),160 mm (6.3 inches),184.0 kg (405.7 pounds),0.6413 HP/kg,,,,165 mm (6.5 inches),15.00 litres (3.96 US gallons),Titanium grey,Electric,Not available in the US.,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Rev-3 125,2006,Trial," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",,,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. Mikuni VM26/208,,Electronic,Fuel mix 1.5%,Liquid,Chain   (final drive),Aluminium,,Hydraulic fork,Monoshock,,,Single disc,Single disc,,1310 mm (51.6 inches),14.0:1,6-speed,Wet multi-disc clutch with cush-drive rubber,,,,,185 mm (7.3 inches),165 mm (6.5 inches),71.0 kg (156.5 pounds),,,1990 mm (78.3 inches),850 mm (33.5 inches),310 mm (12.2 inches),4.20 litres (1.11 US gallons),,,,175 mm (6.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zongshen GS 250,2006,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",230.0 ccm (14.03 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,16.5 Nm (1.7 kgf-m or 12.2 ft.lbs) @ 6000 RPM,,Carburettor,Single Overhead Cams (SOHC),,Wet Sump,Air,Chain   (final drive),Steel,,Inverted hydraulic forks,"Monoshock, non-adjustable",110/70-17 ,140/70-17 ,Double disc,Single disc,"787 mm (31.0 inches) If adjustable, lowest setting.",1387 mm (54.6 inches),,5-speed,Wet plate,3.36 litres/100 km (29.8 km/l or 70.01 mpg),78.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Single steel pipe with aluminum silencer.,,,,166.0 kg (366.0 pounds),0.1024 HP/kg,1092 mm (43.0 inches),2007 mm (79.0 inches),762 mm (30.0 inches),145 mm (5.7 inches),20.06 litres (5.30 US gallons),Silver/Charcoal,Electric & kick,,229 mm (9.0 inches),,2,,,115.9 km/h (72.0 mph),,,,,,,,,,,,,,0.90 litres (0.95 US quarts),,,,,,,,,,,,
KTM 640 LC4 Supermoto Black,2006,Super motard," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",625.0 ccm (38.14 cubic inches),"Single cylinder, four-stroke",53.6 HP (39.2  kW)) @ 6750 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 5750 RPM,101.0 x 78.0 mm (4.0 x 3.1 inches),Carburettor.  Mikuni BST 40,Overhead Cams (OHC),Kokusan DC-CDI,Pressure lubrication,Liquid,Chain   (final drive),"Double ground, chrome-moly-steel frame, powder-coated",27.0°,WP-USD 48 mm (1.89 inches),WP-Monoshock with Pro-Lever linkage,120/70-17 ,160/60-17 ,Single disc,Single disc,"910 mm (35.8 inches) If adjustable, lowest setting.",1510 mm (59.4 inches),11.7:1,5-speed,"Multi-disc wet clutch, hydraulically operated",,,,99 mm (3.9 inches),300 mm (11.8 inches),335 mm (13.2 inches),149.0 kg (328.5 pounds),0.3600 HP/kg,,,640 mm (25.2 inches),280 mm (11.0 inches),,Black,Electric & kick,Not available in the US.,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHTCUI Ultra Classic Electra Glide,2006,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1442.2 ccm (88.00 cubic inches),"V2, four-stroke",,116.6 Nm (11.9 kgf-m or 86.0 ft.lbs) @ 3500 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),Injection.  Electronic Sequential Port Fuel Injection (ESPFI),Double Overhead Cams/Twin Cam (DOHC),,,Air,Belt   (final drive),,,,,,,Double disc,Single disc,"693 mm (27.3 inches) If adjustable, lowest setting.",1613 mm (63.5 inches),8.9:1,5-speed,Multi-plate with diaphragm spring in oil bath,5.47 litres/100 km (18.3 km/l or 43.00 mpg),126.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Chrome, cross-over duals",,,,357.4 kg (788.0 pounds),,,2497 mm (98.3 inches),,130 mm (5.1 inches),18.92 litres (5.00 US gallons),"Vivid black, black cherry, black pearl, deep cobalt, glacier white pearl, rich sunglo blue, brandy wine sunglo, two-tone rich sunglo blue and chopper blue, two-tone chopper blue and brilliant silver, two-tone black cherry and black pearl, two-tone fire re",,,,,2,,371.5 kg (819.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Sym Jet Euro 50,2006,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,,,,,Air,,,,,,,,Single disc,Expanding brake (drum brake),,1275 mm (50.2 inches),,,,,,,,,,94.0 kg (207.2 pounds),,1125 mm (44.3 inches),1785 mm (70.3 inches),680 mm (26.8 inches),,6.30 litres (1.66 US gallons),,Electric & kick,,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta F4 Mamba,2006,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",163.6 HP (119.4  kW)) @ 11750 RPM,109.0 Nm (11.1 kgf-m or 80.4 ft.lbs) @ 10200 RPM,76.0 x 55.0 mm (3.0 x 2.2 inches),Injection. Mulitpoint electronic injection,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,Chain   (final drive),CrMo Steel tubular trellis (TIG welded) and aluminium alloy,,Upside-down telescopic hydraulic fork with rebound-compression damping and spring preload adjustment,"Progressive, single shock absorber with rebound compression damping and spring preload",120/70-ZR17 ,190/55-ZR17 ,Double disc,Single disc,,1407 mm (55.4 inches),,6-speed,"Wet, multiplate",,,,,,,191.9 kg (423.0 pounds),0.8527 HP/kg,,2007 mm (79.0 inches),685 mm (27.0 inches),130 mm (5.1 inches),18.47 litres (4.88 US gallons),,Electric,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Caponord Rally Raid,2006,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"Twin, four-stroke",92.0 HP (67.2  kW)) @ 8500 RPM,95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 6250 RPM,97.0 x 67.5 mm (3.8 x 2.7 inches),Injection.  Integrated electronic engine management system. Indirect multi-point electronic injection. Lambda probe oxygen sensor in exhaust system. 47 mm diameter throttle bodies.,,Digital electronic ignition with TSI (Twin Spark Ignition) with two spark plugs per cylinder. Ignition timing integrated in the injection control system.,Dry sump with separate oil reservoir.,Liquid,Chain   (final drive),,,Marzocchi 50 mm hydraulic telescopic fork.  200 mm wheel travel.  Piston and cartridge motocross type fork hydraulics. Compression adjustment (on RH leg) and rebound adjustment (on LH leg).,Aluminium alloy swing-arm. New rising rate linkage with APS (Aprilia Progressive System). Sachs hydraulic monoshock with mechanical compression and rebound adjustment and hydraulic preload adjustment.Separate nitrogen reservoir.  200 mm wheel travel.,110/80-19. ,110/80-19. ,Single disc,Single disc,"860 mm (33.9 inches) If adjustable, lowest setting.",1280 mm (50.4 inches),10.4:1,6-speed,Multiple disk in oil bath with patented PPC power-assisted hydraulic control.,,,"Twin stainless steel silencers, one catalyser per silencer.",,,,,,,1920 mm (75.6 inches),,,13.00 litres (3.43 US gallons),,Electric,,272 mm (10.7 inches),,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung GF 125 E,2006,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,,,Air,Chain   (final drive),,,,,2.75-18 ,3.00-18 ,,,,,,5-speed,,,,,,,,126.0 kg (277.8 pounds),,,,,,13.70 litres (3.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Shadow Slasher,2006,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"V2, four-stroke",32.2 HP (23.5  kW)) @ 10000 RPM,35.0 Nm (3.6 kgf-m or 25.8 ft.lbs) @ 5500 RPM,64.0 x 62.0 mm (2.5 x 2.4 inches),,Overhead Cams (OHC),,,Air,,,,,,,,Double disc,Single disc,"755 mm (29.7 inches) If adjustable, lowest setting.",,10.3:1,5-speed,,,,,152 mm (6.0 inches),,,214.0 kg (471.8 pounds),0.1504 HP/kg,1155 mm (45.5 inches),,,,11.00 litres (2.91 US gallons),,Electric,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX 65,2006,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",64.7 ccm (3.95 cubic inches),"Single cylinder, two-stroke",,,44.5 x 41.6 mm (1.8 x 1.6 inches),Carburettor.  Mikuni VM24SS,,Digital CDI,,Liquid,Chain   (final drive),,,33mm leading axle conventional fork with four-way rebound damping / 8.3 in.,UNI-TRAK® single shock system with four-way rebound damping and fully adjustable spring preload / 9.4,60/90-14 ,80/90-12 ,Single disc,Single disc,"759 mm (29.9 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),8.4:1,6-speed,,,,,,,,57.0 kg (125.6 pounds),,955 mm (37.6 inches),1590 mm (62.6 inches),759 mm (29.9 inches),305 mm (12.0 inches),3.78 litres (1.00 US gallons),Kawasaki Lime Green / Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaguti XTM-Enduro 50,2006,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,,40.3 x 39.0 mm (1.6 x 1.5 inches),Carburettor. Dell´Orto  PHBN16,,,Lubrication by  automatic mixing pump with separate oil tank,Liquid,Chain   (final drive),Tubular steel double cradled perimeter frame,,Telescopic-hydraulic fork,Rear suspension by swinging arm by single hydraulic shock absorber,80/90-21 ,110/80-18 ,Single disc,Single disc,"900 mm (35.4 inches) If adjustable, lowest setting.",1350 mm (53.1 inches),12.0:1,6-speed,Multi-disc oil bathed clutch,,,,,,,98.0 kg (216.1 pounds),,1160 mm (45.7 inches),2050 mm (80.7 inches),850 mm (33.5 inches),,6.50 litres (1.72 US gallons),"Black/orange,
Blue/black",Kick,,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piaggio Fly 125,2006,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.5 HP (7.7  kW)) @ 8000 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 7000 RPM,57.0 x 48.6 mm (2.2 x 1.9 inches),Injection,Single Overhead Cams (SOHC),Inductive,Automatic,Air,Belt   (final drive),Cradled in welded steel tubes with pressed steel reinforcements,,Ø 32 mm Telescopic fork,Single hydraulic shock absorber with preload adjuster,120/70-12 ,120/70-12 ,Single disc,Expanding brake (drum brake),"785 mm (30.9 inches) If adjustable, lowest setting.",1880 mm (74.0 inches),10.5:1,Automatic,Dry automatic centrifugal type (Twist and Go),,,,,,,,,,1880 mm (74.0 inches),,,7.20 litres (1.90 US gallons),,Electric,,140 mm (5.5 inches),,,,106.0 kg (233.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Multistrada 1000 DS,2006,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",90.8 HP (66.3  kW)) @ 8000 RPM,87.5 Nm (8.9 kgf-m or 64.5 ft.lbs) @ 5000 RPM,94.0 x 71.5 mm (3.7 x 2.8 inches),"Injection. Marelli electronic fuel injection, 45 mm throttle body ",Desmodromic valve control,,,Air,Chain   (final drive),,,Showa 43 mm upside-down fully adjustable fork ,Progressive linkage with fully adjustable Showa monoshock,120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,"850 mm (33.5 inches) If adjustable, lowest setting.",1462 mm (57.6 inches),10.0:1,6-speed,,,,Single steel muffler and pre-silencer with catalytic converter (non-catalytic on USA version) ,,,133 mm (5.2 inches),196.0 kg (432.1 pounds),0.4632 HP/kg,,,,,20.00 litres (5.28 US gallons),,Electric,,245 mm (9.6 inches),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway Partner 100,2006,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",97.0 ccm (5.92 cubic inches),"Single cylinder, four-stroke",6.2 HP (4.5  kW)) @ 7500 RPM,6.6 Nm (0.7 kgf-m or 4.9 ft.lbs) @ 5500 RPM,50.0 x 49.5 mm (2.0 x 1.9 inches),Carburettor,,,,Air,,,,,,2.5-17 ,2.75-17 ,Single disc,Expanding brake (drum brake),,,8.6:1,,,,,,,,,95.0 kg (209.4 pounds),0.0648 HP/kg,1110 mm (43.7 inches),1950 mm (76.8 inches),700 mm (27.6 inches),120 mm (4.7 inches),3.50 litres (0.92 US gallons),,Electric & kick,,,,,,,70.0 km/h (43.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZ 85,2006,"Minibike, cross"," 3.6  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",84.7 ccm (5.17 cubic inches),"Single cylinder, two-stroke",,,47.5 x 47.8 mm (1.9 x 1.9 inches),,,,,Liquid,Chain   (final drive),,,Telescopic fork,Swinging arm (monocross),70/100-17 ,90/100-14 ,Single disc,Single disc,"864 mm (34.0 inches) If adjustable, lowest setting.",1255 mm (49.4 inches),8.2:1,,,,,,,,,66.0 kg (145.5 pounds),,1161 mm (45.7 inches),1818 mm (71.6 inches),758 mm (29.8 inches),351 mm (13.8 inches),,,,,146 mm (5.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Sonic 50 GP,2006,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,,40.0 x 39.2 mm (1.6 x 1.5 inches),Carburettor. Dell’Orto PH BN12,,,Separate mixing with mechanical pump,Liquid,Belt   (final drive),Split single cradle in high strength tubular steel.,,,,100/90-10 ,100/90-10 ,Single disc,Expanding brake (drum brake),"770 mm (30.3 inches) If adjustable, lowest setting.",1175 mm (46.3 inches),12.5:1,,,,,,,,,73.0 kg (160.9 pounds),,,1680 mm (66.1 inches),,,8.00 litres (2.11 US gallons),,Electric & kick,,,2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Shadow 125,2006,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"V2, four-stroke",14.8 HP (10.8  kW)) @ 11000 RPM,10.5 Nm (1.1 kgf-m or 7.7 ft.lbs) @ 8500 RPM,42.0 x 45.0 mm (1.7 x 1.8 inches),,Single Overhead Cams (SOHC),Dual digital transistorised with electronic advance,,Liquid,Chain   (final drive),,,,,,,Single disc,Expanding brake (drum brake),"680 mm (26.8 inches) If adjustable, lowest setting.",1530 mm (60.2 inches),11.8:1,5-speed,"Wet, multiplate with coil springs",,,,122 mm (4.8 inches),,,146.0 kg (321.9 pounds),0.1010 HP/kg,,,,145 mm (5.7 inches),14.50 litres (3.83 US gallons),,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Navigator 1000,2006,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",96.7 HP (70.6  kW)) @ 8400 RPM,88.3 Nm (9.0 kgf-m or 65.1 ft.lbs) @ 7000 RPM,98.0 x 66.0 mm (3.9 x 2.6 inches),,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,Chain   (final drive),High strength steel tubular frame,,Upside down telscopic hydraulic fork,"Progressive, single shock absorber with adjustable spring preload",,,Double disc,Single disc,"805 mm (31.7 inches) If adjustable, lowest setting.",1431 mm (56.3 inches),11.3:1,6-speed,,,,,80 mm (3.2 inches),150 mm (5.9 inches),,210.0 kg (463.0 pounds),0.4605 HP/kg,1070 mm (42.1 inches),2104 mm (82.8 inches),820 mm (32.3 inches),175 mm (6.9 inches),20.06 litres (5.30 US gallons),"Rosso Cagiva, Blue Marine, Bat Black",Electric,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomos Racing,2006,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",2.3 HP (1.7  kW)) @ 4000 RPM,4.7 Nm (0.5 kgf-m or 3.5 ft.lbs) @ 3800 RPM,,Carburettor. Dell´Orto,,,,Air,Belt   (final drive),,,,,120/70-12 ,120/70-12 ,Single disc,Single disc,,,,,,,,,,,,62.0 kg (136.7 pounds),0.0366 HP/kg,,,,,3.50 litres (0.92 US gallons),,,,190 mm (7.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung Aquila 125,2006,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",14.8 HP (10.8  kW)) @ 10500 RPM,9.7 Nm (1.0 kgf-m or 7.2 ft.lbs) @ 10000 RPM,44.0 x 41.0 mm (1.7 x 1.6 inches),Carburettor,,Digital CDi,,Oil & air,Chain   (final drive),Double cradle,,Cartridge fork,Twin shocks,110/90-16 ,130/90-16 ,Single disc,Expanding brake (drum brake),"665 mm (26.2 inches) If adjustable, lowest setting.",,11.2:1,6-speed,,,,,,170 mm (6.7 inches),110 mm (4.3 inches),145.0 kg (319.7 pounds),0.1017 HP/kg,,,,,14.00 litres (3.70 US gallons),,Electric,,130 mm (5.1 inches),,,,161.0 kg (354.9 pounds),100.0 km/h (62.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Elite 80,2006,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",80.0 ccm (4.88 cubic inches),"Single cylinder, four-stroke",,,,Carburettor.  16.0mm CV with automatic choke,,CDI,,Air,Belt   (final drive),,25.0°,Bottom link,Unit swingarm,,,Expanding brake (drum brake),Expanding brake (drum brake),"754 mm (29.7 inches) If adjustable, lowest setting.",1171 mm (46.1 inches),,Automatic,,,,,,76 mm (3.0 inches),79 mm (3.1 inches),78.0 kg (172.0 pounds),,,,,,4.92 litres (1.30 US gallons),"Pearl Blue, Red",,Model ID: CH80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
